bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-520.0,-519.0,-520B,-519B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-540.0,-539.0,-540B,-539B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-190.0,-189.0,-190B,-189B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-759.0,-760.0,-759B,-760B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-340.0,-339.0,-340B,-339B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-270.0,-269.0,-270B,-269B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-430.0,-429.0,-430B,-429B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-959.0,-960.0,-959B,-960B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-160.0,-159.0,-160B,-159B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-509.0,-510.0,-509B,-510B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-989.0,-990.0,-989B,-990B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-330.0,-329.0,-330B,-329B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-259.0,-260.0,-259B,-260B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-949.0,-950.0,-949B,-950B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-770.0,-769.0,-770B,-769B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-679.0,-680.0,-679B,-680B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-479.0,-480.0,-479B,-480B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-660.0,-659.0,-660B,-659B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-739.0,-740.0,-739B,-740B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-250.0,-249.0,-250B,-249B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-229.0,-230.0,-229B,-230B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-539.0,-540.0,-539B,-540B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-290.0,-289.0,-290B,-289B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-870.0,-869.0,-870B,-869B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-569.0,-570.0,-569B,-570B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-830.0,-829.0,-830B,-829B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-789.0,-790.0,-789B,-790B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-639.0,-640.0,-639B,-640B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-139.0,-140.0,-139B,-140B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-419.0,-420.0,-419B,-420B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-149.0,-150.0,-149B,-150B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-260.0,-259.0,-260B,-259B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-810.0,-809.0,-810B,-809B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-240.0,-239.0,-240B,-239B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-560.0,-559.0,-560B,-559B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-339.0,-340.0,-339B,-340B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-619.0,-620.0,-619B,-620B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-709.0,-710.0,-709B,-710B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-210.0,-209.0,-210B,-209B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-729.0,-730.0,-729B,-730B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-879.0,-880.0,-879B,-880B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-359.0,-360.0,-359B,-360B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-630.0,-629.0,-630B,-629B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-289.0,-290.0,-289B,-290B
12,0,0,0,1,0.8333333333333334,1.0,0.8333333333333334,149951.0,149950.0,150.0 kB,149.9 kB
10,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,99951.0,99950.0,100.0 kB,99.9 kB
6,0,0,0,1,0.8,1.0,0.8,-74.0,-73.0,-74B,-73B
6,0,0,0,1,0.8,1.0,0.8,273.0,274.0,273B,274B
6,0,0,0,1,0.8,1.0,0.8,997.0,998.0,997B,998B
6,0,0,0,1,0.8,1.0,0.8,109.0,110.0,109B,110B
6,0,0,0,1,0.8,1.0,0.8,998.0,997.0,998B,997B
12,0,0,0,1,0.8,1.0,0.8,-11499.0,-11500.0,-11499B,-11500B
12,0,0,0,1,0.8,1.0,0.8,-25400.0,-25399.0,-25400B,-25399B
10,0,0,0,1,0.8,1.0,0.8,18950.0,18949.0,19.0 kB,18.9 kB
10,0,0,0,1,0.8,1.0,0.8,12951.0,12950.0,13.0 kB,12.9 kB
10,0,0,0,1,0.8,1.0,0.8,14951.0,14950.0,15.0 kB,14.9 kB
10,0,0,0,1,0.8,1.0,0.8,11951.0,11950.0,12.0 kB,11.9 kB
10,0,0,0,1,0.8,1.0,0.8,11950.0,11951.0,11.9 kB,12.0 kB
12,0,0,0,1,0.8,1.0,0.8,-10200.0,-10199.0,-10200B,-10199B
12,0,0,0,1,0.8,1.0,0.8,-12399.0,-12400.0,-12399B,-12400B
10,0,0,0,1,0.8,1.0,0.8,19950.0,19949.0,20.0 kB,19.9 kB
10,0,0,0,1,0.8,1.0,0.8,20949.0,20950.0,20.9 kB,21.0 kB
10,0,0,0,1,0.8,1.0,0.8,18949.0,18950.0,18.9 kB,19.0 kB
10,0,0,0,1,0.8,1.0,0.8,34949.0,34950.0,34.9 kB,35.0 kB
10,0,0,0,1,0.8,1.0,0.8,16950.0,16949.0,17.0 kB,16.9 kB
12,0,0,0,1,0.8,1.0,0.8,-13500.0,-13499.0,-13500B,-13499B
10,0,0,0,1,0.8,1.0,0.8,20950.0,20949.0,21.0 kB,20.9 kB
6,0,0,0,1,0.8,1.0,0.8,632.0,631.0,632B,631B
10,0,0,0,1,0.8,1.0,0.8,68950.0,68951.0,68.9 kB,69.0 kB
10,0,0,0,1,0.8,1.0,0.8,57950.0,57949.0,58.0 kB,57.9 kB
10,0,0,0,1,0.8,1.0,0.8,83951.0,83950.0,84.0 kB,83.9 kB
10,0,0,0,1,0.8,1.0,0.8,24950.0,24949.0,25.0 kB,24.9 kB
14,0,0,0,1,0.8,0.8888888888888888,0.9000000000000001,-111300.0,-111299.0,-111300B,-111299B
12,0,0,0,1,0.8,1.0,0.8,-12900.0,-12899.0,-12900B,-12899B
10,0,0,0,1,0.8,1.0,0.8,85951.0,85950.0,86.0 kB,85.9 kB
12,0,0,0,1,0.8,1.0,0.8,-29500.0,-29499.0,-29500B,-29499B
