bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
10,1,10,1,1,0.09426668117778846,0.6698906348083082,0.14071950894605836,0.0,386.0,-10.0,387.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,12,0,1,0.09316949906249122,0.09316949906249122,1.0,100.0,23.0,102.0,19.0,Overweight,Underweight
10,1,6,1,1,0.08855375089780457,0.6537402316630345,0.13545709229571928,157.0,-10.0,160.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
6,1,6,1,1,0.08370285954874356,0.09245283018867925,0.9053574604251853,-10.0,1.0,1.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,0,12,0,1,0.08333333333333333,0.08333333333333333,1.0,99.0,23.0,102.0,19.0,Overweight,Underweight
14,3,10,1,1,0.08093914652053526,0.09426668117778846,0.8586188196005622,-11.0,34549.0,0.0,34553.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,9,1,1,0.07922830417853544,0.0890909090909091,0.8892972917998875,22.0,-11.0,19.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Obese
5,0,20,0,1,0.07857142857142857,0.07857142857142857,1.0,19.0,1.0,9.0,1.0,Obese,Severely obese
8,0,14,0,1,0.07717042614792413,0.15692630606420468,0.4917622040778217,94.0,28.0,97.0,16.0,Severely obese,Underweight
10,0,6,1,1,0.07677789646855204,0.08404802744425387,0.9135002783911396,146.0,-2.0,145.0,10.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
5,0,11,0,1,0.07669649888473705,0.08304547985373997,0.9235481451827989,9.0,0.0,22.0,1.0,Underweight,Normal
6,0,7,1,1,0.07298744844189173,0.0789115139065715,0.9249277428425253,9.0,-1.0,22.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Normal
8,0,10,1,1,0.07265984104869826,0.6698906348083082,0.10846522890932808,21.0,2.0,22.0,-11.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
