a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
11742,false,DivideError(),error,DivideError,8.0,11742,true,11742,valid,UInt16,2
11496,false,DivideError(),error,DivideError,8.0,11496,true,11496,valid,Int64,2
11087,false,DivideError(),error,DivideError,8.0,11087,true,11087,valid,Int64,2
10790,false,DivideError(),error,DivideError,8.0,10790,true,10790,valid,Int64,2
10573,false,DivideError(),error,DivideError,8.0,10573,true,10573,valid,Int64,2
10522,false,DivideError(),error,DivideError,8.0,10522,true,10522,valid,Int64,2
10132,false,DivideError(),error,DivideError,8.0,10132,true,10132,valid,UInt16,3
10112,false,DivideError(),error,DivideError,8.0,10112,true,10112,valid,Int64,2
10103,false,DivideError(),error,DivideError,8.0,10103,true,10103,valid,Int64,2
10063,false,DivideError(),error,DivideError,8.0,10063,true,10063,valid,Int64,2
9756,false,DivideError(),error,DivideError,9.0,9756,true,9756,valid,Int64,2
9660,0,DivideError(),error,DivideError,9.0,9660,1,9660,valid,UInt64,2
9549,false,DivideError(),error,DivideError,9.0,9549,true,9549,valid,Int64,2
8713,false,DivideError(),error,DivideError,9.0,8713,true,8713,valid,UInt16,2
8420,false,DivideError(),error,DivideError,9.0,8420,true,8420,valid,UInt16,2
8279,false,DivideError(),error,DivideError,9.0,8279,true,8279,valid,UInt16,2
8082,false,DivideError(),error,DivideError,9.0,8082,true,8082,valid,UInt16,2
7967,false,DivideError(),error,DivideError,9.0,7967,true,7967,valid,UInt16,2
7808,false,DivideError(),error,DivideError,9.0,7808,true,7808,valid,UInt16,2
7787,false,DivideError(),error,DivideError,9.0,7787,true,7787,valid,UInt16,2
7614,false,DivideError(),error,DivideError,9.0,7614,true,7614,valid,Int64,2
7215,false,DivideError(),error,DivideError,9.0,7215,true,7215,valid,UInt16,2
6946,false,DivideError(),error,DivideError,9.0,6946,true,6946,valid,UInt16,2
6807,false,DivideError(),error,DivideError,9.0,6807,true,6807,valid,UInt16,2
6239,false,DivideError(),error,DivideError,9.0,6239,true,6239,valid,Int64,2
5652,false,DivideError(),error,DivideError,9.0,5652,true,5652,valid,UInt16,2
5269,false,DivideError(),error,DivideError,9.0,5269,true,5269,valid,UInt16,3
5187,false,DivideError(),error,DivideError,9.0,5187,true,5187,valid,Int64,2
4900,false,DivideError(),error,DivideError,9.0,4900,true,4900,valid,Int64,2
4680,false,DivideError(),error,DivideError,9.0,4680,true,4680,valid,Int64,2
