bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
74,1,6,1,1,2.165802036426505e-18,16987111176218035,7820105341594179124,-417268497099626548,7976980877475495493,"DomainError(-8.016821956050144e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,6.478340758037769e-18,0.3343143124633208
80,0,0,2,1,1.6158595615272615e-18,-1613742989143847448,-7094942939884689891,-1536465725261607738,-7236432090168010451,"DomainError(-1.3743084109876751e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-7.633764055965271e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",0.31707317073170727,5.096172463278287e-18
76,1,6,1,1,1.4687538080369373e-18,756369600002413931,-5024181753477260827,530100033501345169,-5666332709766213649,"DomainError(-3.1389274890111053e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.0,1.4687538080369373e-18
75,2,6,1,1,1.2602853209053444e-18,15888747998968742,-4024842164532144149,784325725193139444,-3827102376085387362,"DomainError(-4.4258725840331075e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.5918017552200018e-17,0.07917350994069995
76,2,6,1,1,1.2477798965758629e-18,-6576595537504284112,-682861018603971433,-6911983814025117830,45008585676539900,out,"DomainError(-6.62280605952665e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",7.07565815487174e-18,0.17634824482253147
76,2,0,2,1,1.185238025528163e-18,85808537868409976,-7437463053788587484,-112971985947825225,-7268852629368813206,"DomainError(-1.2867752608501727e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-2.9154669840513034e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",2.054270545702024e-18,0.576962965276378
72,0,6,1,1,1.0614847122346658e-18,68065266134268930,-42922367394502467,799936202250550896,-636111557515586202,out,"DomainError(-4.0855519605741757e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",1.0,1.0614847122346658e-18
74,0,0,2,1,8.671995727414107e-19,7734428234512289337,640218965190141417,7995916803095608157,561392730295149640,"DomainError(-8.7748650369392e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-6.377914817377316e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",0.30000000000000004,2.8906652424713684e-18
78,1,6,1,1,8.073171961563784e-19,-36584323988185572,-2108731437335396751,-1151671461662605475,-2648069270460446452,"DomainError(-9.861692406323586e16, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.083016126821157e-18,0.7454341409725787
77,2,6,1,1,7.82424535249461e-19,-3881885511815968320,11339703848151266,-4312984546681230387,-1191838733243871720,"DomainError(-7.579676030396369e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,9.948615873847748e-19,0.7864657206297874
73,1,6,1,1,7.573147759022811e-19,39672076071070062,223030136351593653,-67564711201858324,-1093063094041269122,out,"DomainError(-4.822956655820012e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",9.469010332365856e-19,0.7997823946962196
77,0,0,2,1,7.195000434767912e-19,5676994161533198760,-948607295732198260,5781408906818964219,-1221943739457893145,"DomainError(-5.527848333392156e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-1.8334180743698486e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",6.1288145850366024e-18,0.11739628169425104
72,4,6,1,1,7.124543417536902e-19,-642054150425119594,660236355266736,-2033907915403017073,181857519047513008,out,"DomainError(-3.074078469553398e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",4.0174275598811744e-18,0.17734093051693078
71,3,6,1,1,6.75579685442148e-19,-472772702294745328,991973399995770104,600121922724297,2394450017513433678,"DomainError(-9.124755948290732e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,4.564423030985379e-18,0.14800987569644747
75,1,6,1,1,6.45219690013165e-19,3528154716836550906,-1306282411821366133,4261643114070651572,59023372198085137,"DomainError(-6.123238407933168e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.808486263393704e-18,0.35677334302909325
76,1,0,2,1,5.982867050820943e-19,-4269812555786715162,759990511707993894,-4738146410066979884,689732290340216094,"DomainError(-1.2802979099041069e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-7.547452506792397e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",0.30327868852459017,1.9727291356760946e-18
75,0,0,2,1,5.651892460923035e-19,1001806219270730293,1382450855669224460,926441967025307119,1867279770897217546,"DomainError(-2.138698903438123e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-8.407563160288615e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",7.144600361539478e-18,0.07910718829492651
74,3,6,1,1,5.1661843520673095e-19,5527978662294268629,4291343523380410,5286733262107440264,-1916280960546709092,"DomainError(-6.84920221564985e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.0,5.1661843520673095e-19
73,0,0,2,1,5.01529204817447e-19,8668832414562986129,17003358117294491,8360736220377442529,403429528812681368,"DomainError(-5.344211224026492e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-5.608467889346351e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",2.769166348119627e-17,0.018111198164675265
79,0,0,2,1,4.3198937939390394e-19,-1061255613574636296,-5432520531314725280,-498655172923400602,-5319850122839179603,"DomainError(-6.334169215703592e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-2.845126419470135e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",1.97658881431602e-18,0.2185529819176832
73,2,6,1,1,4.1775890805613776e-19,5416731135228390167,2205045452247721280,4478982555286366241,2649566178843055,"DomainError(-7.221708959621559e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.0689802997695654e-17,0.03908013161198498
76,4,6,1,1,4.08425224146241e-19,-2438193436869186884,-1326050701806381048,6391535265432815,-1188912354958201397,out,"DomainError(-1.3220979391372436e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",9.581129427711644e-19,0.42628087557709704
75,3,6,1,1,4.068958503135048e-19,2544469506066033,-1310430240875822539,-256929756863504991,-3754325697628173671,out,"DomainError(-4.0788153587678035e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",6.7945266903013085e-18,0.05988582705758136
74,5,6,1,1,3.5487005574737026e-19,327018912193051,-830535598002487778,-2808695013901075158,-1054457378221292654,"DomainError(-2.9655798037643894e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,2.297787822353175e-18,0.1544398713820087
75,6,6,1,1,3.3495718749795043e-19,-2740627706829238756,-5707180584047385349,688517368976791,-4524753476579128167,out,"DomainError(-4.5312872586240445e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",7.124382907826073e-19,0.47015607082264327
74,3,0,2,1,2.998179903253136e-19,81615394667794250,-3370513965341888674,95675365133174643,-2397803147925901261,"DomainError(-6.532564838251622e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-6.477231360985586e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",0.2833333333333333,1.0581811423246364e-18
71,0,6,1,1,2.964413991344127e-19,473951729475334650,3409781938563342436,87778911522225016,58610909865351158,"DomainError(-2.3854509142462423e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,8.673583594596508e-18,0.034177499519240304
73,4,6,1,1,2.7668217217274733e-19,6581124760756976549,767365566707994,4932171780124670631,-3215409752282320114,"DomainError(-7.848696416808956e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,2.189022337507028e-17,0.012639531695590064
71,2,6,1,1,2.577360626583908e-19,8495182096829998,3678022619712791788,48768336963278763,7557751818842060889,out,"DomainError(-4.496058642340693e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",1.572753722067367e-17,0.016387566536456812
74,1,0,2,1,2.1944630592972513e-19,1217845471777032286,79065766416943259,2217469460047711591,-579674518443299545,"DomainError(-2.1558119750002237e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-7.817196618365249e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",1.8125018960761184e-18,0.12107369730470571
72,1,6,1,1,1.9424755334557003e-19,60034721721089661,18934913064443291,5146707485219757377,-773772358586927434,out,"DomainError(-3.787106445544779e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",1.0,1.9424755334557003e-19
72,2,6,1,1,1.6451533438749346e-19,6884710109763202,-30160675835019085,-6009493467023213632,836371786679376990,"DomainError(-3.9692898018314097e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,4.353346894608921e-17,0.0037790541018273838
71,1,6,1,1,1.6438957423390102e-19,-21903859224082975,8123451436703622,6058102960399092613,202428599762206611,"DomainError(-2.4599075296474373e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,8.535752183029804e-18,0.019258944110482623
78,1,0,2,1,1.6412215899619542e-19,-1613843892557237865,-7092402123386271631,-56748206101865828,-7518676587694924410,"DomainError(-8.80137584940706e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-6.42093975659042e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",2.9329540928016615e-19,0.559579706341125
72,7,6,1,1,1.4645731647365408e-19,-5738350678462431426,2231554847395226267,62385463849317,5931719055402141259,"DomainError(-7.989761610971342e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,7.551123135705669e-19,0.19395434803748215
77,2,0,2,1,1.4471241977130226e-19,-7244516634696582941,-1575327014159556023,-7581386396760639618,-2577932968810490,"DomainError(-2.525358281857986e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-2.577452593668041e16, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",2.8099940636275004e-19,0.5149919056572273
72,3,6,1,1,1.4466508611171628e-19,-5353858136295996281,96184624877369993,1598133080668256,4466767209293622429,"DomainError(-6.832771814269822e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.874105989542043e-18,0.0771915179392104
72,2,0,2,1,1.142733539341695e-19,-427833306965102447,2378307256243378337,359237938450567214,5150921856183830,"DomainError(-3.228167979162548e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-8.465701438933126e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",1.6357159910270639e-18,0.06986136625247358
75,2,0,2,1,1.1061544755661319e-19,-6515525054922485464,383896849391459026,-4091473877222007929,17304719949793496,"DomainError(-7.269197427696163e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-8.148216411124697e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",5.166785044033413e-18,0.021408950946072657
75,1,0,2,1,1.0043390395543144e-19,7366687765023310387,56241525377836336,4751073416628905764,-1334476260919620497,"DomainError(-3.204665538774483e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-5.195947116700691e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",5.687271764312448e-19,0.1765941704872498
73,1,0,2,1,8.202250389065511e-20,482673110029794126,33778310984703724,262923588804201536,-3084584885262368352,"DomainError(-6.527909961782775e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-7.953036532331793e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",2.4023452555956642e-19,0.34142679408633764
72,4,0,2,1,8.157436194019504e-20,1350628887497976049,-3262128392958643311,393809992722942009,-73123137144804,"DomainError(-5.314935608241305e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-6.98785251291956e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",9.228857455669048e-19,0.08839053190716042
75,3,0,2,1,7.883297372344158e-20,9706394488271304,-2949568994383012731,-123909372350102096,-6118014730050495692,"DomainError(-4.4926275385677553e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-7.95666915824813e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",1.3393342563114045e-18,0.05885982035623553
76,4,0,2,1,7.76283598727782e-20,-6079975155328071528,5413714942364203,-3601277271297249744,-2715327303128050148,"DomainError(-6.250307420632827e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-7.010001719388136e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",2.521427354284333e-19,0.3078746636934609
73,4,0,2,1,6.349442193863037e-20,989276071640921,6112133369372135682,-3916298564500701721,4996248211574652837,"DomainError(-6.835488883234034e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-7.651253899401558e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",2.5158054634804614e-18,0.025238208144595473
73,2,0,2,1,5.697954275716726e-20,-603465283829460121,-789640776561280,-102988349404200293,4773091243561207913,"DomainError(-5.031132320473173e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-8.137994928393294e16, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",1.5404811010148513e-18,0.03698814787122658
