bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
35,40,9,0,1,5.544256241992246,0.0,25480101,7.744218549706469e-21,9.99859451623447e-21,0.7745307140050908,-125215600043313055399,-370738675690,-125215600043313055399B,-370738675690B
28,98,0,0,1,5.54737683260885,0.0,28046375,7.694169423851733e-21,9.998108508829486e-21,0.7695625044534065,-226353,129968544349962352008,-226353B,130.0 EB
39,4,11,0,1,5.547391804804993,0.0,29399502,7.326881538166733e-21,9.998057223039667e-21,0.7328305264429336,136452542647457243876,-31170756514487747,136.5 EB,-31170756514487747B
32,72,17,0,1,5.545269466095146,0.0,26872405,7.304472854798237e-21,9.999339677457735e-21,0.730495521745827,-136902418541092502492,1418709901,-136902418541092502492B,1.4 GB
40,8,4,0,1,5.543914113176388,0.0,22259834,7.290193339816938e-21,9.974788893286497e-21,0.7308619177618466,-133632385479601158995,-71564093927757273,-133632385479601158995B,-71564093927757273B
36,32,16,0,1,3.100910232273983,0.0,4959225,6.915345734514359e-21,9.994838355579735e-21,0.6918917033464365,-144605908037498830877,21787385991714,-144605908037498830877B,21.8 TB
30,72,2,0,1,5.5422972485393505,0.0,19608063,6.734902677477034e-21,9.999803910364522e-21,0.6735034744527832,148480245058944660903,-10010304,148.5 EB,-10010304B
42,2,16,0,1,3.129800749014279,0.0,7736656,6.573866245127338e-21,9.008958343600945e-21,0.7297032569583085,-123682422909998045832,28435062099864614082,-123682422909998045832B,28.4 EB
42,0,14,0,1,5.482273991928448,0.0,18297997,6.39091132425369e-21,8.995053877569137e-21,0.7104917225888588,-53123393949433925670,103348813105758910582,-53123393949433925670B,103.3 EB
39,12,5,0,1,3.100957044050397,0.0,5793336,5.8332109285091555e-21,9.9781673391965e-21,0.5845974245786582,-156307458266993406942,-1657387034397092,-156307458266993406942B,-1657387034397092B
40,2,12,0,1,5.130303217177737,0.0,12978203,5.358596482156554e-21,9.98189905266278e-21,0.5368313638402394,186018344517650555144,-597685133000138238,186.0 EB,-597685133000138238B
38,18,6,0,1,5.13031269633601,0.0,14577417,4.695436723004753e-21,9.927744140875628e-21,0.4729610933134519,-193006886235191348695,-345318574951832,-193006886235191348695B,-345318574951832B
43,0,15,0,1,3.118829142374361,0.0,7037006,4.561214159053616e-21,4.77434885932896e-21,0.9553583731404787,114724525701868891420,-104515344457502271720,114.7 EB,-104515344457502271720B
31,84,13,0,1,5.148940637582619,0.0,17656392,4.50133493121114e-21,9.991034934118689e-21,0.4505374028709873,-198353856467433400960,-34625855,-198353856467433400960B,-34625855B
29,112,15,0,1,5.482273991928448,0.0,18240306,3.2780231059403964e-21,9.999624422409193e-21,0.3278146225766575,-375346,-278534790253999073408,-375346B,-278534790253999073408B
37,24,7,0,1,5.547402818700568,0.0,29838473,3.232326663520068e-21,9.974983731321466e-21,0.3240433017820928,-280370811756832626749,-15627868445847,-280370811756832626749B,-15627868445847B
44,0,0,0,1,3.0909091114780534,0.0,4240448,1.951543755264672e-21,0.7142857142857143,2.732161257370541e-21,-141657480932333674407,-580870209230403418029,-141657480932333674407B,-580870209230403418029B
43,0,16,1,1,4.130303207160044,0.0,12709653,1.430293787634996e-21,1.9957397523238766e-17,7.166734971178156e-5,303343241372694379305,1002500301722868540227,303.3 EB,"BoundsError(""kMGTPE"", 7)"
26,162,16,0,1,3.1009570438428793,0.0,5551936,1.1910254220496347e-21,9.613391668144563e-21,0.12389232262285524,-839612640911644642236,9959,-839612640911644642236B,10.0 kB
23,220,22,1,1,5.542298250753387,0.0,20540598,9.992139651534935e-22,9.99997852414786e-22,0.9992161110552393,1000786653183320615163,3,"BoundsError(""kMGTPE"", 7)",3B
34,72,17,0,1,3.0909091026455733,0.0,4189291,9.991518112149591e-22,9.998966331653175e-22,0.9992551010517952,-1000848908775874162467,44107352185,-1000848908775874162467B,44.1 GB
26,162,18,1,1,4.130151283345802,0.0,11547159,9.975277788232903e-22,9.999986538075817e-22,0.997529121689431,1002478348201616942302,3394,"BoundsError(""kMGTPE"", 7)",3.4 kB
27,144,17,1,1,3.090909101568996,0.0,4134495,9.974947671346316e-22,9.99978751148665e-22,0.9975159632030381,1002511524819889378257,11163,"BoundsError(""kMGTPE"", 7)",11.2 kB
24,242,22,0,1,4.1300199742792465,0.0,9318961,9.954871103905005e-22,9.999867362218118e-22,0.9955003144858581,1,-1004533348109077140620,1B,-1004533348109077140620B
25,180,20,1,1,5.130303217177737,0.0,12884062,9.947190054023057e-22,9.999953969290983e-22,0.9947235841854913,118,1005309031564706443278,118B,"BoundsError(""kMGTPE"", 7)"
24,200,21,1,1,4.129901755144716,0.0,8680593,9.938558991134724e-22,9.999983764460514e-22,0.9938575126947615,-8,1006182084235761109906,-8B,"BoundsError(""kMGTPE"", 7)"
25,220,21,0,1,3.1188007283407106,0.0,6571047,9.90495978836833e-22,9.999971119240418e-22,0.990498839472718,18,-1009595214282775587852,18B,-1009595214282775587852B
31,84,14,1,1,5.54637178742862,0.0,27217751,9.892598036619286e-22,9.999365272101604e-22,0.9893225987273212,1010856800507038498397,-82582225,"BoundsError(""kMGTPE"", 7)",-82582225B
27,144,18,1,1,5.54415605527955,0.0,23446033,9.88292469813215e-22,9.999926249856396e-22,0.9882997585381266,1011846220166989317901,-1107,"BoundsError(""kMGTPE"", 7)",-1107B
31,84,16,1,1,5.1303152548892985,0.0,15233323,9.860464004227257e-22,9.999884559181303e-22,0.9860577835545072,1014151057771471958590,466217602,"BoundsError(""kMGTPE"", 7)",466.2 MB
28,162,17,0,1,5.547391804804993,0.0,29410280,9.824741764827255e-22,9.99998717294238e-22,0.9824754367096292,-1017838457169446658175,30744,-1017838457169446658175B,30.7 kB
38,18,18,1,1,5.541205793513789,0.0,18677276,9.818716319075447e-22,9.999756658443736e-22,0.9818955255060712,2410177656491769,1018465483662360542573,2.4 PB,"BoundsError(""kMGTPE"", 7)"
29,112,16,1,1,4.129901755144716,0.0,8745552,9.808864270137343e-22,9.999920476028493e-22,0.9808942274741941,-368584,1019486020460549979619,-368584B,"BoundsError(""kMGTPE"", 7)"
30,98,17,1,1,4.129913851262958,0.0,9140418,9.808748711459732e-22,9.999677635187652e-22,0.9809064921196995,1019498031213410644639,28034996,"BoundsError(""kMGTPE"", 7)",28.0 MB
34,50,16,1,1,4.1303032071600425,0.0,12546064,9.794089896561897e-22,9.998965234328294e-22,0.9795103460243044,1021023914358067186864,384152764147,"BoundsError(""kMGTPE"", 7)",384.2 GB
28,128,17,1,1,5.544151575715321,0.0,23353953,9.765190466081791e-22,9.999941096930254e-22,0.9765247986390113,1024045566211308589700,-11771,"BoundsError(""kMGTPE"", 7)",-11771B
26,162,19,1,1,5.130303410531129,0.0,13428211,9.75068361724912e-22,9.999732091570733e-22,0.9750944853281072,-403,1025569118283136000379,-403B,"BoundsError(""kMGTPE"", 7)"
32,72,13,1,1,5.130303511127557,0.0,14045014,9.747536464194716e-22,9.999190910521444e-22,0.9748325190929268,1025900240201632247339,-869059526,"BoundsError(""kMGTPE"", 7)",-869059526B
40,8,5,1,1,4.130140282224909,0.0,11152370,9.738955060876012e-22,9.99981361247484e-22,0.9739136586232563,1026772332412858529399,-31871682165524180,"BoundsError(""kMGTPE"", 7)",-31871682165524180B
36,32,17,1,1,3.118829142374361,0.0,7007074,9.736541983976194e-22,9.99942987890008e-22,0.9737097116427998,1027058738239977820369,53908580850709,"BoundsError(""kMGTPE"", 7)",53.9 TB
29,112,18,1,1,5.54526946609503,0.0,26702174,9.732586020447864e-22,9.999865918803334e-22,0.9732716517875617,4935660,1027476148578636295549,4.9 MB,"BoundsError(""kMGTPE"", 7)"
40,8,16,1,1,4.129901755144716,0.0,8664401,9.728905991988252e-22,1.000944668731785e-21,0.9719724072575311,533292287099469980,1028398091087190056979,533.3 PB,"BoundsError(""kMGTPE"", 7)"
36,32,9,1,1,5.147681588151298,0.0,17404077,9.725040355992925e-22,9.998906481765788e-22,0.972610392319171,1028273360230454395645,-7688027839245,"BoundsError(""kMGTPE"", 7)",-7688027839245B
42,2,17,1,1,5.541207923907301,0.0,19417036,9.717874549009864e-22,1.1107349129307356e-21,0.8749049332904026,1061374747345363985928,32343146909764569740,"BoundsError(""kMGTPE"", 7)",32.3 EB
30,98,15,1,1,3.100957043942595,0.0,5599507,9.690291238378696e-22,9.999588570968165e-22,0.9690689941496741,-3130314,1031960727908224557303,-3130314B,"BoundsError(""kMGTPE"", 7)"
27,180,18,0,1,5.1303152548964395,0.0,15264772,9.686313486412496e-22,9.999969019832132e-22,0.9686343494867246,1394,-1032384509754668627806,1.4 kB,-1032384509754668627806B
30,128,18,0,1,5.130312692495016,0.0,14469598,9.663443180935534e-22,9.998515311592227e-22,0.9664878114185401,1213777,-1034827836492941491671,1.2 MB,-1034827836492941491671B
31,112,15,0,1,5.542312772950925,0.0,20812219,9.663041972811015e-22,9.999698198790937e-22,0.9663333613387826,-1034870802397127493072,-5789538,-1034870802397127493072B,-5789538B
42,2,3,1,1,5.547392014687093,0.0,29546532,9.649687713765312e-22,9.987102933961133e-22,0.9662149051204387,1035200399051551404813,-1102567078115865598,"BoundsError(""kMGTPE"", 7)",-1102567078115865598B
