bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
6,2,4,0,1,0.00010006003602161297,0.00010150223304912708,0.9857914748849309,-1.0,9993.0,-1B,10.0 kB
6,8,5,0,1,9.995002498750625e-5,0.00010009008107296567,0.998600699650175,0.0,10005.0,0B,10.0 kB
7,4,4,0,1,9.96512207274539e-5,0.000100999899000101,0.9866467364225211,44.0,10079.0,44B,10.1 kB
8,8,4,0,1,9.902951079421667e-5,0.00010009008107296567,0.9894038423450188,-10103.0,-5.0,-10103B,-5B
7,12,5,0,1,9.871668311944718e-5,9.999000099990002e-5,0.9872655478775912,-10129.0,1.0,-10129B,1B
9,4,3,0,1,9.845426799251748e-5,0.00010098969905069682,0.9748941616619081,-10036.0,121.0,-10036B,121B
9,0,2,0,1,9.338812103100486e-5,9.890218573830482e-5,0.9442472917444901,10075.0,-633.0,10.1 kB,-633B
10,2,1,0,1,8.676036786395974e-5,9.088430428065073e-5,0.9546243276071491,-10238.0,1288.0,-10238B,1.3 kB
10,0,1,0,1,8.197393228953193e-5,0.8181818181818181,0.0001001903616872057,-1967.0,10232.0,-1967B,10.2 kB
13,0,1,0,1,4.8918892476274336e-5,1.0,4.8918892476274336e-5,-81458.0,-101900.0,-81458B,-101900B
11,0,0,0,1,4.461895413171515e-5,0.007936507936507936,0.00562198822059611,-10081.0,12331.0,-10081B,12.3 kB
12,2,2,0,1,1.0024761160065362e-5,1.110790216159776e-5,0.9024891481960443,-2557.0,-102310.0,-2557B,-102310B
10,8,4,0,1,9.981833063823841e-6,1.0008206729518205e-5,0.9973647960711506,182.0,-100000.0,182B,-100000B
7,12,6,0,1,9.977948733299409e-6,1.000060003600216e-5,0.997735005637541,1.0,100222.0,1B,100.2 kB
9,4,4,0,1,9.966015885829321e-6,1.0099275881919266e-5,0.9868049949671619,100325.0,-16.0,100.3 kB,-16B
8,8,5,0,1,9.886111989876621e-6,1.0009509033581903e-5,0.9876720183486238,20.0,101172.0,20B,101.2 kB
9,12,5,0,1,9.812387157547688e-6,1.000060003600216e-5,0.9811798414318236,-101900.0,12.0,-101900B,12B
8,18,6,0,1,9.75447974482281e-6,9.99990000099999e-6,0.9754577289620258,2.0,-102515.0,2B,-102515B
11,0,2,0,1,9.711189232233379e-6,9.885721064494444e-6,0.9823450579757997,100614.0,-2360.0,100.6 kB,-2360B
10,2,3,0,1,9.526077637532747e-6,9.98771511041419e-6,0.9537794713026911,-221.0,104754.0,-221B,104.8 kB
11,4,2,0,1,8.543284551178546e-6,9.899421873762572e-6,0.8630084322218521,6809.0,-110242.0,6.8 kB,-110242B
12,2,1,0,1,7.9761354028746e-6,9.0046283789868e-6,0.8857817410308357,16506.0,-108868.0,16.5 kB,-108868B
11,4,3,0,1,7.962290591757437e-6,1.0095707305253806e-5,0.7886808076947576,-126048.0,-456.0,-126048B,-456B
12,0,1,0,1,7.733652990990293e-6,8.99733678831066e-6,0.8595491280306252,118998.0,-10307.0,119.0 kB,-10307B
13,0,0,0,1,4.191114836546521e-6,4.733705402577976e-6,0.8853772003352891,-136503.0,102097.0,-136503B,102.1 kB
13,0,2,0,1,2.3899356940002815e-6,0.0196078431372549,0.00012188672039401436,651803.0,1.032186e6,651.8 kB,1.0 MB
8,18,4,0,1,9.996401295533608e-7,1.0000070000490004e-6,0.999633132072454,1.000361e6,1.0,1.0 MB,1B
9,12,3,0,1,9.99116780765803e-7,1.000089007921705e-6,0.999027859372315,-9.0,1.000875e6,-9B,1.0 MB
10,8,2,0,1,9.958274828468716e-7,1.0009188434983314e-6,0.9949133132176182,1.004116e6,-74.0,1.0 MB,-74B
12,8,3,0,1,9.941276877484698e-7,9.988333626324454e-7,0.9952888288877599,-1.003014e6,2893.0,-1003014B,2.9 kB
11,4,1,0,1,9.912266528952243e-7,8.328033675539808e-6,0.11902289201910254,1.008659e6,-192.0,1.0 MB,-192B
10,18,6,0,1,9.895865804143004e-7,9.99999000001e-7,0.9895875700008807,-1.010531e6,-8.0,-1010531B,-8B
12,2,0,0,1,9.844554484686797e-7,4.737270952949425e-6,0.20781066952815053,-1353.0,1.014437e6,-1353B,1.0 MB
11,4,0,0,1,9.83968206019327e-7,1.0098776129320888e-6,0.9743440129962521,7288.0,1.023581e6,7.3 kB,1.0 MB
11,12,5,0,1,9.81185762994579e-7,1.0000540029161574e-6,0.9811327789633774,-1.019195e6,-20.0,-1019195B,-20B
9,24,7,0,1,9.652267414138256e-7,9.99998000004e-7,0.9652286718673084,-1.036021e6,5.0,-1036021B,5B
13,4,3,0,1,9.150707832207297e-7,1.0097511670199113e-6,0.9062339446671671,-1561.0,-1.003305e6,-1561B,-1003305B
12,8,4,0,1,8.719771821010988e-7,1.0008968035359683e-6,0.8711958905459362,-786.0,-1.147605e6,-786B,-1147605B
13,4,2,0,1,7.782222291397531e-7,9.890981600796025e-7,0.7867997945493316,-1.215755e6,69225.0,-1215755B,69.2 kB
14,2,2,0,1,7.72188369484104e-7,1.110385659147135e-6,0.6954235792969502,-14354.0,-1.093538e6,-14354B,-1093538B
14,0,2,0,1,7.457610939420334e-7,9.089942251596875e-7,0.820424457384228,1.123383e6,-217529.0,1.1 MB,-217529B
14,2,1,0,1,7.190231782514184e-7,8.996996802467337e-7,0.7991813202092429,-1.17276e6,111033.0,-1172760B,111.0 kB
15,0,1,0,1,6.92827255355235e-7,1.0,6.92827255355235e-7,-189969.0,-1.530233e6,-189969B,-1530233B
16,0,0,0,1,6.061436293698409e-7,0.8,7.576795367123011e-7,-2.750655e6,-1.100881e6,-2750655B,-1100881B
15,0,3,0,1,4.278190171542591e-7,4.989746071822405e-7,0.8573963704690222,1.19951e6,-1.137927e6,1.2 MB,-1137927B
