bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
14,9,9,0,1,1.0042073988541864e-6,4.0,0.0,-2532.0,-995807.0,in,out,9.994925939527854e-6,0.10047171984364135
17,8,9,0,1,9.956765004573484e-7,39551.0,-1.003516e6,20.0,48.0,out,in,9.99945182871206e-7,0.995731083576401
15,11,9,0,1,9.400039986456109e-7,4.0,0.0,-1.059302e6,97954.0,in,out,9.998993706104492e-7,0.940098600193866
11,12,6,1,1,9.260761948917503e-7,0.0,0.0,2.0,-1.059828e6,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814206333977947e-7,0.9436078307071706
11,12,9,0,1,9.254041008321663e-7,-1.080609e6,0.0,0.0,3.0,out,in,9.99998999999e-7,0.9254050262381179
17,14,6,1,1,8.803310072639884e-7,-1.033134e6,-419091.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.751962367208743e-7,0.9027219077712266
12,11,9,0,1,7.946901979641884e-7,-6.0,-1.258351e6,0.0,1.0,out,in,9.999570018469207e-7,0.7947243696442903
16,10,9,0,1,7.57816943871117e-7,53.0,4.0,75749.0,-1.317403e6,in,out,9.99871641193705e-7,0.7579142288368044
13,10,9,0,1,7.552225526440262e-7,3.0,1.0,-20.0,-1.324112e6,in,out,9.999930000489996e-7,0.7552278392018947
14,11,6,1,1,7.507967567514109e-7,0.0,0.0,3696.0,-1.307248e6,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.813796407503531e-7,0.7650421157885028
14,11,9,0,1,6.874897959665023e-7,-1.454561e6,-356.0,6.0,0.0,out,in,9.999580344053146e-7,0.687518648095427
15,8,9,0,1,6.787313425236519e-7,-1.0,-32.0,-2.0,-1.473369e6,in,out,9.999889801216593e-7,0.678738822142897
17,14,9,0,1,5.443432295944512e-7,-1.713966e6,-661187.0,0.0,1.0,out,in,9.897971312522616e-7,0.5499543415586228
13,8,6,1,1,5.261352597567652e-7,5690.0,1.865446e6,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.81235248528154e-6,0.053619686058563876
16,12,9,0,1,4.674468210127006e-7,3.0,1.0,2.113674e6,-330025.0,in,out,6.748618450040081e-6,0.06926555775425774
12,8,6,1,1,4.065389745279159e-7,0.0,0.0,749.0,2.414237e6,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814390331493166e-6,0.04142274362406217
18,9,9,0,1,3.405347470077908e-7,-27.0,4.0,-2.933147e6,142058.0,in,out,6.59500081886528e-6,0.05163528502281253
13,10,6,1,1,3.3032865771247707e-7,0.0,0.0,-2.971227e6,993.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.81416702255888e-7,0.3365834889025043
19,10,9,0,1,2.492397062512377e-7,3.781829e6,-1.340022e6,22.0,15.0,out,in,9.937172301258845e-7,0.2508155224597081
20,8,9,0,1,2.3260998823217774e-7,-23.0,-1.0,2.667751e6,-3.371164e6,in,out,9.813971448364171e-7,0.23701922249931756
15,9,9,0,1,2.2359559194647666e-7,-4.472286e6,-857.0,74.0,1.0,out,in,9.999743128472785e-7,0.22360133562813367
17,7,9,0,1,2.0378118237507727e-7,4.901517e6,236537.0,0.0,-70.0,out,in,9.875072997200001e-6,0.02063591655807079
18,12,9,0,1,1.6410889143564803e-7,0.0,17.0,1.275446e6,-5.95852e6,in,out,9.925205519788954e-7,0.16534558514526115
12,11,6,1,1,1.5013355964863806e-7,0.0,0.0,-6.537389e6,95.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814785369752044e-7,0.15296672723107235
18,7,9,0,1,1.2882516789611336e-7,35.0,-10.0,-7.762413e6,12665.0,in,out,9.998152543085697e-7,0.12884897218857042
15,14,9,0,1,9.835097063115762e-8,1.0,2.0,6099.0,-1.0167664e7,in,out,9.999533020259299e-8,0.9835556363671797
15,12,9,0,1,9.637016937650593e-8,22.0,0.0,-1.0376633e7,138.0,in,out,9.999917000670845e-8,0.963709692490857
12,16,9,0,1,9.632794966055475e-8,-1.0381195e7,1.0,8.0,1.0,out,in,9.999927000532847e-8,0.9632865285458775
12,16,6,1,1,9.466200219471849e-8,0.0,0.0,-1.0368273e7,3.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814247551304583e-8,0.9645365240673526
14,13,9,0,1,8.527772225111333e-8,0.0,-1.0,-1.1726392e7,66.0,in,out,9.999762005549073e-8,0.8527975186188529
16,14,9,0,1,8.306535189801652e-8,1.0,7.0,-4447.0,-1.2038706e7,in,out,9.997498573351975e-8,0.8308613528530493
18,17,9,0,1,7.743382140469224e-8,9.0,1.0,-1.2113408e7,4.47695e6,in,out,9.990106683002268e-8,0.7751050500435849
13,14,9,0,1,7.524142528026093e-8,21.0,1.0,-1.329053e7,0.0,in,out,9.999903000907091e-8,0.7524215512234046
17,12,9,0,1,7.316906574763962e-8,-4786.0,-1.3666978e7,0.0,-1.0,out,in,9.999596626602777e-8,0.7317201731216011
18,11,9,0,1,7.188225552460213e-8,0.0,-10.0,-1.3911639e7,-2039.0,in,out,9.999520874010607e-8,0.7188569975530398
16,7,9,0,1,6.944770944529442e-8,1.4399321e7,159.0,-2.0,-31.0,out,in,9.999389845162883e-7,0.0694519470894408
18,13,9,0,1,5.8443570544460793e-8,-10144.0,-1.7110507e7,1.0,12.0,out,in,9.99591929302351e-8,0.5846742938916137
18,16,9,0,1,5.676190230017605e-8,1.7543514e7,-1.612362e6,1.0,0.0,out,in,6.88076614701143e-7,0.08249357860364116
14,14,9,0,1,4.620818840517025e-8,0.0,-2.1641186e7,-25.0,0.0,out,in,9.999374039185097e-8,0.46211081037764645
19,7,9,0,1,4.522915145494927e-8,-30.0,-1.0,2.2094345e7,821293.0,in,out,9.997998869034082e-7,0.0452382042120784
16,11,9,0,1,3.565827166352911e-8,12.0,-2.8043924e7,-11.0,60.0,out,in,9.998913117807967e-8,0.35662147718857634
20,16,9,0,1,3.04025959685057e-8,4.0,-2.0,-3.164118e6,-3.2739386e7,in,out,9.922787324401841e-8,0.3063916919164486
20,12,9,0,1,2.459759229716339e-8,22.0,52.0,2.9845938e7,2.7604406e7,in,out,6.727636419099454e-7,0.036562011923432634
14,14,6,1,1,2.4543719678038325e-8,0.0,0.0,-3.9989109e7,189.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.811966400960328e-8,0.25014068205162376
19,18,9,0,1,2.274688225219569e-8,-2.2569714e7,3.7726274e7,1.0,4.0,out,in,9.908432607105531e-8,0.2295709438027913
21,14,9,0,1,1.9723544916273022e-8,0.0,-14.0,-2.4780376e7,4.4232402e7,in,out,9.875144568813311e-8,0.19972917640681373
15,14,6,1,1,1.8331904549102794e-8,2697.0,-5.3539526e7,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.814280333585475e-8,0.186788067244922
17,15,9,0,1,1.711359609213039e-8,-5.8433061e7,-34914.0,1.0,0.0,out,in,9.992740249806335e-8,0.1712602916148257
16,14,6,1,1,1.5768499318079172e-8,0.0,0.0,16553.0,-6.2243174e7,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.811195393351092e-8,0.16071945044296293
15,11,6,1,1,1.2275772728299492e-8,0.0,0.0,-2205.0,7.9952725e7,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814011625273475e-7,0.012508414700351874
19,12,9,0,1,1.1716883940194229e-8,-8.5342561e7,862812.0,1.0,-33.0,out,in,9.99718097860485e-8,0.11720187886234876
19,18,6,1,1,1.1621745482157547e-8,-1.6339196e7,8.2856488e7,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.711944825416474e-8,0.11966445126153377
13,20,9,0,1,9.946396086498952e-9,6.0,0.0,6.0,-1.00538928e8,in,out,9.999964600125315e-9,0.99464312967411
20,18,9,0,1,9.783117165686209e-9,-1.02161984e8,3.350461e6,1.0,33.0,out,in,9.997467391574059e-9,0.9785595473841199
14,19,9,0,1,9.641386786607813e-9,0.0,43.0,-1.03719519e8,1.0,in,out,9.999929600495611e-9,0.9641454661970792
16,16,9,0,1,9.58524455112004e-9,10.0,4.0,486.0,-1.04327016e8,in,out,9.999935700406005e-9,0.9585306184249637
