bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
69,4,0,2,1,80.44188122918828,-137.5,191921893,1.548068539902659e-36,1.5534996833361198e-36,0.9965039301316125,634523396951927019928967676349583,100013943545770103874409216350825141,"BoundsError(""kMGTPE"", 10)","BoundsError(""kMGTPE"", 11)"
68,8,0,2,1,82.89709891733263,-137.5,514478429,1.5397768237528396e-36,1.5397768237528396e-36,1.0,99364060679229067524846426078860,100013943545770103874409216350825141,"BoundsError(""kMGTPE"", 10)","BoundsError(""kMGTPE"", 11)"
65,24,1,2,1,4.102074021968075,-137.5,10916451,1.5357883080820868e-36,1.923044661178533e-36,0.7986233180569414,125217631557117656259372316731711586,53525254163383589519870401145,"BoundsError(""kMGTPE"", 11)","BoundsError(""kMGTPE"", 9)"
67,12,0,2,1,5.186163988738395,-137.5,42044278,1.5042152635582088e-36,1.538195415011559e-36,0.9779090802626694,102278984986873303272824601833754646,2297884103150255103280877654900,"BoundsError(""kMGTPE"", 11)","BoundsError(""kMGTPE"", 10)"
38,648,23,1,1,4.101824694652787,-137.5,4009844,9.998421519177803e-37,9.999993562488161e-37,0.9998427955677637,1000157873002170357601034722926727742,9,"BoundsError(""kMGTPE"", 12)",9B
39,612,22,1,1,5.186051467912208,-137.5,38771484,9.997992209858927e-37,9.999991666551163e-37,0.9998000541641525,60,1000200819334415174308549966466166333,60B,"BoundsError(""kMGTPE"", 12)"
45,420,16,1,1,82.89709882724729,-137.5,483321913,9.99356824059731e-37,9.99989829785226e-37,0.9993669878366354,1000643589881796355732493953825383939,-9515358,"BoundsError(""kMGTPE"", 12)",-9515358B
45,480,33,0,1,4.185527326447322,-137.5,20746018,9.992508404836262e-37,9.999067838667126e-37,0.9993439954667076,1979683,-1000749721177128228681238810483950444,2.0 MB,-1000749721177128228681238810483950444B
63,60,2,1,1,4.185526551926384,-137.5,17896980,9.98869449776385e-37,9.999331094629666e-37,0.9989362691598913,-2995035897477163499176502,1001131829811069236729123897214474402,-2995035897477163499176502B,"BoundsError(""kMGTPE"", 12)"
67,40,15,1,1,82.89709681456169,-137.5,461858216,9.985833554506988e-37,9.998977850764109e-37,0.9986854360062297,-1001418627945439846451570778777991781,26332711922746510899354529470,-1001418627945439846451570778777991781B,"BoundsError(""kMGTPE"", 9)"
71,4,10,1,1,82.89709892923436,-137.5,542224216,9.984641883112096e-37,9.995320030507212e-37,0.9989316852924643,1001313476700947295887252354965648838,-224697333504660740843599256610252,"BoundsError(""kMGTPE"", 12)",-224697333504660740843599256610252B
40,648,36,0,1,3.1018147198235213,-137.5,2723076,9.979930647692545e-37,9.999694590252758e-37,0.9980235453811281,-1002010971119533234803346909118627330,28,-1002010971119533234803346909118627330B,28B
59,144,31,0,1,82.8664821462186,-137.5,363113011,9.972886115280636e-37,9.995025438797822e-37,0.9977849657659452,-1002718760086692986324608284325090969,426439723778175001098,-1002718760086692986324608284325090969B,426.4 EB
41,544,18,1,1,32.45921989344083,-137.5,72047336,9.972006802140629e-37,9.993900568778049e-37,0.9978092871260078,1002807177974784666323357825824177162,9953,"BoundsError(""kMGTPE"", 12)",10.0 kB
50,288,18,1,1,82.89709919947192,-137.5,576294311,9.971444870772672e-37,9.99704859423124e-37,0.9974388717612773,1002863690227183231453733128523959531,9972141928594,"BoundsError(""kMGTPE"", 12)",10.0 TB
70,8,9,1,1,82.88610779249373,-137.5,409792484,9.966055505409433e-37,9.998341448377293e-37,0.9967708701353563,1003336251524443438300057586039065607,-69759466780018999231140090878437,"BoundsError(""kMGTPE"", 12)",-69759466780018999231140090878437B
59,112,2,1,1,82.8664590969413,-137.5,294484604,9.963587116537944e-37,9.997969079790157e-37,0.9965611052626965,1003654595783240546500571763021292957,-769719599860079736445,"BoundsError(""kMGTPE"", 12)",-769719599860079736445B
74,2,2,0,1,82.89709882724729,-137.5,487315345,9.96164611601635e-37,1.068832043985593e-36,0.9320122999746652,-94740492942703136378096924734134484,-1033826122037346058852358165191077183,-94740492942703136378096924734134484B,-1033826122037346058852358165191077183B
44,450,18,1,1,82.8970968226201,-137.5,466960702,9.961057565862201e-37,9.996788612635528e-37,0.9964257474917331,1003909467833140490097705276845627154,9972028,"BoundsError(""kMGTPE"", 12)",10.0 MB
