A,i,output,outputtype,datatype,metric,n_A,n_i,n_output,n_outputtype,n_datatype,count
23194,-100,"BoundsError(23194, -100)",error,BoundsError,1.0,23194,-99,"BoundsError(23194, -99)",error,BoundsError,1
-4549087304679413823,-10,"BoundsError(-4549087304679413823, -10)",error,BoundsError,1.0,-4549087304679413823,-9,"BoundsError(-4549087304679413823, -9)",error,BoundsError,1
false,-2585750086363867035,"BoundsError(false, -2585750086363867035)",error,BoundsError,1.0,true,-2585750086363867035,"BoundsError(true, -2585750086363867035)",error,BoundsError,1
3100339584,false,"BoundsError(0xb8cb6d80, 0)",error,BoundsError,10.0,3100339584,true,"TypeError(:<:, """", Type, 0xb8cb6d80)",error,TypeError,1
false,-2255379403769797221,"BoundsError(false, -2255379403769797221)",error,BoundsError,1.0,true,-2255379403769797221,"BoundsError(true, -2255379403769797221)",error,BoundsError,1
false,-35402276139764781557916714018054754478,"BoundsError(false, -35402276139764781557916714018054754478)",error,BoundsError,1.0,true,-35402276139764781557916714018054754478,"BoundsError(true, -35402276139764781557916714018054754478)",error,BoundsError,1
136319760720347264195264150091791893349,false,"BoundsError(0x668e3b1d763b02db5dc884cbb5d08365, 0)",error,BoundsError,10.0,136319760720347264195264150091791893349,true,"TypeError(:<:, """", Type, 0x668e3b1d763b02db5dc884cbb5d08365)",error,TypeError,1
-46,false,"BoundsError(-46, 0)",error,BoundsError,10.0,-46,true,"TypeError(:<:, """", Type, -46)",error,TypeError,1
-1020538701761517948,false,"BoundsError(-1020538701761517948, 0)",error,BoundsError,10.0,-1020538701761517948,true,"TypeError(:<:, """", Type, -1020538701761517948)",error,TypeError,1
-10,-7601949377307391946,"BoundsError(-10, -7601949377307391946)",error,BoundsError,1.0,-9,-7601949377307391946,"BoundsError(-9, -7601949377307391946)",error,BoundsError,1
5122841351761345721,0,"BoundsError(0x4717fd11446abcb9, 0)",error,BoundsError,10.0,5122841351761345721,1,"TypeError(:<:, """", Type, 0x4717fd11446abcb9)",error,TypeError,1
4416268675808001490,false,"BoundsError(0x3d49bcf656387dd2, 0)",error,BoundsError,10.0,4416268675808001490,true,"TypeError(:<:, """", Type, 0x3d49bcf656387dd2)",error,TypeError,1
202535136541880397233665188637853502985,-100000000,"BoundsError(0x985ed9326c7fb9ebeae2997004064e09, -100000000)",error,BoundsError,1.0,202535136541880397233665188637853502985,-99999999,"BoundsError(0x985ed9326c7fb9ebeae2997004064e09, -99999999)",error,BoundsError,1
11681313539610248628,-1000000000,"BoundsError(0xa21c5cc6266e05b4, -1000000000)",error,BoundsError,1.0,11681313539610248628,-999999999,"BoundsError(0xa21c5cc6266e05b4, -999999999)",error,BoundsError,1
26720,false,"BoundsError(26720, 0)",error,BoundsError,10.0,26720,true,"TypeError(:<:, """", Type, 26720)",error,TypeError,1
714972298,-100,"BoundsError(714972298, -100)",error,BoundsError,1.0,714972298,-99,"BoundsError(714972298, -99)",error,BoundsError,1
53364483078686430382511417724210659775,false,"BoundsError(53364483078686430382511417724210659775, 0)",error,BoundsError,10.0,53364483078686430382511417724210659775,true,"TypeError(:<:, """", Type, 53364483078686430382511417724210659775)",error,TypeError,1
1373413760,-1000000000,"BoundsError(1373413760, -1000000000)",error,BoundsError,1.0,1373413760,-999999999,"BoundsError(1373413760, -999999999)",error,BoundsError,1
40366,false,"BoundsError(0x9dae, 0)",error,BoundsError,10.0,40366,true,"TypeError(:<:, """", Type, 0x9dae)",error,TypeError,1
false,-92,"BoundsError(false, -92)",error,BoundsError,1.0,true,-92,"BoundsError(true, -92)",error,BoundsError,1
false,-10062,"BoundsError(false, -10062)",error,BoundsError,1.0,true,-10062,"BoundsError(true, -10062)",error,BoundsError,1
47677958858331464152578071085882767213,false,"BoundsError(47677958858331464152578071085882767213, 0)",error,BoundsError,10.0,47677958858331464152578071085882767213,true,"TypeError(:<:, """", Type, 47677958858331464152578071085882767213)",error,TypeError,1
180,false,"BoundsError(0xb4, 0)",error,BoundsError,10.0,180,true,"TypeError(:<:, """", Type, 0xb4)",error,TypeError,1
-14585,-1000000000,"BoundsError(-14585, -1000000000)",error,BoundsError,1.0,-14585,-999999999,"BoundsError(-14585, -999999999)",error,BoundsError,1
-153257063430269223944548075995280475541,false,"BoundsError(-153257063430269223944548075995280475541, 0)",error,BoundsError,10.0,-153257063430269223944548075995280475541,true,"TypeError(:<:, """", Type, -153257063430269223944548075995280475541)",error,TypeError,1
-6425820310835320541271305109095125749,-10,"BoundsError(-6425820310835320541271305109095125749, -10)",error,BoundsError,1.0,-6425820310835320541271305109095125749,-9,"BoundsError(-6425820310835320541271305109095125749, -9)",error,BoundsError,1
672763769,-100,"BoundsError(0x28198f79, -100)",error,BoundsError,1.0,672763769,-99,"BoundsError(0x28198f79, -99)",error,BoundsError,1
-1848188239290662293,false,"BoundsError(-1848188239290662293, 0)",error,BoundsError,10.0,-1848188239290662293,true,"TypeError(:<:, """", Type, -1848188239290662293)",error,TypeError,1
-10000,-14497,"BoundsError(-10000, -14497)",error,BoundsError,1.0,-9999,-14497,"BoundsError(-9999, -14497)",error,BoundsError,1
1727897920359545145,-1000000000,"BoundsError(1727897920359545145, -1000000000)",error,BoundsError,1.0,1727897920359545145,-999999999,"BoundsError(1727897920359545145, -999999999)",error,BoundsError,1
false,-192539155,"BoundsError(false, -192539155)",error,BoundsError,1.0,true,-192539155,"BoundsError(true, -192539155)",error,BoundsError,1
99999999,-76108551440093021408208949680904496764,"BoundsError(99999999, -76108551440093021408208949680904496764)",error,BoundsError,1.0,100000000,-76108551440093021408208949680904496764,"BoundsError(100000000, -76108551440093021408208949680904496764)",error,BoundsError,1
-3375693665459127893,false,"BoundsError(-3375693665459127893, 0)",error,BoundsError,10.0,-3375693665459127893,true,"TypeError(:<:, """", Type, -3375693665459127893)",error,TypeError,1
11,false,"BoundsError(0x0b, 0)",error,BoundsError,10.0,11,true,"TypeError(:<:, """", Type, 0x0b)",error,TypeError,1
39,-1000000000,"BoundsError(39, -1000000000)",error,BoundsError,1.0,39,-999999999,"BoundsError(39, -999999999)",error,BoundsError,1
false,-325157655697894146,"BoundsError(false, -325157655697894146)",error,BoundsError,1.0,true,-325157655697894146,"BoundsError(true, -325157655697894146)",error,BoundsError,1
3388237212,-100000000,"BoundsError(0xc9f4659c, -100000000)",error,BoundsError,1.0,3388237212,-99999999,"BoundsError(0xc9f4659c, -99999999)",error,BoundsError,1
false,-2544,"BoundsError(false, -2544)",error,BoundsError,1.0,true,-2544,"BoundsError(true, -2544)",error,BoundsError,1
228,-1000,"BoundsError(0xe4, -1000)",error,BoundsError,1.0,228,-999,"BoundsError(0xe4, -999)",error,BoundsError,1
46563,-100,"BoundsError(0xb5e3, -100)",error,BoundsError,1.0,46563,-99,"BoundsError(0xb5e3, -99)",error,BoundsError,1
false,-26156,"BoundsError(false, -26156)",error,BoundsError,1.0,true,-26156,"BoundsError(true, -26156)",error,BoundsError,1
5025731035831093916,false,"BoundsError(5025731035831093916, 0)",error,BoundsError,10.0,5025731035831093916,true,"TypeError(:<:, """", Type, 5025731035831093916)",error,TypeError,1
160479995891281971718285333127224331802,-10000,"BoundsError(160479995891281971718285333127224331802, -10000)",error,BoundsError,1.0,160479995891281971718285333127224331802,-9999,"BoundsError(160479995891281971718285333127224331802, -9999)",error,BoundsError,1
-32130,-1000,"BoundsError(-32130, -1000)",error,BoundsError,1.0,-32130,-999,"BoundsError(-32130, -999)",error,BoundsError,1
-1000,-529362040,"BoundsError(-1000, -529362040)",error,BoundsError,1.0,-999,-529362040,"BoundsError(-999, -529362040)",error,BoundsError,1
false,-61693355331990718578300022608695375147,"BoundsError(false, -61693355331990718578300022608695375147)",error,BoundsError,1.0,true,-61693355331990718578300022608695375147,"BoundsError(true, -61693355331990718578300022608695375147)",error,BoundsError,1
-62,false,"BoundsError(-62, 0)",error,BoundsError,10.0,-62,true,"TypeError(:<:, """", Type, -62)",error,TypeError,1
97,false,"BoundsError(97, 0)",error,BoundsError,10.0,97,true,"TypeError(:<:, """", Type, 97)",error,TypeError,1
9999,-1592966970,"BoundsError(9999, -1592966970)",error,BoundsError,1.0,10000,-1592966970,"BoundsError(10000, -1592966970)",error,BoundsError,1
-5000495994082273913,false,"BoundsError(-5000495994082273913, 0)",error,BoundsError,10.0,-5000495994082273913,true,"TypeError(:<:, """", Type, -5000495994082273913)",error,TypeError,1
-19825,-10000,"BoundsError(-19825, -10000)",error,BoundsError,1.0,-19825,-9999,"BoundsError(-19825, -9999)",error,BoundsError,1
9999,-1167827997,"BoundsError(9999, -1167827997)",error,BoundsError,1.0,10000,-1167827997,"BoundsError(10000, -1167827997)",error,BoundsError,1
false,-29,"BoundsError(false, -29)",error,BoundsError,1.0,true,-29,"BoundsError(true, -29)",error,BoundsError,1
-10,-33795984922397143177689347668458869220,"BoundsError(-10, -33795984922397143177689347668458869220)",error,BoundsError,1.0,-9,-33795984922397143177689347668458869220,"BoundsError(-9, -33795984922397143177689347668458869220)",error,BoundsError,1
99,-1639641442251665453,"BoundsError(99, -1639641442251665453)",error,BoundsError,1.0,100,-1639641442251665453,"BoundsError(100, -1639641442251665453)",error,BoundsError,1
999999999,-29136,"BoundsError(999999999, -29136)",error,BoundsError,1.0,1000000000,-29136,"BoundsError(1000000000, -29136)",error,BoundsError,1
-1000000000,-11,"BoundsError(-1000000000, -11)",error,BoundsError,1.0,-999999999,-11,"BoundsError(-999999999, -11)",error,BoundsError,1
15446,false,"BoundsError(15446, 0)",error,BoundsError,10.0,15446,true,"TypeError(:<:, """", Type, 15446)",error,TypeError,1
234,false,"BoundsError(0xea, 0)",error,BoundsError,10.0,234,true,"TypeError(:<:, """", Type, 0xea)",error,TypeError,1
202,false,"BoundsError(0xca, 0)",error,BoundsError,10.0,202,true,"TypeError(:<:, """", Type, 0xca)",error,TypeError,1
