bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
8,0,19,0,1,7.85229266938518,0.0,32331709,0.013537278845914205,0.40249223594996214,0.03363363969981563,17,56,65,10,Severely obese,Overweight
8,1,10,1,1,5.544976688339455,0.0,32331709,0.013499441050340776,0.06698906348083082,0.20151708874395136,1,4,-37,-55,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,7.515289415353573,0.0,32331709,0.013468029490330663,0.6698906348083082,0.020104818294981227,17,22,-1,90,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,6.278687103091105,0.0,32331709,0.013355144394503707,0.9473684210526316,0.014097096860865023,-24,76,30,30,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,10,1,1,5.4281746668344795,0.0,32331709,0.013322091964493136,0.6698906348083082,0.019886965531777143,17,-4,48,60,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,10,1,1,7.623554827216729,0.0,32331709,0.01278594205545657,0.9473684210526316,0.0134962721696486,33,46,-6,-17,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,6.677257755428513,0.0,32331709,0.012676732188572808,0.9473684210526316,0.013380995087937964,74,-37,90,36,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,10,1,1,2.1759528185897716,0.0,18138704,0.012663135403621325,0.0861244019138756,0.14703307218649203,20,31,-26,-28,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,5.580318899903045,0.0,32331709,0.01252405532417425,0.6698906348083082,0.018695671611766978,-3,11,66,42,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,6,1,1,4.672749399124414,0.0,29998673,0.012468604304603592,0.08404802744425387,0.14835094509354885,106,-3,179,10,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
8,0,10,1,1,6.303804510466963,0.0,32331709,0.012412833765734243,0.6698906348083082,0.018529642184483178,-1,19,75,26,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,10,1,1,5.557364029351053,0.0,32331709,0.012387341011598208,0.0861244019138756,0.1438307928568903,-28,-11,40,24,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,10,1,1,5.476919204259586,0.0,32331709,0.012177817027793546,0.9473684210526316,0.01285436241822652,-55,8,1,62,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,14,0,1,6.4496065997858665,0.0,32331709,0.012167962649763907,0.15692630606420468,0.07753934286062604,56,21,133,6,Severely obese,Underweight
9,0,10,1,1,6.562107507414576,0.0,32331709,0.01188489362360497,0.9473684210526316,0.012545165491583023,-49,46,26,73,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,7,1,1,1.7466645559443519,-0.5,2592727,0.011641710001743983,0.04656684000697593,0.25,143,-11,63,9,"DomainError(""Height or Weight cannot be negative."", """")",Normal
