bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
58,32,10,1,1,9.776721413824038e-32,9.991001374511564e-32,0.9785527043130847,-1.022837585465448e31,1.9181439258308987e24,-10228375854654480703380694802534B,"BoundsError(""kMGTPE"", 8)"
50,128,27,0,1,9.768204500670387e-32,9.99896335911272e-32,0.9769217217670844,-1.0237295911765236e31,2.7772544099140176e16,-10237295911765235609297181466388B,27.8 PB
52,98,28,0,1,9.76655160517642e-32,9.998022527907185e-32,0.9768483295487016,-1.0239028476231947e31,1.0046768886469866e18,-10239028476231946103078460912772B,1.0 EB
57,40,10,1,1,9.761765177264574e-32,9.999353411112986e-32,0.9762396402967053,-1.0244048733221338e31,1.845812344854192e23,-10244048733221338321302303261775B,"BoundsError(""kMGTPE"", 7)"
55,40,1,1,1,9.714222833071539e-32,9.995456553403113e-32,0.9718638444548264,1.0060225544181194e31,-4.1319042363110006e21,"BoundsError(""kMGTPE"", 10)",-4131904236311000878892B
47,144,9,1,1,9.703589167564561e-32,9.999191041333444e-32,0.9704374211326736,1.0305465150386033e31,-6.5301558667736e13,"BoundsError(""kMGTPE"", 10)",-65301558667736B
45,220,21,0,1,9.696655030807249e-32,9.91018422923912e-32,0.9784535591374909,-3.3295323953e10,-1.0000324510010357e31,-33295323953B,-10000324510010357283827218349850B
42,288,26,0,1,9.693602125698778e-32,9.99892611034544e-32,0.9694643223405005,-1.0012668383830035e31,4.40649589e8,-10012668383830034099629317916555B,440.6 MB
38,392,28,0,1,9.676394879114981e-32,9.99518262467863e-32,0.9681058608397464,-1.0001058736995056e31,-1298.0,-10001058736995055874237141025307B,-1298B
39,312,17,1,1,9.674810784510742e-32,9.997206280919087e-32,0.9677514410177094,1.0336119457767467e31,-302133.0,"BoundsError(""kMGTPE"", 10)",-302133B
48,162,26,0,1,9.654627648974664e-32,9.999366391391096e-32,0.965523941325599,4.07045016455263e14,-1.0357727261560434e31,407.0 TB,-10357727261560434497059676868572B
45,180,11,1,1,9.62816361369459e-32,9.999227800054295e-32,0.9628907157853038,1.0097691119824603e31,-1.53510128274e11,"BoundsError(""kMGTPE"", 10)",-153510128274B
48,128,18,1,1,9.612874378878827e-32,9.653214653077604e-32,0.9958210528151971,1.0044001443529963e31,9.962236635828326e15,"BoundsError(""kMGTPE"", 10)",10.0 PB
