a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
55,0,DivideError(),error,DivideError,11.0,55,1,55,valid,UInt64,3
54,false,DivideError(),error,DivideError,11.0,54,true,54,valid,UInt8,2
53,0,DivideError(),error,DivideError,11.0,53,1,53,valid,UInt64,2
53,false,DivideError(),error,DivideError,11.0,53,true,53,valid,UInt8,3
53,false,DivideError(),error,DivideError,11.0,53,true,53,valid,Int64,4
52,false,DivideError(),error,DivideError,11.0,52,true,52,valid,UInt8,2
52,false,DivideError(),error,DivideError,11.0,52,true,52,valid,Int64,6
51,false,DivideError(),error,DivideError,11.0,51,true,51,valid,Int64,4
51,0,DivideError(),error,DivideError,11.0,51,1,51,valid,UInt64,2
50,false,DivideError(),error,DivideError,11.0,50,true,50,valid,UInt8,2
49,false,DivideError(),error,DivideError,11.0,49,true,49,valid,UInt8,3
48,0,DivideError(),error,DivideError,11.0,48,1,48,valid,UInt64,2
48,false,DivideError(),error,DivideError,11.0,48,true,48,valid,UInt8,5
48,false,DivideError(),error,DivideError,11.0,48,true,48,valid,Int64,3
47,false,DivideError(),error,DivideError,11.0,47,true,47,valid,Int64,2
47,false,DivideError(),error,DivideError,11.0,47,true,47,valid,UInt8,2
46,false,DivideError(),error,DivideError,11.0,46,true,46,valid,Int64,3
45,false,DivideError(),error,DivideError,11.0,45,true,45,valid,UInt8,4
45,false,DivideError(),error,DivideError,11.0,45,true,45,valid,Int64,7
44,false,DivideError(),error,DivideError,11.0,44,true,44,valid,UInt8,3
44,false,DivideError(),error,DivideError,11.0,44,true,44,valid,Int64,4
44,0,DivideError(),error,DivideError,11.0,44,1,44,valid,UInt64,3
43,false,DivideError(),error,DivideError,11.0,43,true,43,valid,UInt8,2
43,false,DivideError(),error,DivideError,11.0,43,true,43,valid,Int64,4
42,0,DivideError(),error,DivideError,11.0,42,1,42,valid,UInt64,2
42,false,DivideError(),error,DivideError,11.0,42,true,42,valid,UInt8,4
42,false,DivideError(),error,DivideError,11.0,42,true,42,valid,Int64,2
41,false,DivideError(),error,DivideError,11.0,41,true,41,valid,Int64,2
39,false,DivideError(),error,DivideError,11.0,39,true,39,valid,UInt8,6
38,false,DivideError(),error,DivideError,11.0,38,true,38,valid,Int64,4
37,false,DivideError(),error,DivideError,11.0,37,true,37,valid,Int64,6
37,false,DivideError(),error,DivideError,11.0,37,true,37,valid,UInt8,3
36,false,DivideError(),error,DivideError,11.0,36,true,36,valid,Int64,4
36,false,DivideError(),error,DivideError,11.0,36,true,36,valid,UInt8,3
35,false,DivideError(),error,DivideError,11.0,35,true,35,valid,Int64,3
35,false,DivideError(),error,DivideError,11.0,35,true,35,valid,UInt8,4
34,0,DivideError(),error,DivideError,11.0,34,1,34,valid,UInt64,2
34,false,DivideError(),error,DivideError,11.0,34,true,34,valid,Int64,5
34,false,DivideError(),error,DivideError,11.0,34,true,34,valid,UInt8,4
33,false,DivideError(),error,DivideError,11.0,33,true,33,valid,UInt8,3
33,false,DivideError(),error,DivideError,11.0,33,true,33,valid,Int64,2
32,false,DivideError(),error,DivideError,11.0,32,true,32,valid,UInt8,2
32,false,DivideError(),error,DivideError,11.0,32,true,32,valid,Int64,3
31,false,DivideError(),error,DivideError,11.0,31,true,31,valid,Int64,5
31,false,DivideError(),error,DivideError,11.0,31,true,31,valid,UInt8,4
31,0,DivideError(),error,DivideError,11.0,31,1,31,valid,UInt64,2
30,false,DivideError(),error,DivideError,11.0,30,true,30,valid,Int64,6
30,false,DivideError(),error,DivideError,11.0,30,true,30,valid,UInt8,4
29,false,DivideError(),error,DivideError,11.0,29,true,29,valid,Int64,2
29,false,DivideError(),error,DivideError,11.0,29,true,29,valid,UInt8,2
28,false,DivideError(),error,DivideError,11.0,28,true,28,valid,UInt8,3
28,false,DivideError(),error,DivideError,11.0,28,true,28,valid,Int64,2
27,false,DivideError(),error,DivideError,11.0,27,true,27,valid,Int64,3
27,false,DivideError(),error,DivideError,11.0,27,true,27,valid,UInt8,9
25,false,DivideError(),error,DivideError,11.0,25,true,25,valid,UInt8,2
24,false,DivideError(),error,DivideError,11.0,24,true,24,valid,Int64,3
24,false,DivideError(),error,DivideError,11.0,24,true,24,valid,UInt8,4
24,0,DivideError(),error,DivideError,11.0,24,1,24,valid,UInt64,3
23,false,DivideError(),error,DivideError,11.0,23,true,23,valid,Int64,4
