bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
75,2,6,1,1,5.2401871720148133e-17,0.0,582118867,4.0842192320889974e-19,3.4991885505338714e-17,0.011671903851725474,-1078277042897665702,-1331098256013616162,680388018312907852,94122090244530473,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
72,7,6,1,1,1.477451780564243e-17,0.0,120299532,3.766834467783392e-19,2.4079484939320503e-18,0.15643334885591154,31630922987431,3807956815198308314,-2294850666229578286,4678329345496465492,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
73,4,6,1,1,5.139710477841935e-17,0.0,521832201,3.4434472358313963e-19,3.2153798715281986e-16,0.001070930146177348,-1506758745740899674,6707561867553785238,609156988027456,4485741526608441887,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
71,4,6,1,1,5.199344979693923e-17,0.0,564715644,3.2756333574950037e-19,1.2969228815844556e-18,0.2525696326286687,-1834819610007963576,540523729679664,958590341303559979,404317676639555179,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
78,0,6,1,1,4.164402833340153e-17,0.0,491034358,2.9967328477404025e-19,6.731507959085543e-19,0.445180019982848,1081037957371801018,1093320575204214120,-1069229026123223791,-1118991025208558807,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
76,2,6,1,1,2.687308408478666e-17,0.0,216091067,2.8918137485601686e-19,6.2622431491369054e-18,0.04617856061623435,-1548603304856048107,-1161083125758786624,1424348539630814914,14802865902759789,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
71,3,6,1,1,5.166588646118973e-17,0.0,548658951,2.687816827703816e-19,7.888453900870613e-17,0.0034072796285304703,725314398835354960,-537771758711452287,4122634117075889707,515787553126424,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
73,5,6,1,1,4.134435504862749e-17,0.0,468523289,2.52005336337756e-19,7.866487577702994e-17,0.0032035305954343255,-1194341345198740211,-3172631644554188215,647103564157329133,432067214392075,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
72,3,6,1,1,4.066294544168639e-17,0.0,461761314,2.430632037274451e-19,3.4323909773564436e-17,0.007081454453497234,-1208875644907123681,3584692920175758962,90050551759679204,9700095304743972,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
75,3,6,1,1,4.041988223795895e-17,0.0,441322433,1.878064152690985e-19,7.672932394771704e-18,0.02447648507851689,1656832603447167032,3176028419779276,-2380896526828362503,-2812926764685611048,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
74,5,6,1,1,2.2085360751732774e-17,0.0,180892422,1.5799573971874681e-19,7.052278110056474e-18,0.02240350383990764,-1970967151922145855,-3617500511878313086,661670677933609,1891939958544492256,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
72,11,6,1,1,3.591808413065517e-17,0.0,408936687,8.739322888401929e-20,4.9932947970342315e-18,0.017502116825933552,2430553291317169768,9716184324117,-5404170363214360185,-7108521531586348468,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
71,10,6,1,1,4.023207582268985e-17,0.0,439325153,7.55285840385526e-20,4.436305240763671e-17,0.0017025109846938984,7982949113883,-2617041888731429651,8942861776464989169,5741301593188364177,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
73,8,6,1,1,6.049755640489421e-20,0.0,8721285,6.049755640489421e-20,6.025645537690706e-18,0.010040012481065978,8549022019806736657,46249732561447,-6658322372484144381,-1509439489182268716,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
