x_,p,output,outputtype,datatype,metric,n_x_,n_p,n_output,n_outputtype,n_datatype,count
5209070640870212111,-634779130,"DomainError(-634779130, ""Cannot raise an integer x to a negative power -634779130.\nMake x or -634779130 a float by adding a zero decimal (e.g., 2.0^-634779130 or 2^-6.3477913e8 instead of 2^-634779130)or write 1/x^634779130, float(x)^-634779130, x^float(-634779130) or (x//1)^-634779130."")",error,DomainError,1.0,5209070640870212111,-634779129,"DomainError(-634779129, ""Cannot raise an integer x to a negative power -634779129.\nMake x or -634779129 a float by adding a zero decimal (e.g., 2.0^-634779129 or 2^-6.34779129e8 instead of 2^-634779129)or write 1/x^634779129, float(x)^-634779129, x^float(-634779129) or (x//1)^-634779129."")",error,DomainError,1
5015042611081685699,-100,"DomainError(-100, ""Cannot raise an integer x to a negative power -100.\nMake x or -100 a float by adding a zero decimal (e.g., 2.0^-100 or 2^-100.0 instead of 2^-100)or write 1/x^100, float(x)^-100, x^float(-100) or (x//1)^-100."")",error,DomainError,10.0,5015042611081685699,-99,"DomainError(-99, ""Cannot raise an integer x to a negative power -99.\nMake x or -99 a float by adding a zero decimal (e.g., 2.0^-99 or 2^-99.0 instead of 2^-99)or write 1/x^99, float(x)^-99, x^float(-99) or (x//1)^-99."")",error,DomainError,1
4884579972680196657,-991947220,"DomainError(-991947220, ""Cannot raise an integer x to a negative power -991947220.\nMake x or -991947220 a float by adding a zero decimal (e.g., 2.0^-991947220 or 2^-9.9194722e8 instead of 2^-991947220)or write 1/x^991947220, float(x)^-991947220, x^float(-991947220) or (x//1)^-991947220."")",error,DomainError,1.0,4884579972680196657,-991947219,"DomainError(-991947219, ""Cannot raise an integer x to a negative power -991947219.\nMake x or -991947219 a float by adding a zero decimal (e.g., 2.0^-991947219 or 2^-9.91947219e8 instead of 2^-991947219)or write 1/x^991947219, float(x)^-991947219, x^float(-991947219) or (x//1)^-991947219."")",error,DomainError,1
4609594320983583181,-528620470841038113,"DomainError(-528620470841038113, ""Cannot raise an integer x to a negative power -528620470841038113.\nMake x or -528620470841038113 a float by adding a zero decimal (e.g., 2.0^-528620470841038113 or 2^-5.2862047084103814e17 instead of 2^-528620470841038113)or write 1/x^528620470841038113, float(x)^-528620470841038113, x^float(-528620470841038113) or (x//1)^-528620470841038113."")",error,DomainError,1.0,4609594320983583181,-528620470841038112,"DomainError(-528620470841038112, ""Cannot raise an integer x to a negative power -528620470841038112.\nMake x or -528620470841038112 a float by adding a zero decimal (e.g., 2.0^-528620470841038112 or 2^-5.286204708410381e17 instead of 2^-528620470841038112)or write 1/x^528620470841038112, float(x)^-528620470841038112, x^float(-528620470841038112) or (x//1)^-528620470841038112."")",error,DomainError,1
4500811498741162448,-1000,"DomainError(-1000, ""Cannot raise an integer x to a negative power -1000.\nMake x or -1000 a float by adding a zero decimal (e.g., 2.0^-1000 or 2^-1000.0 instead of 2^-1000)or write 1/x^1000, float(x)^-1000, x^float(-1000) or (x//1)^-1000."")",error,DomainError,10.0,4500811498741162448,-999,"DomainError(-999, ""Cannot raise an integer x to a negative power -999.\nMake x or -999 a float by adding a zero decimal (e.g., 2.0^-999 or 2^-999.0 instead of 2^-999)or write 1/x^999, float(x)^-999, x^float(-999) or (x//1)^-999."")",error,DomainError,1
4449810238406526661,-10000,"DomainError(-10000, ""Cannot raise an integer x to a negative power -10000.\nMake x or -10000 a float by adding a zero decimal (e.g., 2.0^-10000 or 2^-10000.0 instead of 2^-10000)or write 1/x^10000, float(x)^-10000, x^float(-10000) or (x//1)^-10000."")",error,DomainError,10.0,4449810238406526661,-9999,"DomainError(-9999, ""Cannot raise an integer x to a negative power -9999.\nMake x or -9999 a float by adding a zero decimal (e.g., 2.0^-9999 or 2^-9999.0 instead of 2^-9999)or write 1/x^9999, float(x)^-9999, x^float(-9999) or (x//1)^-9999."")",error,DomainError,1
4440492070474833398,-10,"DomainError(-10, ""Cannot raise an integer x to a negative power -10.\nMake x or -10 a float by adding a zero decimal (e.g., 2.0^-10 or 2^-10.0 instead of 2^-10)or write 1/x^10, float(x)^-10, x^float(-10) or (x//1)^-10."")",error,DomainError,10.0,4440492070474833398,-9,"DomainError(-9, ""Cannot raise an integer x to a negative power -9.\nMake x or -9 a float by adding a zero decimal (e.g., 2.0^-9 or 2^-9.0 instead of 2^-9)or write 1/x^9, float(x)^-9, x^float(-9) or (x//1)^-9."")",error,DomainError,1
4395710263280152212,-1000,"DomainError(-1000, ""Cannot raise an integer x to a negative power -1000.\nMake x or -1000 a float by adding a zero decimal (e.g., 2.0^-1000 or 2^-1000.0 instead of 2^-1000)or write 1/x^1000, float(x)^-1000, x^float(-1000) or (x//1)^-1000."")",error,DomainError,10.0,4395710263280152212,-999,"DomainError(-999, ""Cannot raise an integer x to a negative power -999.\nMake x or -999 a float by adding a zero decimal (e.g., 2.0^-999 or 2^-999.0 instead of 2^-999)or write 1/x^999, float(x)^-999, x^float(-999) or (x//1)^-999."")",error,DomainError,1
4309211696434412439,-1293686501,"DomainError(-1293686501, ""Cannot raise an integer x to a negative power -1293686501.\nMake x or -1293686501 a float by adding a zero decimal (e.g., 2.0^-1293686501 or 2^-1.293686501e9 instead of 2^-1293686501)or write 1/x^1293686501, float(x)^-1293686501, x^float(-1293686501) or (x//1)^-1293686501."")",error,DomainError,2.0,4309211696434412439,-1293686500,"DomainError(-1293686500, ""Cannot raise an integer x to a negative power -1293686500.\nMake x or -1293686500 a float by adding a zero decimal (e.g., 2.0^-1293686500 or 2^-1.2936865e9 instead of 2^-1293686500)or write 1/x^1293686500, float(x)^-1293686500, x^float(-1293686500) or (x//1)^-1293686500."")",error,DomainError,1
4253318546687551705,-10,"DomainError(-10, ""Cannot raise an integer x to a negative power -10.\nMake x or -10 a float by adding a zero decimal (e.g., 2.0^-10 or 2^-10.0 instead of 2^-10)or write 1/x^10, float(x)^-10, x^float(-10) or (x//1)^-10."")",error,DomainError,10.0,4253318546687551705,-9,"DomainError(-9, ""Cannot raise an integer x to a negative power -9.\nMake x or -9 a float by adding a zero decimal (e.g., 2.0^-9 or 2^-9.0 instead of 2^-9)or write 1/x^9, float(x)^-9, x^float(-9) or (x//1)^-9."")",error,DomainError,1
