bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
16,1,9,0,1,3.5131257811852143,1.0,25715816,6.415447467537516e-5,0.0006697129006344129,0.0957939956279806,14660,-5274,-17,-25,out,in
14,8,9,0,1,3.755777496932863,1.0,28234790,6.16320978073424e-5,6.995443798215358e-5,0.8810319914665836,-11182,-11753,3,1,out,in
9,6,6,1,1,1.0869561756489812,-2.5,206205,6.004413810604928e-5,9.814814765740742e-5,0.6117704667808638,0,0,0,-16346,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
12,6,9,0,1,2.8666326137356157,-2.0,2245367,5.765479555765785e-5,9.994623489140805e-5,0.5768581039625955,-17234,1895,7,2,out,in
13,6,9,0,1,3.3593270211885873,0.0,15764685,5.531534059479988e-5,9.92344417927861e-5,0.55742078652798,-15749,-8870,3,1,out,in
15,6,9,0,1,3.51317966819644,0.5,26039788,5.388700676776124e-5,7.029587341392868e-5,0.7665742546572282,-10805,-15078,13,0,out,in
16,3,9,0,1,3.5130477234147484,0.0,22928450,4.977556614900858e-5,9.832852861829407e-5,0.5062169326486576,-14850,13604,-19,52,out,in
15,4,9,0,1,2.956655928152795,-1.0,2844943,4.1961351841765704e-5,9.878675559634584e-5,0.4247669800314595,7,-40,18276,-15343,in,out
12,5,6,1,1,2.9565887672849906,-1.0,2782624,4.171171268458406e-5,0.0006790726136639672,0.061424524926026125,0,0,21622,-9282,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
13,6,6,1,1,3.8102048916465363,0.0,28744557,3.368224613799602e-5,9.757212004615945e-5,0.34520359014502927,11435,-26802,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
16,6,9,0,1,3.8414536095231364,-0.5,29762959,1.3489294114973969e-5,6.645769996507104e-5,0.20297563897131102,-49172,-55488,1,-11,out,in
14,8,6,1,1,3.2996144510339174,-0.5,13979501,1.174495316273661e-5,6.524824104271546e-5,0.1800041345949487,-20144,-81102,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
11,8,9,0,1,2.9565986650418647,-3.0,2790550,9.89775610886026e-6,9.99980000349995e-6,0.9897954064477313,9,12,-101024,0,in,out
10,5,6,1,1,2.8670923223559353,-5.0,2281950,9.277461441853387e-6,9.814809907411088e-5,0.09452512610405268,0,0,80,105792,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
12,8,9,0,1,2.956613966800604,-1.0,2843297,8.973760642346793e-6,1.0004101681689493e-5,0.8970081400483431,-15,0,0,-111436,in,out
10,9,9,0,1,2.8676302086674745,-2.0,2546321,8.678672154988138e-6,9.99959999800152e-6,0.8679019317495321,1,3,6,-115222,in,out
17,4,9,0,1,2.8148057591259557,-4.5,1519614,8.584429403781532e-6,6.81049247473925e-5,0.1260471167925371,-1,-24,112258,-31134,in,out
11,8,6,1,1,2.867527827442255,-1.5,2357748,8.429147253942579e-6,9.814716165144735e-6,0.8588274089756397,11,-116439,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
12,6,6,1,1,3.8102133173074546,1.0,28794110,8.425660918321107e-6,9.81415454070819e-5,0.08585213207487469,3021,116448,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
12,7,9,0,1,1.0869645632346363,-2.5,273660,8.387221225014352e-6,9.99970000100045e-6,0.8387472848360679,-119233,3,-4,-1,out,in
14,7,9,0,1,1.0869726456273172,-1.5,333435,8.081543856867437e-6,9.998293526407227e-6,0.808292318636443,13,0,-413,-123738,in,out
10,9,6,1,1,3.5130615673138625,-0.5,25087581,7.532821769470831e-6,9.814716667648138e-6,0.7675027231607177,8,-130294,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
13,8,9,0,1,2.814699896269975,-5.0,1340385,7.205442894329727e-6,9.998312288851503e-6,0.7206659170232229,1,1,-138778,1176,in,out
16,5,9,0,1,3.0055194332145594,-1.0,5543538,6.38360662363852e-6,6.649081013147357e-5,0.09600735215913433,-11427,156255,-1,21,out,in
15,5,9,0,1,2.956604913046275,-3.0,2813571,6.24783784125106e-6,9.996628580736922e-6,0.6249944959734102,-160050,1577,-2,41,out,in
13,8,6,1,1,3.0168720407011813,1.0,8354865,5.965544914573844e-6,9.81235248528154e-6,0.6079627615826194,2870,-164500,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
17,7,9,0,1,3.5085080643633435,0.0,20518548,5.4283045115397e-6,9.875072997200001e-6,0.5496976592556686,-169775,-71516,1,-11,out,in
14,6,9,0,1,2.8676213422261894,-1.0,2442459,5.115952994464808e-6,1.0003000738124198e-5,0.5114418291469777,1,-31,-34,-195498,in,out
15,7,9,0,1,3.2623348064482247,-0.5,12468483,4.847729425850985e-6,9.989345960502388e-6,0.48528997243851396,58911,-197680,6,13,out,in
15,10,9,0,1,3.5130525919122513,0.0,23526868,4.667364129136436e-6,9.93790765129651e-6,0.4696525961908618,-174602,124171,1,0,out,in
12,8,6,1,1,2.81470307407818,-1.5,1365727,3.1777894163304322e-6,9.814390331493166e-6,0.323788774340195,647,-308856,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
14,9,9,0,1,2.0727702025627135,-1.5,566230,2.658962403870682e-6,9.994925939527854e-6,0.2660312262400103,1,0,-372656,50674,in,out
16,8,9,0,1,3.5129979341368225,-0.5,22315705,1.7132885723818384e-6,9.931305216993073e-6,0.17251393799178547,-583439,-16018,14,0,out,in
15,10,6,1,1,2.864894834864081,-4.0,2074030,1.4178953923145063e-6,9.643680030969169e-6,0.14702845674692205,0,0,-139732,677960,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
17,6,9,0,1,3.0140131293669623,-3.0,6834576,1.3495715955521585e-6,9.896727124652005e-6,0.1363654447125734,-82350,-736325,41,56,out,in
19,4,9,0,1,3.3978681231086747,-1.5,18546978,1.291396408824724e-6,9.859566295440006e-6,0.13097902789314247,-27086,-773895,-37,-12,out,in
18,9,9,0,1,3.359271670679263,-0.5,15418323,1.217569435788665e-6,6.59500081886528e-6,0.18462005831837894,-797969,-194411,1,-11,out,in
16,4,9,0,1,2.969161237543371,-2.5,3812002,1.202026701151754e-6,9.997648475710112e-6,0.12023094271339407,-831929,6261,-24,38,out,in
16,10,9,0,1,3.299615454407538,0.0,14395205,9.989357727288823e-7,9.99871641193705e-7,0.9990640113927969,-1000982,13225,-4,0,out,in
15,9,9,0,1,2.8147040660717098,-1.0,1369285,9.919935293260316e-7,9.999743128472785e-7,0.9920190114698818,-1008029,9227,0,15,out,in
15,11,9,0,1,0.9811331093820598,-3.0,61334,9.871623435317338e-7,9.998993706104492e-7,0.9872616910730333,15501,-1012877,0,9,out,in
12,11,9,0,1,2.0727719203143455,-2.5,634064,9.820279070981269e-7,9.999570018469207e-7,0.9820701343000962,-1018298,19,3,0,out,in
14,11,9,0,1,2.801755413869878,1.0,1192258,9.816508588810177e-7,9.999580344053146e-7,0.981692056171953,6714,-1018669,0,1,out,in
13,10,9,0,1,2.8675291975004153,-2.5,2436625,9.664758294691176e-7,9.999930000489996e-7,0.966482594799924,1,0,225,-1034687,in,out
18,7,9,0,1,3.240479869807404,-1.5,9603700,9.635964118818873e-7,9.998152543085697e-7,0.9637744650618181,-1034627,81449,-47,29,out,in
11,12,6,1,1,2.8458327939386723,-1.5,1737977,9.446132272159692e-7,9.814206333977947e-7,0.9624957893391809,0,0,-1039030,4,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
15,8,9,0,1,3.508508988647529,-0.5,21533172,9.228562953742396e-7,9.999889801216593e-7,0.9228664652504114,-1083591,830,1,-11,out,in
16,12,9,0,1,2.814692062088242,1.0,1274928,9.151473516446537e-7,6.748618450040081e-6,0.1356051402845598,-392454,1019812,1,0,out,in
11,12,9,0,1,3.513053478908882,0.5,23808132,8.869966294128083e-7,9.99998999999e-7,0.8869975164112117,0,-1127397,0,3,out,in
