run_duration,emitter,parent_selection,tracer_budget,run_number,rac
30,Random,NoSelection,0,19,8.602150537634408
30,Random,NoSelection,0,20,9.67741935483871
600,AutoBVA,NoSelection,0,1,58.064516129032256
600,AutoBVA,NoSelection,0,2,58.064516129032256
600,AutoBVA,NoSelection,0,3,58.064516129032256
600,AutoBVA,NoSelection,0,4,58.064516129032256
600,AutoBVA,NoSelection,0,5,58.064516129032256
600,AutoBVA,NoSelection,0,6,56.98924731182796
600,AutoBVA,NoSelection,0,7,58.064516129032256
600,AutoBVA,NoSelection,0,8,58.064516129032256
600,AutoBVA,NoSelection,0,9,58.064516129032256
600,AutoBVA,NoSelection,0,10,58.064516129032256
600,AutoBVA,NoSelection,0,11,56.98924731182796
600,AutoBVA,NoSelection,0,12,58.064516129032256
600,AutoBVA,NoSelection,0,13,58.064516129032256
600,AutoBVA,NoSelection,0,14,58.064516129032256
600,AutoBVA,NoSelection,0,15,58.064516129032256
600,AutoBVA,NoSelection,0,16,58.064516129032256
600,AutoBVA,NoSelection,0,17,56.98924731182796
600,AutoBVA,NoSelection,0,18,58.064516129032256
600,AutoBVA,NoSelection,0,19,58.064516129032256
600,AutoBVA,NoSelection,0,20,58.064516129032256
600,Bituniform,NoSelection,0,1,92.47311827956989
600,Bituniform,NoSelection,0,2,90.3225806451613
600,Bituniform,NoSelection,0,3,91.39784946236558
600,Bituniform,NoSelection,0,4,91.39784946236558
600,Bituniform,NoSelection,0,5,88.17204301075269
600,Bituniform,NoSelection,0,6,92.47311827956989
600,Bituniform,NoSelection,0,7,91.39784946236558
600,Bituniform,NoSelection,0,8,89.24731182795699
600,Bituniform,NoSelection,0,9,92.47311827956989
600,Bituniform,NoSelection,0,10,91.39784946236558
600,Bituniform,NoSelection,0,11,92.47311827956989
600,Bituniform,NoSelection,0,12,90.3225806451613
600,Bituniform,NoSelection,0,13,92.47311827956989
600,Bituniform,NoSelection,0,14,91.39784946236558
600,Bituniform,NoSelection,0,15,92.47311827956989
600,Bituniform,NoSelection,0,16,91.39784946236558
600,Bituniform,NoSelection,0,17,91.39784946236558
600,Bituniform,NoSelection,0,18,91.39784946236558
600,Bituniform,NoSelection,0,19,90.3225806451613
600,Bituniform,NoSelection,0,20,88.17204301075269
600,Bituniform,NoSelection,10,1,89.24731182795699
600,Bituniform,NoSelection,10,2,91.39784946236558
600,Bituniform,NoSelection,10,3,88.17204301075269
600,Bituniform,NoSelection,10,4,89.24731182795699
600,Bituniform,NoSelection,10,5,91.39784946236558
600,Bituniform,NoSelection,10,6,88.17204301075269
600,Bituniform,NoSelection,10,7,90.3225806451613
600,Bituniform,NoSelection,10,8,91.39784946236558
600,Bituniform,NoSelection,10,9,90.3225806451613
600,Bituniform,NoSelection,10,10,88.17204301075269
600,Bituniform,NoSelection,10,11,90.3225806451613
600,Bituniform,NoSelection,10,12,90.3225806451613
600,Bituniform,NoSelection,10,13,90.3225806451613
600,Bituniform,NoSelection,10,14,90.3225806451613
600,Bituniform,NoSelection,10,15,88.17204301075269
600,Bituniform,NoSelection,10,16,92.47311827956989
600,Bituniform,NoSelection,10,17,89.24731182795699
600,Bituniform,NoSelection,10,18,89.24731182795699
600,Bituniform,NoSelection,10,19,91.39784946236558
600,Bituniform,NoSelection,10,20,90.3225806451613
600,Mutation,Curiosity,0,1,100.0
600,Mutation,Curiosity,0,2,100.0
600,Mutation,Curiosity,0,3,100.0
600,Mutation,Curiosity,0,4,100.0
600,Mutation,Curiosity,0,5,100.0
600,Mutation,Curiosity,0,6,100.0
600,Mutation,Curiosity,0,7,100.0
600,Mutation,Curiosity,0,8,100.0
600,Mutation,Curiosity,0,9,100.0
600,Mutation,Curiosity,0,10,100.0
600,Mutation,Curiosity,0,11,97.84946236559139
600,Mutation,Curiosity,0,12,100.0
600,Mutation,Curiosity,0,13,100.0
600,Mutation,Curiosity,0,14,100.0
600,Mutation,Curiosity,0,15,100.0
600,Mutation,Curiosity,0,16,100.0
600,Mutation,Curiosity,0,17,100.0
600,Mutation,Curiosity,0,18,100.0
600,Mutation,Curiosity,0,19,100.0
600,Mutation,Curiosity,0,20,98.9247311827957
600,Mutation,Curiosity,10,1,100.0
600,Mutation,Curiosity,10,2,100.0
600,Mutation,Curiosity,10,3,100.0
600,Mutation,Curiosity,10,4,100.0
600,Mutation,Curiosity,10,5,100.0
600,Mutation,Curiosity,10,6,100.0
600,Mutation,Curiosity,10,7,100.0
600,Mutation,Curiosity,10,8,100.0
600,Mutation,Curiosity,10,9,100.0
600,Mutation,Curiosity,10,10,100.0
600,Mutation,Curiosity,10,11,100.0
600,Mutation,Curiosity,10,12,100.0
600,Mutation,Curiosity,10,13,100.0
600,Mutation,Curiosity,10,14,100.0
600,Mutation,Curiosity,10,15,100.0
600,Mutation,Curiosity,10,16,100.0
600,Mutation,Curiosity,10,17,100.0
600,Mutation,Curiosity,10,18,100.0
600,Mutation,Curiosity,10,19,100.0
600,Mutation,Curiosity,10,20,100.0
600,Mutation,Fitness,0,1,79.56989247311827
600,Mutation,Fitness,0,2,79.56989247311827
600,Mutation,Fitness,0,3,80.64516129032258
600,Mutation,Fitness,0,4,76.34408602150538
600,Mutation,Fitness,0,5,80.64516129032258
600,Mutation,Fitness,0,6,81.72043010752688
600,Mutation,Fitness,0,7,82.79569892473118
600,Mutation,Fitness,0,8,82.79569892473118
600,Mutation,Fitness,0,9,79.56989247311827
600,Mutation,Fitness,0,10,78.49462365591398
600,Mutation,Fitness,0,11,79.56989247311827
600,Mutation,Fitness,0,12,78.49462365591398
600,Mutation,Fitness,0,13,80.64516129032258
600,Mutation,Fitness,0,14,76.34408602150538
600,Mutation,Fitness,0,15,78.49462365591398
600,Mutation,Fitness,0,16,79.56989247311827
600,Mutation,Fitness,0,17,76.34408602150538
600,Mutation,Fitness,0,18,83.87096774193549
600,Mutation,Fitness,0,19,77.41935483870968
600,Mutation,Fitness,0,20,78.49462365591398
600,Mutation,Fitness,10,1,80.64516129032258
600,Mutation,Fitness,10,2,77.41935483870968
600,Mutation,Fitness,10,3,81.72043010752688
600,Mutation,Fitness,10,4,79.56989247311827
600,Mutation,Fitness,10,5,83.87096774193549
600,Mutation,Fitness,10,6,83.87096774193549
600,Mutation,Fitness,10,7,84.94623655913979
600,Mutation,Fitness,10,8,79.56989247311827
600,Mutation,Fitness,10,9,82.79569892473118
600,Mutation,Fitness,10,10,80.64516129032258
600,Mutation,Fitness,10,11,80.64516129032258
600,Mutation,Fitness,10,12,81.72043010752688
600,Mutation,Fitness,10,13,82.79569892473118
600,Mutation,Fitness,10,14,87.09677419354838
600,Mutation,Fitness,10,15,84.94623655913979
600,Mutation,Fitness,10,16,80.64516129032258
600,Mutation,Fitness,10,17,79.56989247311827
600,Mutation,Fitness,10,18,83.87096774193549
600,Mutation,Fitness,10,19,80.64516129032258
600,Mutation,Fitness,10,20,80.64516129032258
600,Mutation,Uniform,0,1,100.0
600,Mutation,Uniform,0,2,100.0
600,Mutation,Uniform,0,3,100.0
600,Mutation,Uniform,0,4,100.0
600,Mutation,Uniform,0,5,100.0
600,Mutation,Uniform,0,6,100.0
600,Mutation,Uniform,0,7,100.0
600,Mutation,Uniform,0,8,98.9247311827957
600,Mutation,Uniform,0,9,100.0
600,Mutation,Uniform,0,10,100.0
600,Mutation,Uniform,0,11,100.0
600,Mutation,Uniform,0,12,100.0
600,Mutation,Uniform,0,13,100.0
600,Mutation,Uniform,0,14,100.0
600,Mutation,Uniform,0,15,100.0
600,Mutation,Uniform,0,16,100.0
600,Mutation,Uniform,0,17,100.0
600,Mutation,Uniform,0,18,100.0
600,Mutation,Uniform,0,19,100.0
600,Mutation,Uniform,0,20,100.0
600,Mutation,Uniform,10,1,100.0
600,Mutation,Uniform,10,2,100.0
600,Mutation,Uniform,10,3,100.0
600,Mutation,Uniform,10,4,100.0
600,Mutation,Uniform,10,5,100.0
600,Mutation,Uniform,10,6,100.0
600,Mutation,Uniform,10,7,100.0
600,Mutation,Uniform,10,8,100.0
600,Mutation,Uniform,10,9,100.0
600,Mutation,Uniform,10,10,98.9247311827957
600,Mutation,Uniform,10,11,100.0
600,Mutation,Uniform,10,12,100.0
600,Mutation,Uniform,10,13,100.0
600,Mutation,Uniform,10,14,100.0
600,Mutation,Uniform,10,15,100.0
600,Mutation,Uniform,10,16,100.0
600,Mutation,Uniform,10,17,100.0
600,Mutation,Uniform,10,18,100.0
600,Mutation,Uniform,10,19,100.0
600,Mutation,Uniform,10,20,100.0
600,Random,NoSelection,0,1,9.67741935483871
600,Random,NoSelection,0,2,10.75268817204301
600,Random,NoSelection,0,3,11.827956989247312
600,Random,NoSelection,0,4,9.67741935483871
600,Random,NoSelection,0,5,9.67741935483871
600,Random,NoSelection,0,6,10.75268817204301
600,Random,NoSelection,0,7,9.67741935483871
600,Random,NoSelection,0,8,9.67741935483871
600,Random,NoSelection,0,9,9.67741935483871
600,Random,NoSelection,0,10,9.67741935483871
600,Random,NoSelection,0,11,9.67741935483871
600,Random,NoSelection,0,12,10.75268817204301
600,Random,NoSelection,0,13,10.75268817204301
600,Random,NoSelection,0,14,9.67741935483871
600,Random,NoSelection,0,15,11.827956989247312
600,Random,NoSelection,0,16,9.67741935483871
600,Random,NoSelection,0,17,11.827956989247312
600,Random,NoSelection,0,18,10.75268817204301
600,Random,NoSelection,0,19,10.75268817204301
600,Random,NoSelection,0,20,9.67741935483871
