run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
600,Mutation,Fitness,0,2,1.0
600,Mutation,Fitness,0,3,1.0
600,Mutation,Fitness,0,4,0.9857142857142858
600,Mutation,Fitness,0,5,0.9857954545454546
600,Mutation,Fitness,0,6,0.967032967032967
600,Mutation,Fitness,0,7,0.987012987012987
600,Mutation,Fitness,0,8,0.989010989010989
600,Mutation,Fitness,0,9,0.987012987012987
600,Mutation,Fitness,0,10,0.9818181818181819
600,Mutation,Fitness,0,11,0.9642857142857143
600,Mutation,Fitness,0,12,0.9772727272727273
600,Mutation,Fitness,0,13,0.9697802197802198
600,Mutation,Fitness,0,14,0.9736263736263737
600,Mutation,Fitness,0,15,1.0
600,Mutation,Fitness,0,16,1.0
600,Mutation,Fitness,0,17,1.0
600,Mutation,Fitness,0,18,0.9772727272727273
600,Mutation,Fitness,0,19,0.9791666666666666
600,Mutation,Fitness,0,20,0.9697802197802198
600,Mutation,Fitness,10,1,0.9727272727272728
600,Mutation,Fitness,10,2,0.9804713804713805
600,Mutation,Fitness,10,3,0.9816919191919192
600,Mutation,Fitness,10,4,0.985925925925926
600,Mutation,Fitness,10,5,0.9822341057635176
600,Mutation,Fitness,10,6,0.985925925925926
600,Mutation,Fitness,10,7,0.9798611111111112
600,Mutation,Fitness,10,8,0.985925925925926
600,Mutation,Fitness,10,9,0.9925925925925926
600,Mutation,Fitness,10,10,0.9843137254901961
600,Mutation,Fitness,10,11,0.9693602693602694
600,Mutation,Fitness,10,12,0.9817708333333334
600,Mutation,Fitness,10,13,0.9776515151515152
600,Mutation,Fitness,10,14,0.976010101010101
600,Mutation,Fitness,10,15,0.9758169934640523
600,Mutation,Fitness,10,16,0.9827688651218063
600,Mutation,Fitness,10,17,0.985925925925926
600,Mutation,Fitness,10,18,0.9747685185185185
600,Mutation,Fitness,10,19,0.9767676767676768
600,Mutation,Fitness,10,20,0.9832899305555556
600,Mutation,Uniform,0,1,1.0
600,Mutation,Uniform,0,2,1.0
600,Mutation,Uniform,0,3,0.9977678571428572
600,Mutation,Uniform,0,4,0.9961538461538462
600,Mutation,Uniform,0,5,0.9976958525345623
600,Mutation,Uniform,0,6,1.0
600,Mutation,Uniform,0,7,1.0
600,Mutation,Uniform,0,8,0.9982718894009216
600,Mutation,Uniform,0,9,1.0
600,Mutation,Uniform,0,10,0.9992559523809523
600,Mutation,Uniform,0,11,0.9977678571428572
600,Mutation,Uniform,0,12,1.0
600,Mutation,Uniform,0,13,1.0
600,Mutation,Uniform,0,14,0.9969765684051398
600,Mutation,Uniform,0,15,0.9959677419354839
600,Mutation,Uniform,0,16,1.0
600,Mutation,Uniform,0,17,1.0
600,Mutation,Uniform,0,18,1.0
600,Mutation,Uniform,0,19,1.0
600,Mutation,Uniform,0,20,0.996031746031746
600,Mutation,Uniform,10,1,1.0
600,Mutation,Uniform,10,2,0.997732426303855
600,Mutation,Uniform,10,3,0.9954648526077098
600,Mutation,Uniform,10,4,0.9923094582185492
600,Mutation,Uniform,10,5,1.0
600,Mutation,Uniform,10,6,0.9977678571428572
600,Mutation,Uniform,10,7,0.996031746031746
600,Mutation,Uniform,10,8,0.99609375
600,Mutation,Uniform,10,9,1.0
600,Mutation,Uniform,10,10,0.9959677419354839
600,Mutation,Uniform,10,11,0.9960695389266817
600,Mutation,Uniform,10,12,1.0
600,Mutation,Uniform,10,13,1.0
600,Mutation,Uniform,10,14,0.9985569985569985
600,Mutation,Uniform,10,15,0.99609375
600,Mutation,Uniform,10,16,0.9955357142857143
600,Mutation,Uniform,10,17,1.0
600,Mutation,Uniform,10,18,0.9954648526077098
600,Mutation,Uniform,10,19,0.9960695389266817
600,Mutation,Uniform,10,20,0.9985569985569985
600,Random,NoSelection,0,1,0.0
600,Random,NoSelection,0,2,0.0
600,Random,NoSelection,0,3,0.0
600,Random,NoSelection,0,4,0.0
600,Random,NoSelection,0,5,0.0
600,Random,NoSelection,0,6,0.0
600,Random,NoSelection,0,7,0.0
600,Random,NoSelection,0,8,0.0
600,Random,NoSelection,0,9,0.0
600,Random,NoSelection,0,10,0.0
600,Random,NoSelection,0,11,0.0
600,Random,NoSelection,0,12,0.0
600,Random,NoSelection,0,13,0.0
600,Random,NoSelection,0,14,0.0
600,Random,NoSelection,0,15,0.0
600,Random,NoSelection,0,16,0.0
600,Random,NoSelection,0,17,0.0
600,Random,NoSelection,0,18,0.0
600,Random,NoSelection,0,19,0.0
600,Random,NoSelection,0,20,0.0
