bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
60,49,6,2,1,1.381596178631248e-16,4.715409289556923e-15,0.029299602511515345,-1.976600771979297e15,-8.847635e6,-1.0,-4.268590623613151e15,1.4371067435674e13,-1.0,"ArgumentError(""Month: -8847635 out of range (1:12)"")","ArgumentError(""Month: 14371067435674 out of range (1:12)"")"
45,34,4,2,1,1.3813454230424159e-16,1.2226197265506183e-12,0.00011298242560993278,85367.0,2.011291e6,1.0,1.5614204160199e15,422.0,2.017308935807e12,"ArgumentError(""Month: 2011291 out of range (1:12)"")","ArgumentError(""Month: 422 out of range (1:12)"")"
47,36,0,2,1,1.3716301338762259e-16,2.1595169207404863e-12,6.351560021145384e-5,1.183925358354407e15,-273.0,24.0,301330.0,-467.0,1.2303580543429e14,"ArgumentError(""Month: -273 out of range (1:12)"")","ArgumentError(""Month: -467 out of range (1:12)"")"
24,34,16,2,1,1.3711290500222268e-16,4.898304123351273e-15,0.027991913435626806,-1.0,2.0,26.0,59.0,3.646629761012612e15,7.0,"ArgumentError(""Day: -1 out of range (1:28)"")","ArgumentError(""Month: 3646629761012612 out of range (1:12)"")"
82,16,1,2,1,1.3579627083737646e-16,3.861297248211467e-15,0.03516856178329099,9.60249738754832e14,-1.1533809e7,-2.028430324493229e15,1.793660160083077e15,-8.950596e6,-4.019445728527199e15,"ArgumentError(""Month: -11533809 out of range (1:12)"")","ArgumentError(""Month: -8950596 out of range (1:12)"")"
38,56,3,2,1,1.356044838467846e-16,2.3664044705025793e-14,0.005730401777764762,8.54764878942049e14,82.0,-2.704439107112127e15,0.0,1.0,89.0,"ArgumentError(""Month: 82 out of range (1:12)"")","ArgumentError(""Day: 0 out of range (1:31)"")"
53,56,14,2,1,1.343983720277083e-16,4.690101505471513e-15,0.028655749107118045,8.5984107690428e14,1.354414910810321e15,29.0,2.836435449611543e15,-2.0,-5.0,"ArgumentError(""Month: 1354414910810321 out of range (1:12)"")","ArgumentError(""Month: -2 out of range (1:12)"")"
69,50,13,2,1,1.339982609008792e-16,1.2663103812350824e-15,0.10581786494570582,2.11174366085508e14,4.77954922790055e14,3.5765088486353384e16,3073.0,1.0,3.96283804305534e16,"ArgumentError(""Month: 477954922790055 out of range (1:12)"")","ArgumentError(""Day: 3073 out of range (1:31)"")"
61,39,10,2,1,1.319472894143072e-16,1.8189136113009436e-15,0.07254181209845056,1.845659361470149e15,9.5689679587e10,-2.17157971214919e14,4068.0,0.0,4.710212077496e12,"ArgumentError(""Month: 95689679587 out of range (1:12)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
96,1,0,2,1,1.3176853410517638e-16,2.5014528920973736e-15,0.05267680015940394,8.619803793696232e16,2.889028496892167e15,-9.63645044594918e14,8.315090646170926e16,3.055016475397815e15,2.1253189542704e13,"ArgumentError(""Month: 2889028496892167 out of range (1:12)"")","ArgumentError(""Month: 3055016475397815 out of range (1:12)"")"
30,31,2,2,1,1.3071498590582519e-16,4.463138564080735e-13,0.00029287682654044673,0.0,816.0,1.0,1.405144697946755e15,94120.0,7635.0,"ArgumentError(""Month: 816 out of range (1:12)"")","ArgumentError(""Month: 94120 out of range (1:12)"")"
64,26,7,2,1,1.297383283644283e-16,2.4303507363880895e-13,0.0005338255356395239,1.544772e6,3.033040827292505e15,4.6821337920738e13,-15.0,1.61809676e8,1.8992896946357e14,"ArgumentError(""Month: 3033040827292505 out of range (1:12)"")","ArgumentError(""Month: 161809676 out of range (1:12)"")"
43,55,4,1,1,1.2867638628598124e-16,1.2867638628598124e-16,1.0,94.0,-38311.0,8.080853964435112e15,3.0,3.0,1.5584307156176628e16,"ArgumentError(""Month: -38311 out of range (1:12)"")",8635--54255129628557499-7378697629483820624
78,21,0,2,1,1.2849916236962256e-16,1.2227260999828864e-12,0.00010509235254847432,-3.05724232051751e14,2.227262789375977e15,7.555659e6,-9.57319805699836e14,-5.58635997137486e14,8.178888e6,"ArgumentError(""Month: 2227262789375977 out of range (1:12)"")","ArgumentError(""Month: -558635997137486 out of range (1:12)"")"
102,0,0,2,1,1.270215605745244e-16,4.5986759652845967e-14,0.002762133308226327,1.0469149966818187e17,2.704955815300166e15,-6.886056304354367e15,1.0777879436864139e17,2.771333425938872e15,-5.989229890158666e15,"ArgumentError(""Month: 2704955815300166 out of range (1:12)"")","ArgumentError(""Month: 2771333425938872 out of range (1:12)"")"
27,33,12,2,1,1.25001714300394e-16,4.907533462629858e-15,0.025471393165683653,192.0,-428.0,7.0,1.0,2.754060590358069e15,54.0,"ArgumentError(""Month: -428 out of range (1:12)"")","ArgumentError(""Month: 2754060590358069 out of range (1:12)"")"
95,0,0,2,1,1.248445744877664e-16,1.4949828944329544e-14,0.00835090320783368,1.2030089908261548e16,3.451846285936683e15,2.15320522240933e14,9.242108000575192e15,2.651878449728178e15,3.13995939393601e14,"ArgumentError(""Month: 3451846285936683 out of range (1:12)"")","ArgumentError(""Month: 2651878449728178 out of range (1:12)"")"
84,3,0,2,1,1.2440384097726663e-16,4.2228895725135374e-11,2.945941134407152e-6,2.233222951160493e15,1.15783222573e11,2.6747180194e12,5.16776439332375e15,2.67926860884e11,-2.0248144080201e13,"ArgumentError(""Month: 115783222573 out of range (1:12)"")","ArgumentError(""Month: 267926860884 out of range (1:12)"")"
105,0,1,2,1,1.2408953650166307e-16,7.63826222933994e-16,0.1624578114443529,-3.4525848740686492e16,-9.70570319371183e14,1.7349725718407414e17,-3.587079636929871e16,-1.495415175562876e15,1.7672134966661494e17,"ArgumentError(""Month: -970570319371183 out of range (1:12)"")","ArgumentError(""Month: -1495415175562876 out of range (1:12)"")"
59,33,1,2,1,1.2274276090001737e-16,7.939004724135181e-13,0.00015460724003207857,4.6479761e7,10798.0,-1.571266866006846e15,6.7582316e7,4154.0,-3.328488822953827e15,"ArgumentError(""Month: 10798 out of range (1:12)"")","ArgumentError(""Month: 4154 out of range (1:12)"")"
33,29,11,2,1,1.2272332530777321e-16,1.3436227291044142e-11,9.133763715769672e-6,6.0,2.671609913081217e15,-115.0,-2.0,-3899.0,-1607.0,"ArgumentError(""Month: 2671609913081217 out of range (1:12)"")","ArgumentError(""Month: -3899 out of range (1:12)"")"
47,38,6,2,1,1.2232735956526898e-16,1.1859787626110692e-12,0.00010314464594285918,-32852.0,-6.62059099e8,1.0,0.0,2.937812690000271e15,1.545783602477e12,"ArgumentError(""Month: -662059099 out of range (1:12)"")","ArgumentError(""Month: 2937812690000271 out of range (1:12)"")"
98,1,0,2,1,1.2081415373475088e-16,1.4311021889165595e-13,0.0008442035423495181,-4.39894608247471e14,1.9630219595096736e16,-2.401413559943519e15,6.5034375250057e13,1.6107445704606972e16,-2.590272447368121e15,"ArgumentError(""Month: 19630219595096737 out of range (1:12)"")","ArgumentError(""Month: 16107445704606972 out of range (1:12)"")"
83,14,0,2,1,1.2067874613551296e-16,2.005915326446349e-14,0.006016143580163261,8.25240725405068e14,-1.187179e7,-2.814376750085874e15,1.301631613466188e15,-1.0348719e7,-4.524949220353543e15,"ArgumentError(""Month: -11871790 out of range (1:12)"")","ArgumentError(""Month: -10348719 out of range (1:12)"")"
38,43,2,2,1,1.188740307999371e-16,4.1040544644091346e-15,0.028965022718588973,1.64768532986e11,-20.0,-3.271436879684285e15,-83.0,4.0,-7.0,"ArgumentError(""Month: -20 out of range (1:12)"")","ArgumentError(""Day: -83 out of range (1:30)"")"
47,37,1,2,1,1.185397262272564e-16,5.847173462554153e-13,0.000202729963436857,709.0,-8054.0,1.331160633562363e15,6.66521988454199e14,-27064.0,29.0,"ArgumentError(""Month: -8054 out of range (1:12)"")","ArgumentError(""Month: -27064 out of range (1:12)"")"
32,34,16,2,1,1.1805895861719212e-16,3.173269038257328e-14,0.0037204207142180054,-1833.0,-2.727737920756055e15,-37.0,1840.0,0.0,-8.0,"ArgumentError(""Month: -2727737920756055 out of range (1:12)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
91,6,1,2,1,1.166815419483753e-16,6.599059275125848e-14,0.0017681541729468724,-1.37312152e8,9.766656383448732e15,2.828586729303461e15,1.06847014192436e15,1.24848040620995e16,4.847639840887051e15,"ArgumentError(""Month: 9766656383448731 out of range (1:12)"")","ArgumentError(""Month: 12484804062099499 out of range (1:12)"")"
87,26,0,2,1,1.1546270729198747e-16,5.215678974484933e-16,0.22137617720881647,2177.0,-2.979899523060423e15,-8.64334491276959e14,-8.67266893425877e14,-6.258488964983834e15,-1.269964989002391e15,"ArgumentError(""Month: -2979899523060423 out of range (1:12)"")","ArgumentError(""Month: -6258488964983834 out of range (1:12)"")"
30,32,14,2,1,1.1526668801940113e-16,4.331968834462843e-15,0.026608383491220113,-93066.0,66.0,1.0,-1.0,2.692406912342087e15,-10.0,"ArgumentError(""Month: 66 out of range (1:12)"")","ArgumentError(""Month: 2692406912342087 out of range (1:12)"")"
48,38,1,2,1,1.147495053667948e-16,3.1334220455105323e-13,0.00036621145731454926,1.935101090588027e15,6.936059e6,3.85493487390885e14,1.0,103039.0,216.0,"ArgumentError(""Month: 6936059 out of range (1:12)"")","ArgumentError(""Month: 103039 out of range (1:12)"")"
90,42,0,2,1,1.145432020777112e-16,1.1203201511614951e-15,0.1022414904873024,-3.026980601926236e17,2.234462316773573e16,25.0,-2.9957363007368794e17,2.0944107753605216e16,-3.61079558173604e14,"ArgumentError(""Month: 22344623167735730 out of range (1:12)"")","ArgumentError(""Month: 20944107753605218 out of range (1:12)"")"
62,42,10,2,1,1.1368750214464379e-16,3.278052428396085e-13,0.00034681416672847367,1.878008518199617e15,9.7366847383e10,-1.05735146196915e15,4068.0,0.0,4.710212077496e12,"ArgumentError(""Month: 97366847383 out of range (1:12)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
48,40,0,2,1,1.1339330043734008e-16,1.4672751618566716e-12,7.72815511262752e-5,1.393996740027638e15,-238.0,-3.60331206017429e14,301330.0,-467.0,44.0,"ArgumentError(""Month: -238 out of range (1:12)"")","ArgumentError(""Month: -467 out of range (1:12)"")"
63,50,0,2,1,1.1311481707085806e-16,1.0531584861189789e-15,0.10740531321900121,3.055783464171535e15,-1.64715346128711e15,5.1134429e7,0.0,-2.27790963315315e15,-214.0,"ArgumentError(""Month: -1647153461287110 out of range (1:12)"")","ArgumentError(""Month: -2277909633153150 out of range (1:12)"")"
41,40,12,2,1,1.130579616265307e-16,1.8626699833673343e-12,6.0696721714570474e-5,-76.0,2.592465867196591e15,13.0,1.4432247663727e13,1248.0,94.0,"ArgumentError(""Month: 2592465867196591 out of range (1:12)"")","ArgumentError(""Month: 1248 out of range (1:12)"")"
75,34,7,2,1,1.12802383958082e-16,2.652746754290701e-15,0.04252286192627665,34.0,-2.21617522098226e14,3.630946846077328e15,-5.34318772791824e14,1.59575628e8,6.763873335942333e15,"ArgumentError(""Month: -221617522098226 out of range (1:12)"")","ArgumentError(""Month: 159575628 out of range (1:12)"")"
44,39,2,2,1,1.1241637527367007e-16,1.3518292036970046e-12,8.315871188921791e-5,4.044724097907654e15,-1.5674461e7,12.0,1.31446618012e12,1.0,115.0,"ArgumentError(""Month: -15674461 out of range (1:12)"")","ArgumentError(""Day: 1314466180120 out of range (1:31)"")"
