bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
10,1,10,1,1,0.005348865097623152,0.6698906348083082,0.007984684095716236,-51,422.0,8.0,255.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,8,1,1,0.005347165469246922,0.03202956658285099,0.1669446714308603,129,40.0,32.0,-98.0,Overweight,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,14,0,1,0.005341331773817691,0.08537714095908289,0.0625616144299975,84,197.0,115.0,21.0,Severely obese,Underweight
9,0,8,1,1,0.005339944825648341,0.04319608737271859,0.12362103029314864,58,-1.0,199.0,92.0,"DomainError(""Height or Weight cannot be negative."", """")",Overweight
10,1,10,1,1,0.005331726421998745,0.6698906348083082,0.007959099806678801,66,17.0,-108.0,53.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,10,1,1,0.005312160695643128,0.0861244019138756,0.06168008807718965,64,27.0,-85.0,-71.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,7,1,1,0.00522279337054121,0.03090349343902322,0.16900333228819223,169,65.0,88.0,-100.0,Normal,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,6,1,1,0.0052226569676513835,0.6537402316630345,0.007988887198154515,-90,26.0,86.0,7.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,0,10,1,1,0.005181907935715299,0.9473684210526316,0.005469791709921704,13,96.0,45.0,-84.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,10,1,1,0.005157202540275216,0.07840476839390854,0.06577664402202216,114,46.0,-42.0,-51.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,14,0,1,0.005118003871414177,0.08537714095908289,0.05994583343880053,272,106.0,89.0,70.0,Underweight,Severely obese
12,0,10,1,1,0.005111956432207856,0.028460925858605195,0.17961314602357709,101,107.0,-78.0,155.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,7,1,1,0.005073970257757428,0.03090349343902322,0.16418759477044428,129,32.0,15.0,-119.0,Normal,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,10,1,1,0.005066720889349607,0.0861244019138756,0.05883025921522599,-78,107.0,91.0,27.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,6,1,1,0.005061446443616071,0.9245283018867925,0.00547462574513575,95,11.0,-83.0,52.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,7,1,1,0.005041471694357539,0.03090349343902322,0.1631359802187104,-53,-23.0,129.0,33.0,"DomainError(""Height or Weight cannot be negative."", """")",Normal
9,0,14,0,1,0.005000911246783117,0.08862732049359294,0.056426294047157204,266,51.0,78.0,84.0,Underweight,Severely obese
11,0,10,1,1,0.0049977228143336366,0.07840476839390854,0.06374258755825776,-152,49.0,30.0,102.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
12,0,7,1,1,0.004993232082227745,0.008606491309117448,0.580170467021569,195,-116.0,185.0,76.0,"DomainError(""Height or Weight cannot be negative."", """")",Normal
10,1,10,1,1,0.0049846999517997575,0.6698906348083082,0.0074410652915399365,2,100.0,-59.0,-80.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,10,1,1,0.004980565100716174,0.07840476839390854,0.063523752480125,-9,183.0,181.0,174.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,14,0,1,0.004960568902547136,0.08862732049359294,0.05597110320971225,47,158.0,165.0,6.0,Severely obese,Underweight
10,0,6,1,1,0.004909307419288771,0.08404802744425387,0.05841073929480313,-64,36.0,124.0,25.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
12,0,6,1,1,0.004905988544002734,0.03342639129910111,0.14676991303379686,519,-27.0,596.0,145.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
11,0,10,1,1,0.0048678462224787476,0.07840476839390854,0.062086099126299345,124,96.0,-26.0,-28.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,10,1,1,0.004856830953128657,0.07840476839390854,0.06194560678666575,-117,34.0,55.0,126.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,1,10,1,1,0.004830495492126341,0.6698906348083082,0.007210871806722012,-122,78.0,70.0,38.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,10,1,1,0.004757702787964662,0.0861244019138756,0.055242215704700795,139,68.0,-60.0,75.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
12,0,17,0,1,0.004748143245513665,0.04873701788285793,0.09742375409439463,105,199.0,315.0,215.0,Severely obese,Normal
10,1,10,1,1,0.004737552791487346,0.6698906348083082,0.007072128710745471,97,70.0,-101.0,42.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,12,0,1,0.004727224170725599,0.08333333333333333,0.05672669004870719,71,12.0,159.0,17.0,Overweight,Underweight
12,1,10,1,1,0.004554445333275082,0.0861244019138756,0.05288217081413845,16,30.0,-126.0,-122.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,10,1,1,0.004553813896897075,0.0861244019138756,0.05287483913619381,-78,-60.0,86.0,68.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,1,10,1,1,0.004533486018738608,0.6698906348083082,0.006767501713224999,-185,102.0,5.0,15.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,0,10,1,1,0.004514914114187305,0.07840476839390854,0.057584687853476,98,66.0,-25.0,-104.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,1,10,1,1,0.004513940260428017,0.009473684210526316,0.4764714719340684,-186,0.0,22.0,28.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
12,0,10,1,1,0.004513479181174931,0.028460925858605195,0.15858511432825628,-110,376.0,74.0,275.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,0,10,1,1,0.004511073616290127,0.07840476839390854,0.05753570489011997,95,40.0,-103.0,-30.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,6,1,1,0.00450480534025623,0.08404802744425387,0.053597990068762896,47,-97.0,209.0,29.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
11,0,6,1,1,0.004501386781357302,0.08108649612461213,0.05551339614477433,180,34.0,-10.0,-44.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,10,1,1,0.004486674037722717,0.0861244019138756,0.05209527077133599,229,-88.0,50.0,24.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,1,6,1,1,0.004455933251956988,0.6537402316630345,0.00681606093084044,-111,44.0,94.0,12.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
11,0,7,1,1,0.0044359904982879585,0.03090349343902322,0.14354333457609797,116,27.0,-87.0,102.0,Normal,"DomainError(""Height or Weight cannot be negative."", """")"
12,0,17,0,1,0.004427857381187702,0.04873701788285793,0.09085203759963931,377,291.0,159.0,232.0,Normal,Severely obese
11,0,10,1,1,0.004374121242914626,0.07840476839390854,0.0557889696317815,122,-97.0,32.0,100.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,0,10,1,1,0.004372397194143942,0.07840476839390854,0.055766980551193675,74,61.0,-71.0,-100.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,6,1,1,0.0043720375227475515,0.9245283018867925,0.004728938545012658,139,1.0,-72.0,15.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
10,1,10,1,1,0.004363714839081586,0.6698906348083082,0.006514070524855567,-121,96.0,92.0,54.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,0,10,1,1,0.004349114041309472,0.07840476839390854,0.05547001962252292,127,79.0,-24.0,-78.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,10,1,1,0.00427898841243703,0.07840476839390854,0.05457561446950814,-125,164.0,52.0,31.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
