bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
15,11,9,0,1,9.752952843990445e-7,16607.0,-1.025195e6,0.0,1.0,out,in,9.998993706104492e-7,0.9753934376452466
13,10,6,1,1,9.61077799290124e-7,-1.02123e6,-33.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.81416702255888e-7,0.9792759763319567
15,11,6,1,1,9.583195466442376e-7,0.0,0.0,-1.023712e6,30603.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814011625273475e-7,0.9764809572635219
14,11,6,1,1,9.489250986342984e-7,-1.034308e6,1200.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.813796407503531e-7,0.9669296765813887
15,9,9,0,1,9.328588207629369e-7,3133.0,-1.071978e6,3.0,-9.0,out,in,9.999743128472785e-7,0.9328827838654773
16,7,9,0,1,9.313293380243373e-7,-1.073723e6,228.0,11.0,-10.0,out,in,9.999389845162883e-7,0.9313861670018393
15,8,9,0,1,9.101325969632704e-7,-1.098688e6,-27.0,53.0,-1.0,out,in,9.999889801216593e-7,0.9101426266242885
18,12,9,0,1,9.055530163311099e-7,-298472.0,-1.063197e6,-4.0,1.0,out,in,9.925205519788954e-7,0.9123770933766673
20,8,9,0,1,9.010056177152211e-7,55.0,-10.0,-1.062805e6,-319607.0,in,out,9.813971448364171e-7,0.9180846127949598
12,11,6,1,1,8.189925421120415e-7,-1.198401e6,-8.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.814785369752044e-7,0.8344477349816282
17,14,6,1,1,6.563772480312949e-7,0.0,0.0,-262049.0,-1.47216e6,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.751962367208743e-7,0.6730719657393086
17,3,9,0,1,6.457206851710935e-7,1.5486e6,-842.0,-57.0,-20.0,out,in,9.968990028961098e-6,0.06477292918291606
18,7,9,0,1,6.436594060055751e-7,-1.553586e6,12710.0,-21.0,36.0,out,in,9.998152543085697e-7,0.6437783412803628
19,10,9,0,1,4.771232373659817e-7,1.0,-10.0,-1.945567e6,-779458.0,in,out,9.937172301258845e-7,0.4801398455227948
17,14,9,0,1,4.5043043694077894e-7,-1.955758e6,1.050643e6,0.0,1.0,out,in,9.897971312522616e-7,0.4550734920507477
19,5,9,0,1,3.8763007550543705e-7,-20.0,-43.0,-2.579684e6,24335.0,in,out,9.998364863138337e-7,0.3876934686936057
19,6,9,0,1,3.7146885415371753e-7,-17.0,-1.0,2.688698e6,-133269.0,in,out,6.7770217484759124e-6,0.05481299425330269
19,7,9,0,1,2.7032478968343024e-7,-3.699272e6,-14593.0,-47.0,-1.0,out,in,9.997998869034082e-7,0.27037889604157017
21,6,9,0,1,1.717929026443017e-7,-25.0,-71.0,-5.811945e6,-324397.0,in,out,9.822708169752592e-7,0.17489362370889686
20,12,9,0,1,1.6708705648869601e-7,-1.0,17.0,-3.263724e6,-5.016674e6,in,out,6.727636419099454e-7,0.24835922466669488
19,14,9,0,1,1.3706969628172912e-7,-4.39421e6,-5.823705e6,63.0,0.0,out,in,6.943702662686858e-7,0.19740144839193063
18,16,9,0,1,1.0848884366450247e-7,-6.286521e6,-6.741112e6,5.0,0.0,out,in,6.88076614701143e-7,0.15766971489304746
14,13,9,0,1,9.99918106693544e-8,59.0,-1.0000751e7,7.0,68.0,out,in,9.999762005549073e-8,0.9999419047560021
14,14,9,0,1,9.985606746419557e-8,0.0,3.0,-1.0014414e7,-15.0,in,out,9.999374039185097e-8,0.9986231845401933
12,16,9,0,1,9.951324093329887e-8,-1.0048908e7,1.0,6.0,1.0,out,in,9.999927000532847e-8,0.9951396737995817
18,13,9,0,1,9.941788359884336e-8,-1.0028754e7,773248.0,33.0,2.0,out,in,9.99591929302351e-8,0.9945846968595521
15,12,9,0,1,9.939334279271257e-8,-18.0,68.0,3.0,-1.0060968e7,in,out,9.999917000670845e-8,0.9939416775763715
13,14,9,0,1,9.93792869118771e-8,-1.0062461e7,1.0,-2.0,1.0,out,in,9.999903000907091e-8,0.9938025089129605
13,14,6,1,1,9.786300471132029e-8,-1.0,-1.0029137e7,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.814419293676012e-8,0.9971349479064848
17,12,9,0,1,9.750695321485221e-8,10005.0,-1.0255618e7,8.0,56.0,out,in,9.999596626602777e-8,0.9751088654460939
19,11,9,0,1,9.60130158735836e-8,22.0,-1.0,-1.0412787e7,225689.0,in,out,9.992904569235161e-8,0.9608118961645629
15,14,9,0,1,9.576985801113633e-8,3778.0,-1.0441698e7,9.0,0.0,out,in,9.999533020259299e-8,0.9577433047833759
16,11,9,0,1,9.575079973338412e-8,-1.0,41.0,-1.0443778e7,-12.0,in,out,9.998913117807967e-8,0.9576120784853394
17,15,9,0,1,9.390914734041174e-8,1.0,0.0,-21108.0,-1.0648569e7,in,out,9.992740249806335e-8,0.9397737256527984
18,17,9,0,1,9.169913758634655e-8,1.0,0.0,-118510.0,-1.0904584e7,in,out,9.990106683002268e-8,0.9178994829191229
20,10,9,0,1,9.1201457176392e-8,882450.0,-1.0929171e7,-16.0,-3.0,out,in,9.99737463482887e-8,0.9122540717706449
18,11,9,0,1,9.02607825659584e-8,-8.0,-8.0,-1.1078995e7,21946.0,in,out,9.999520874010607e-8,0.9026510740184756
12,16,6,1,1,8.976689174342863e-8,0.0,0.0,0.0,-1.0933669e7,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814247551304583e-8,0.9146589310506656
14,14,6,1,1,8.85335386508911e-8,0.0,0.0,-1.1085985e7,-14.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.811966400960328e-8,0.9023016899265578
17,11,9,0,1,8.732454890706748e-8,4.0,-11.0,-1.1451528e7,5913.0,in,out,9.998795317963593e-8,0.8733507000606595
15,14,6,1,1,8.710717359059773e-8,0.0,0.0,-1.1267516e7,1554.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814280333585475e-8,0.8875553849069099
19,12,9,0,1,8.470233214792335e-8,-1.1805394e7,127489.0,-32.0,0.0,out,in,9.99718097860485e-8,0.8472621664966989
16,14,9,0,1,8.431979012426807e-8,1.0,0.0,-1209.0,-1.1859612e7,in,out,9.997498573351975e-8,0.8434088737858876
20,13,9,0,1,8.207412538824422e-8,-29.0,2.0,-1.1746382e7,3.236617e6,in,out,9.9961080071187e-8,0.82106081016527
21,10,9,0,1,8.169381256382318e-8,1.2032702e7,-2.247974e6,48.0,-56.0,out,in,6.830457533127374e-7,0.11960225529199517
16,14,6,1,1,7.585017848786717e-8,22515.0,-1.2939719e7,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.811195393351092e-8,0.7730982357080541
19,18,9,0,1,7.509018146562559e-8,-5.598173e6,-1.208352e7,0.0,1.0,out,in,9.908432607105531e-8,0.7578411686604898
18,17,6,1,1,7.201401407922054e-8,-1.3032065e7,3.989469e6,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.807300522081083e-8,0.7342898682168593
21,14,9,0,1,6.887754319265598e-8,-1.4479096e7,-1.069238e6,1.0,-43.0,out,in,9.875144568813311e-8,0.6974838971996229
20,16,9,0,1,6.258090902818833e-8,-1.5855602e7,-1.98448e6,0.0,51.0,out,in,9.922787324401841e-8,0.6306787294966114
17,15,6,1,1,5.4151084477056956e-8,0.0,0.0,411335.0,-1.8120204e7,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.788983953714098e-8,0.5531839129893676
19,9,9,0,1,4.880073314293125e-8,-51.0,50.0,-2.0491525e7,29683.0,in,out,9.983012332496165e-8,0.48883775275001645
20,6,9,0,1,4.642673367777764e-8,-31.0,-25.0,313986.0,2.1537e7,in,out,9.91305862518631e-7,0.04683391416633035
19,18,6,1,1,3.776444958241564e-8,2.3440101e7,-1.1225817e7,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.711944825416474e-8,0.3888453884497455
20,21,9,0,1,2.902534622593191e-8,-1.5865445e7,-3.0582223e7,5.0,0.0,out,in,6.9789849558016e-8,0.4158963862187905
18,16,6,1,1,2.85130053775279e-8,2.9569696e7,1.762168e7,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",6.746623345905943e-7,0.04226263112024842
21,18,9,0,1,2.6256912253127528e-8,12.0,6.0,-2.1121774e7,-3.1691528e7,in,out,7.00985276178837e-8,0.3745715230462102
22,12,9,0,1,1.926819468652286e-8,4.9271785e7,-1.6303408e7,31.0,-26.0,out,in,9.73171995367365e-8,0.19799372339366655
21,8,9,0,1,1.8101841497736893e-8,628375.0,-5.5239436e7,-38.0,-12.0,out,in,9.983888372421461e-8,0.1813105357601923
23,14,9,0,1,1.1543346552849574e-8,-3.4424385e7,-7.9496658e7,-20.0,-2.0,out,in,6.820723209668623e-8,0.1692393342759674
22,17,9,0,1,1.047244847423234e-8,-9.2331004e7,-2.4353089e7,-26.0,9.0,out,in,6.480834125311224e-8,0.1615910586776425
17,18,9,0,1,9.963080994001657e-9,1.0,1.0,-1.00370557e8,-4983.0,in,out,9.998973391728229e-9,0.9964103917151871
15,18,9,0,1,9.946710399567131e-9,0.0,-1.00535751e8,-13.0,0.0,out,in,9.999732507155433e-9,0.994697647407032
13,20,9,0,1,9.865412101940486e-9,1.0,0.0,1.0,-1.0136424e8,in,out,9.999964600125315e-9,0.9865447025499328
17,16,9,0,1,9.824840677178213e-9,-1.0178282e8,-163.0,1.0,-2.0,out,in,9.999761004170306e-9,0.9825075492385125
14,19,9,0,1,9.77692881011413e-9,0.0,43.0,1.0,-1.02281565e8,in,out,9.999929600495611e-9,0.9776997639692955
16,18,9,0,1,9.699477023563033e-9,3582.0,-1.03098337e8,0.0,5.0,out,in,9.99991590044952e-9,0.9699558596414815
13,20,6,1,1,9.680097001643903e-9,0.0,0.0,3.0,-1.01391699e8,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814656209970438e-9,0.9862899723181501
16,16,9,0,1,9.67742050985361e-9,1.0,-1.0,267.0,-1.03333322e8,in,out,9.999935700406005e-9,0.9677482735674691
14,19,6,1,1,9.551402883113242e-9,12.0,-1.02757835e8,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.814414190425967e-9,0.9732015276500868
15,17,9,0,1,9.487504908597849e-9,-1.05401792e8,1.0,-2.0,-2.0,out,in,9.999905600891125e-9,0.9487594470644188
20,18,9,0,1,9.43902033196351e-9,0.0,13.0,-121791.0,-1.05943115e8,in,out,9.997467391574059e-9,0.9441411471788134
18,19,9,0,1,9.355633804069772e-9,-1.06887378e8,134844.0,4.0,2.0,out,in,9.99971136222922e-9,0.9355903850792884
20,21,6,1,1,9.227433138023075e-9,0.0,0.0,-1.2988701e7,1.05569574e8,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,6.611603194187663e-8,0.13956423074716612
15,18,6,1,1,9.163401264420801e-9,0.0,0.0,-14.0,-1.07108862e8,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.81370880979376e-9,0.9337347828454037
21,19,9,0,1,8.944592510027235e-9,-1.11202722e8,1.1534873e7,24.0,3.0,out,in,9.997622874752785e-9,0.894671925724985
19,20,9,0,1,8.84596719571594e-9,0.0,5.0,-276229.0,-1.13045521e8,in,out,9.998764456282792e-9,0.8847060288691486
18,14,9,0,1,8.61959169617692e-9,-1.1601474e8,2052.0,36.0,-1.0,out,in,9.999629113108721e-9,0.8619911397391047
22,13,9,0,1,8.408852661342085e-9,13.0,-28.0,-1.18920395e8,-668760.0,in,out,9.994129798129733e-9,0.8413791726935235
20,15,9,0,1,8.255803652095133e-9,-1.21126729e8,208617.0,3.0,-30.0,out,in,9.998829781306085e-9,0.8256769874741011
16,18,6,1,1,8.191079307133641e-9,0.0,0.0,-469.0,-1.19823218e8,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.810403560105479e-9,0.8349380590665093
21,16,9,0,1,8.18561033145877e-9,1.688911e6,-1.22153925e8,-25.0,0.0,out,in,9.999617475744656e-9,0.8185923462886464
22,16,9,0,1,8.125644028948797e-9,79.0,-2.0,-1.8870357e7,1.21611817e8,in,out,6.671492232285956e-8,0.12179649988387355
23,19,9,0,1,7.935242951759784e-9,0.0,-49.0,-1.21175309e8,-3.4606502e7,in,out,9.894346781530306e-9,0.8019976585591718
18,15,9,0,1,7.530271538924334e-9,-21.0,2.0,3089.0,-1.32797334e8,in,out,9.997245036806112e-9,0.7532346672709027
19,20,6,1,1,7.505925471117115e-9,-221271.0,-1.30760701e8,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.810949722013718e-9,0.7650559511354328
24,12,9,0,1,7.502463502046195e-9,-1.0086584e7,1.32907346e8,-14.0,-12.0,out,in,6.314494508802401e-8,0.11881336647910243
19,16,9,0,1,7.464148303954399e-9,0.0,24.0,-1.33973545e8,239032.0,in,out,9.99711281264556e-9,0.7466303965793843
20,14,9,0,1,7.418636028759621e-9,-1.34795664e8,-37101.0,-1.0,34.0,out,in,9.995035796748584e-9,0.7422320619574896
19,8,9,0,1,7.2822680403556975e-9,7093.0,1.37319841e8,-29.0,-15.0,out,in,9.971945922108963e-8,0.07302755246807008
20,22,9,0,1,6.979420436455093e-9,-6.45386e6,-1.43132938e8,1.0,6.0,out,in,9.99252961417616e-9,0.6984638230697419
22,21,9,0,1,6.681165433549555e-9,13.0,1.0,-8.6298132e7,-1.22290971e8,in,out,9.933446711975822e-9,0.6725928700553356
17,18,6,1,1,6.1619499380029295e-9,47868.0,-1.59280982e8,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.812314229406366e-9,0.627981309397561
21,24,9,0,1,6.03191097008183e-9,-2.0743333e7,-1.64482095e8,0.0,3.0,out,in,9.878863846735898e-9,0.6105875193405819
21,15,9,0,1,5.269325985104579e-9,-1.89776162e8,-727290.0,37.0,-7.0,out,in,9.998355566582192e-9,0.5270192633193009
21,12,9,0,1,4.37728804094467e-9,-2.28450845e8,721301.0,-31.0,35.0,out,in,9.991703667153484e-9,0.4380922600151238
23,24,9,0,1,4.339987159685968e-9,25.0,5.0,-1.70864754e8,-1.54584913e8,in,out,6.9575630171540614e-9,0.6237797845288086
22,11,9,0,1,4.307792936049366e-9,-16.0,-22.0,-2.32137294e8,269425.0,in,out,9.916056966192972e-9,0.43442599722208314
20,22,6,1,1,4.080106883878532e-9,0.0,0.0,9.4619581e7,-2.21162441e8,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.792327048583364e-9,0.41666366570842756
20,11,9,0,1,3.8510740968105815e-9,1866.0,-2.59667841e8,-43.0,-25.0,out,in,9.994655854625609e-9,0.38531332672432866
21,24,6,1,1,3.6470150863302983e-9,-2.67487651e8,-2.9588105e7,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.673625187111804e-9,0.37700603608140887
24,16,9,0,1,3.040459174615431e-9,-3.08489309e8,1.14052738e8,-1.0,-46.0,out,in,9.778933283563805e-9,0.31091930852271604
22,27,9,0,1,2.715927229320717e-9,-2.47247628e8,-2.7283447e8,7.0,8.0,out,in,7.0065135266204554e-9,0.3876289140100649
23,18,9,0,1,2.69940260633364e-9,24.0,-1.0,2.70268554e8,-2.53357169e8,in,out,9.867339457089182e-9,0.27356944777999465
18,19,6,1,1,2.636555206335877e-9,426373.0,-3.72258785e8,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.813705837957834e-9,0.26866050907477845
25,18,6,1,1,2.0023460647855335e-9,3.144512148e9,-1.0,3.643926319e9,100.0,"DomainError(-8.558787424789978e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.3169159562587947e-7,0.015204812845262853
22,27,6,1,1,1.9311353976849078e-9,0.0,0.0,-4.9267785e8,-1.24808171e8,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,1.0,1.9311353976849078e-9
27,14,6,1,1,1.423495927372639e-9,235.0,2.727445987e9,5038.0,3.42994185e9,out,"DomainError(-6.682242979302748e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",4.6240627645512686e-8,0.030784528667849493
22,9,9,0,1,1.389277780596552e-9,1.015229e6,7.19797679e8,-10.0,-60.0,out,in,9.919100682583493e-8,0.014006086086371952
22,27,0,2,1,1.3598691399716367e-9,0.0,3.414958697e9,0.0,3.220118431e9,"DomainError(-6.784801171493614e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-8.07758136404365e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",0.20869565217391306,6.5160396290307585e-9
24,22,9,0,1,1.2466316690001304e-9,-7.42468519e8,-3.03650586e8,1.0,-31.0,out,in,6.54438239374514e-9,0.1904888183477193
28,14,6,1,1,1.211539249090092e-9,7.425101556e9,84.0,8.250497472e9,784625.0,"DomainError(-2.0809910421502666e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,5.240657848987338e-8,0.023118075707312204
23,10,9,0,1,1.2050733705602676e-9,8.29697167e8,1.4562841e7,-31.0,-18.0,out,in,9.611310077582655e-8,0.01253807608778507
23,11,9,0,1,1.0859889108340872e-9,6.171171e6,-9.20799094e8,-45.0,-58.0,out,in,9.914839992150918e-9,0.10953166280986987
