bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
14,1,0,2,1,17.74602781498457,-66.0,4747512,0.09302325581395354,0.4181818181818182,0.2224469160768454,0,12,-169,0,11,-169,"ArgumentError(""Day: 0 out of range (1:31)"")","ArgumentError(""Day: 0 out of range (1:30)"")"
11,0,0,2,1,21.472567821526418,-75.5,4844263,0.09302325581395354,0.2801743849984434,0.3320191309225873,0,9,-47,0,10,-47,"ArgumentError(""Day: 0 out of range (1:30)"")","ArgumentError(""Day: 0 out of range (1:31)"")"
13,2,3,2,1,32.5663372911889,-65.0,7210908,0.09065471553673686,0.1923076923076923,0.47140452079103173,0,9,-169,1,13,-168,"ArgumentError(""Day: 0 out of range (1:30)"")","ArgumentError(""Month: 13 out of range (1:12)"")"
16,0,0,2,1,42.846284424895785,-4.0,27089285,0.08695652173913049,0.14731391274719743,0.5902804434252921,-3,-35,145,-3,-34,145,"ArgumentError(""Month: -35 out of range (1:12)"")","ArgumentError(""Month: -34 out of range (1:12)"")"
18,0,0,2,1,43.3178563312503,-6.5,27371872,0.08695652173913049,0.4181818181818182,0.20793950850661638,-58,-65,198,-58,-64,198,"ArgumentError(""Month: -65 out of range (1:12)"")","ArgumentError(""Month: -64 out of range (1:12)"")"
14,0,1,2,1,38.94133510375907,-35.0,16594399,0.07685943273766824,0.40740740740740744,0.18865497126518566,-10,-10,-5,-9,-9,-5,"ArgumentError(""Month: -10 out of range (1:12)"")","ArgumentError(""Month: -9 out of range (1:12)"")"
9,0,37,1,1,46.14868276198163,1.0,29842426,0.06984302957695782,0.09053574604251853,0.7714414762115868,-1,-11,0,2,3,0,"ArgumentError(""Month: -11 out of range (1:12)"")",0000-03-02
17,1,0,2,1,41.6072056676459,-14.0,22345041,0.06148754619013461,0.17924528301886794,0.34303578400811935,-1,-123,142,0,-122,142,"ArgumentError(""Month: -123 out of range (1:12)"")","ArgumentError(""Month: -122 out of range (1:12)"")"
10,1,37,1,1,41.83154224726335,-8.0,22978013,0.0404888165089458,0.062257280636469035,0.6503466919052723,-11,-18,0,2,3,0,"ArgumentError(""Month: -18 out of range (1:12)"")",0000-03-02
11,0,37,1,1,42.75932790315665,-3.0,26835584,0.040356715613563084,0.0827605888602368,0.48763205010196464,2,-11,107,4,2,86,"ArgumentError(""Month: -11 out of range (1:12)"")",0086-02-04
14,0,37,1,1,42.53029194226007,-0.5,26361395,0.0386797200286228,0.07658521015691258,0.5050546959311513,13,6,223,-3,-13,223,0223-06-13,"ArgumentError(""Month: -13 out of range (1:12)"")"
