bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
26,0,0,0,1,0.4375,0.6666666666666667,0.6562499999999999,-7.534695717e11,-753469571699,-753469571700B,-753469571699B
26,0,0,0,1,0.4285714285714286,0.6666666666666667,0.6428571428571428,-3.3279333456e11,-332793334559,-332793334560B,-332793334559B
70,0,0,0,1,0.4285714285714286,0.7142857142857143,0.6,-1.0e34,-9999999999999999999907459999907849,-9999999999999999999907459999907850B,-9999999999999999999907459999907849B
32,0,0,0,1,0.42105263157894735,0.75,0.5614035087719298,-5.292801155014e14,-529280115501399,-529280115501400B,-529280115501399B
32,0,0,0,1,0.42105263157894735,0.75,0.5614035087719298,-1.39395875494799e14,-139395875494800,-139395875494799B,-139395875494800B
30,0,0,0,1,0.4117647058823529,0.7142857142857143,0.5764705882352941,-5.2829509579799e13,-52829509579800,-52829509579799B,-52829509579800B
48,0,0,0,1,0.4117647058823529,0.75,0.5490196078431372,-9.999999997887318e22,-99999999978873187129999,-99999999978873187130000B,-99999999978873187129999B
26,0,0,0,1,0.4,0.6666666666666667,0.6,-4.1205944423e11,-412059444229,-412059444230B,-412059444229B
28,0,0,0,1,0.4,0.8,0.5,-1.00962970964e12,-1009629709639,-1009629709640B,-1009629709639B
26,0,0,0,1,0.4,0.6666666666666667,0.6,-8.2228053565e11,-822280535649,-822280535650B,-822280535649B
32,0,0,0,1,0.4,0.75,0.5333333333333333,-5.84738239128699e14,-584738239128700,-584738239128699B,-584738239128700B
36,0,0,0,1,0.4,0.7142857142857143,0.56,-9.23377790647745e16,-92337779064774499,-92337779064774500B,-92337779064774499B
48,0,0,0,1,0.38888888888888884,0.75,0.5185185185185185,-9.999999994950703e22,-99999999949507033332200,-99999999949507033332199B,-99999999949507033332200B
26,0,0,0,1,0.3846153846153846,0.6666666666666667,0.5769230769230768,-4.2194714714e11,-421947147139,-421947147140B,-421947147139B
26,0,0,0,1,0.375,0.6666666666666667,0.5624999999999999,-4.51962713569e11,-451962713570,-451962713569B,-451962713570B
