bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
14,4,6,1,1,8.175835637249027e-5,9.198255736002363e-5,0.8888463065066196,819.0,3.0,-10486.0,-260.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
13,2,7,1,1,8.146411394599866e-5,0.0007790950315188904,0.10456248679596854,2444.0,11509.0,-93.0,1.0,Normal,"DomainError(""Height or Weight cannot be negative."", """")"
12,4,6,1,1,8.109831363375548e-5,9.240395910780647e-5,0.8776497719014308,-11215.0,46.0,185.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,6,6,1,1,8.066733285810946e-5,9.245282279245372e-5,0.8725242823488325,-11460.0,0.0,1.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
10,3,11,0,1,7.982114329626157e-5,0.00046991142586173335,0.1698642316472384,22.0,1.0,12550.0,16.0,Normal,Underweight
12,6,6,1,1,7.539783800269028e-5,9.21294553459692e-5,0.818390141562788,5.0,-11220.0,4947.0,2.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
15,3,6,1,1,7.299868701559785e-5,0.008417333725408552,0.00867242399992341,4586.0,1.0,16866.0,-3098.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
15,3,14,0,1,7.286014656777886e-5,0.0003657245097997403,0.1992213937416305,0.0,4048.0,11579.0,10177.0,Severely obese,Underweight
14,4,10,1,1,7.271016855649876e-5,9.438838374340715e-5,0.7703296282110289,1.0,428.0,2020.0,-12444.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
13,4,9,1,1,7.235972382272348e-5,0.0005981032636520143,0.12098199127170034,13464.0,-1629.0,19.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Obese
15,3,10,1,1,7.204929479402105e-5,0.008996481938867996,0.008008607729510633,0.0,12123.0,-723.0,-1006.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
17,0,6,1,1,7.006827946749437e-5,0.0035250385363015295,0.019877308785682102,20829.0,-194.0,7743.0,1496.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
14,1,17,0,1,6.8965586781031e-5,0.0009955414956395027,0.06927444720596986,31.0,480.0,2581.0,14754.0,Severely obese,Normal
