bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
16,18,6,1,1,4.005614567448781e-9,-2.45026441e8,-463.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.810403560105479e-9,0.4083027311677394
21,15,9,0,1,3.994814782206582e-9,-808205.0,-2.50323198e8,18.0,-6.0,out,in,9.998355566582192e-9,0.3995471810943164
18,19,6,1,1,3.875787165347748e-9,-2.532341e8,-29969.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.813705837957834e-9,0.39493614637977303
22,13,9,0,1,3.844893072971548e-9,-2.60084185e8,-752024.0,-16.0,-3.0,out,in,9.994129798129733e-9,0.38471514285226394
21,24,6,1,1,3.453889959979685e-9,2.36835026e8,-1.57035166e8,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.673625187111804e-9,0.3570419458241272
23,24,9,0,1,3.4319732700042447e-9,-2.42634999e8,-1.61335493e8,1.0,-5.0,out,in,6.9575630171540614e-9,0.4932723227288953
24,16,9,0,1,3.32351570228042e-9,2.04041675e8,-2.2113227e8,-44.0,-1.0,out,in,9.778933283563805e-9,0.3398648508898721
16,14,6,1,1,3.209768079395885e-9,12594.0,3.05779563e8,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.811195393351092e-8,0.03271536189740039
21,24,9,0,1,2.4254884219024902e-9,3.36505745e8,-2.38212843e8,3.0,0.0,out,in,9.878863846735898e-9,0.2455230135299316
24,22,9,0,1,2.2990036944596666e-9,-1.17254053e8,-4.18869076e8,1.0,-25.0,out,in,6.54438239374514e-9,0.3512942178710344
22,27,6,1,1,1.1108014933610666e-9,-8.71853123e8,-1.43474561e8,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",1.0,1.1108014933610666e-9
17,20,9,0,1,9.884247016406675e-10,-10.0,1.0,16.0,-1.011710854e9,in,out,9.999973640069473e-10,0.9884273071281822
24,27,9,0,1,9.809509719889105e-10,-1.011264676e9,-1.28680265e8,59.0,1.0,out,in,9.92694430627148e-10,0.988170117333268
15,23,9,0,1,9.783572093567113e-10,6.0,-1.0,-1.022121557e9,1.0,in,out,9.999998170000336e-10,0.9783573883960806
14,25,6,1,1,9.650143074958541e-10,-1.017064176e9,0.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.814389037175215e-10,0.9832647797438498
14,25,9,0,1,9.493393838200517e-10,-1.05336407e9,0.0,3.0,6.0,out,in,9.999991900006561e-10,0.9493401527849525
18,22,9,0,1,9.414216718871224e-10,41702.0,-1.06222326e9,2.0,2.0,out,in,9.999205491861407e-10,0.941496474548271
21,16,9,0,1,9.216117815954933e-10,-106827.0,1.085055574e9,-12.0,6.0,out,in,9.999617475744656e-9,0.09216470368301387
21,12,9,0,1,9.141142543697593e-10,1.093955166e9,-14513.0,12.0,-55.0,out,in,9.991703667153484e-9,0.09148732636805465
17,22,9,0,1,9.087487057209284e-10,1.0,0.0,1204.0,-1.100414222e9,in,out,9.999950430242777e-10,0.90875321038853
23,30,9,0,1,8.957172341177378e-10,-4.93566787e8,-1.001395933e9,0.0,9.0,out,in,9.924875368672008e-10,0.9024972111439105
23,20,9,0,1,8.667416325516748e-10,-1.152069546e9,6.2180549e7,-1.0,29.0,out,in,9.999801353822443e-10,0.8667588503849242
21,25,9,0,1,8.655290724775968e-10,1.0611711e7,-1.155313957e9,1.0,2.0,out,in,9.99978144846119e-10,0.8655479891620914
16,22,9,0,1,8.58804339277249e-10,1.0,-48.0,-1.164409579e9,1.0,in,out,9.999982100032036e-10,0.8588058765370168
21,21,9,0,1,8.343031852489994e-10,6.834373e6,-1.198585522e9,3.0,30.0,out,in,9.99971527766751e-10,0.8343269404002525
20,14,9,0,1,8.26585750755555e-10,1.209795834e9,-43235.0,-2.0,14.0,out,in,9.995035796748584e-9,0.08269962885219939
27,18,9,0,1,8.077885970028836e-10,-1.232932891e9,-1.11315031e8,-57.0,-49.0,out,in,9.423545060799844e-10,0.8572024559665243
26,16,9,0,1,7.841782518334213e-10,-4.81047069e8,1.181008195e9,-28.0,-50.0,out,in,6.295150835881281e-9,0.12456861992309057
25,18,9,0,1,7.505986726084338e-10,-5.12320338e8,1.229825582e9,-78.0,-4.0,out,in,6.933224167529286e-9,0.10826112851272715
17,18,6,1,1,6.422543734830713e-10,0.0,0.0,40563.0,1.528181857e9,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.812314229406366e-9,0.06545391418043967
19,17,9,0,1,6.099324509752229e-10,-1.639525792e9,425.0,25.0,-10.0,out,in,9.998979014247594e-10,0.6099947305681181
18,20,9,0,1,5.470828934226338e-10,0.0,20.0,-1.827876565e9,1603.0,in,out,9.999543080838283e-10,0.5471078918305642
22,19,9,0,1,5.212178166638203e-10,2.269478e6,-1.918582345e9,76.0,-1.0,out,in,9.998495014899354e-10,0.5212962709759045
17,22,6,1,1,5.062075249221882e-10,-1.938891528e9,-117.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.814708472442523e-10,0.5157641985429361
18,22,6,1,1,4.961591072031886e-10,-1.978158754e9,38992.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.811354188812782e-10,0.5056989052224056
26,21,9,0,1,4.553673778975393e-10,1.85733493e9,-1.171687045e9,-33.0,-6.0,out,in,9.835100786419415e-10,0.46300224856498007
20,24,9,0,1,4.468566182191548e-10,5.519524e6,-2.237847481e9,1.0,2.0,out,in,9.999909763438183e-10,0.44686065053602636
20,20,9,0,1,4.466668612100802e-10,1.0,-4.0,-2.238804994e9,-14821.0,in,out,9.998015070514468e-10,0.4467555390343056
24,18,9,0,1,4.274942587737812e-10,-2.339141685e9,1.8237501e7,-78.0,15.0,out,in,9.999032647619742e-10,0.42753561653341104
26,17,9,0,1,4.247233426484737e-10,-2.33561995e9,2.97366365e8,-57.0,-49.0,out,in,9.987732864708987e-10,0.4252449964387878
22,23,9,0,1,3.906304502783989e-10,-2.559539093e9,4.6652463e7,59.0,1.0,out,in,9.99570745841369e-10,0.3907982020318066
25,24,9,0,1,3.704330653409622e-10,-5.64028145e8,-2.639962974e9,25.0,56.0,out,in,9.913583138339121e-10,0.37366213625462463
29,18,6,1,1,3.262243173167349e-10,4.10178572e8,0.0,-3.085419e6,-3.037390207e9,out,"DomainError(-9.220995284319644e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",5.3415841816420805e-8,0.006107257813850438
15,17,5,1,1,3.2277437681434934e-10,3.067765454e9,-1.0,13.0,1.0,"DomainError(-9.035559192953726e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",in,3.2604137937837195e-10,0.9899797916134098
26,13,6,1,1,3.223175324003674e-10,3.101185446e9,25859.0,25.0,-9.1324949e7,"DomainError(-8.829392902558645e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,4.822636008081747e-10,0.6683430635449771
15,18,5,1,1,3.1871983125979455e-10,0.0,2.0,255.0,3.106486994e9,in,"DomainError(-8.79648262981833e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.2604331509137944e-10,0.9775383101182972
21,19,6,1,1,3.1718370426796764e-10,1.6080056e7,1.0,10.0,3.152706082e9,out,"DomainError(-8.507188434229761e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.3961919985972585e-10,0.9339392602037081
