bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
115,1,2,2,1,1.8360384512647344e-17,0.0,27740280,9.229633035282171e-20,7.613123739444602e-19,0.1212331935111237,-3722820106342970919,95722337592564753,-3073401532024641051,-6308209316925602173,2327010647966947056,-768326057523866695,"ArgumentError(""Month: 95722337592564753 out of range (1:12)"")","ArgumentError(""Month: 2327010647966947056 out of range (1:12)"")"
111,1,2,2,1,1.1547281115320274e-17,0.0,21281161,8.741362160034255e-20,2.865290581922571e-18,0.030507768444793894,2911757446928953251,-76232119928682475,73595774987953103,2009114172416377649,-4804096572949019495,884015974300414904,"ArgumentError(""Month: -76232119928682475 out of range (1:12)"")","ArgumentError(""Month: -4804096572949019495 out of range (1:12)"")"
112,3,4,2,1,5.12854923953966e-18,0.0,9773860,8.272552714006404e-20,1.5744642540389934e-18,0.05254201670685579,-4369440196499712785,3780502315839024,57190720907587197,-8269557788021763202,-1017144035603179207,3635753225357683848,"ArgumentError(""Month: 3780502315839024 out of range (1:12)"")","ArgumentError(""Month: -1017144035603179207 out of range (1:12)"")"
112,1,4,2,1,1.902348335459065e-17,0.0,28890184,8.137062010851612e-20,3.4432980052020533e-19,0.2363159389212996,5379260684613830397,4621781818024818,1455490639886545302,9149907404056811665,-1443070120464988382,4873701028131313485,"ArgumentError(""Month: 4621781818024818 out of range (1:12)"")","ArgumentError(""Month: -1443070120464988382 out of range (1:12)"")"
112,1,3,2,1,4.15262351392956e-18,0.0,7941218,7.61822085482111e-20,8.748197225446749e-19,0.08708332309497133,4604251118991795826,67345900572166169,-714948014246942805,7765548869730658347,-4289534075257191079,408340568658928654,"ArgumentError(""Month: 67345900572166169 out of range (1:12)"")","ArgumentError(""Month: -4289534075257191079 out of range (1:12)"")"
113,2,3,2,1,4.349438717930521e-19,0.0,1664220,7.31868497026693e-20,2.389858223346487e-18,0.030623929481551723,8008349889499794868,2499504588705233701,-3562836090179983451,2575362548843754606,5569213294903256,-3933811316808235161,"ArgumentError(""Month: 2499504588705233701 out of range (1:12)"")","ArgumentError(""Month: 5569213294903256 out of range (1:12)"")"
114,2,3,2,1,1.0380495973884638e-17,0.0,17806418,6.835135574054142e-20,2.664386307381877e-19,0.25653695768954,-1185944518645703232,-467045239565885,1655122638544700638,-4779235022230014922,3272841951608006540,-2565408754234799625,"ArgumentError(""Month: -467045239565885 out of range (1:12)"")","ArgumentError(""Month: 3272841951608006540 out of range (1:12)"")"
110,1,0,2,1,1.305258264876975e-17,0.0,23515047,6.494411383870507e-20,6.460900709912561e-16,0.00010051866876558763,4936970018358444561,8960684502548532585,2885024635226881037,34459699797796098,7029085820910850319,40536100505737862,"ArgumentError(""Month: 8960684502548532585 out of range (1:12)"")","ArgumentError(""Month: 7029085820910850319 out of range (1:12)"")"
115,4,5,2,1,6.472197731928652e-20,0.0,898917,6.472197731928652e-20,2.799104280221505e-19,0.23122388750077147,-6239075975579721016,-3277398191820239634,-1270309092821258945,-4640245493495537255,853231249852138,-6151325138882537847,"ArgumentError(""Month: -3277398191820239634 out of range (1:12)"")","ArgumentError(""Month: 853231249852138 out of range (1:12)"")"
114,4,0,2,1,4.990639093826077e-19,0.0,1706785,6.412003758955569e-20,1.170236132640063e-18,0.05479239257883819,846444277594830,-6958213501336340676,-3100775849337149874,-1100030999569754037,-2730828350808127752,1292672588814896999,"ArgumentError(""Month: -6958213501336340676 out of range (1:12)"")","ArgumentError(""Month: -2730828350808127752 out of range (1:12)"")"
