x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
305108964607141723230120049271188512517,-100000000,"InexactError(:check_top_bit, UInt128, -100000000)",error,InexactError,1.0,305108964607141723230120049271188512517,-99999999,"InexactError(:check_top_bit, UInt128, -99999999)",error,InexactError,1
294217851539220667717837730965372550925,-100,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,294217851539220667717837730965372550925,-99,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
-10000,15421500229861418844,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,-9999,15421500229861418844,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
-1000000000,6148621138875662933,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,-999999999,6148621138875662933,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-10,55297883259036023819506650611888019940,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,-9,55297883259036023819506650611888019940,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
-1000000000,51214159203595619749754068904638800070,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,-999999999,51214159203595619749754068904638800070,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
17742045095648036980,-100,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,17742045095648036980,-99,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
-10000,7674855493587218526,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,-9999,7674855493587218526,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
-10,11477112251769465215,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,-9,11477112251769465215,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
16679542250632160788,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,16679542250632160788,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-10000,4159233567393906441,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,-9999,4159233567393906441,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
5308079755341395974,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,5308079755341395974,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-10,4591588415345124640,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,-9,4591588415345124640,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
54843336974341902011347140174530209130,-10,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,54843336974341902011347140174530209130,-9,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
-10,1777721689756673754,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,-9,1777721689756673754,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
-100,1038548181036366477,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,-99,1038548181036366477,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
275968423802539043187113136754764826918,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,275968423802539043187113136754764826918,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
-1000000000,33016946459240286089855358661629684593,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,-999999999,33016946459240286089855358661629684593,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
10950181137590970794,-100,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,10950181137590970794,-99,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
-10000,208896420347187994242271050326958378843,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,-9999,208896420347187994242271050326958378843,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
196861422265585180492024988087475766440,-10000,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,196861422265585180492024988087475766440,-9999,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
-10000,8126100369791256885,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,-9999,8126100369791256885,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
11583562287334233980,-10000,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,11583562287334233980,-9999,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
-10,7929885096980970506,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,-9,7929885096980970506,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
-100,188332173170664255560327757767102855334,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,-99,188332173170664255560327757767102855334,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
-1000000000,13822039854873551916,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,-999999999,13822039854873551916,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-100,27998135450141919399313859230557621983,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,-99,27998135450141919399313859230557621983,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
3302723861993808508,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,3302723861993808508,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-10,180267242543389196719833480270423597073,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,-9,180267242543389196719833480270423597073,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
-10,19631822773097689161343148787143020377,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,-9,19631822773097689161343148787143020377,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
-1000000000,17965040541576392915,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,-999999999,17965040541576392915,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-1000000000,206993140387722691406411432988356488348,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,-999999999,206993140387722691406411432988356488348,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
9305759174304312153,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,9305759174304312153,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-1000000000,211339617445346773060565567418999872914,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,-999999999,211339617445346773060565567418999872914,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
-10000,51444215211206446804149797183167152977,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,-9999,51444215211206446804149797183167152977,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
6184852740952499448152792006625111783,-10000,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,6184852740952499448152792006625111783,-9999,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
