x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
171,false,DivideError(),error,DivideError,1.0,171,true,"(0xab, 0x01)",valid,"Tuple{UInt8, UInt8}",8
169,false,DivideError(),error,DivideError,1.0,169,true,"(0xa9, 0x01)",valid,"Tuple{UInt8, UInt8}",11
167,false,DivideError(),error,DivideError,1.0,167,true,"(0xa7, 0x01)",valid,"Tuple{UInt8, UInt8}",5
166,false,DivideError(),error,DivideError,1.0,166,true,"(0xa6, 0x01)",valid,"Tuple{UInt8, UInt8}",8
165,false,DivideError(),error,DivideError,1.0,165,true,"(0xa5, 0x01)",valid,"Tuple{UInt8, UInt8}",5
164,false,DivideError(),error,DivideError,1.0,164,true,"(0xa4, 0x01)",valid,"Tuple{UInt8, UInt8}",6
163,false,DivideError(),error,DivideError,1.0,163,true,"(0xa3, 0x01)",valid,"Tuple{UInt8, UInt8}",5
162,false,DivideError(),error,DivideError,1.0,162,true,"(0xa2, 0x01)",valid,"Tuple{UInt8, UInt8}",12
161,false,DivideError(),error,DivideError,1.0,161,true,"(0xa1, 0x01)",valid,"Tuple{UInt8, UInt8}",12
160,false,DivideError(),error,DivideError,1.0,160,true,"(0xa0, 0x01)",valid,"Tuple{UInt8, UInt8}",9
159,false,DivideError(),error,DivideError,1.0,159,true,"(0x9f, 0x01)",valid,"Tuple{UInt8, UInt8}",3
158,false,DivideError(),error,DivideError,1.0,158,true,"(0x9e, 0x01)",valid,"Tuple{UInt8, UInt8}",5
157,false,DivideError(),error,DivideError,1.0,157,true,"(0x9d, 0x01)",valid,"Tuple{UInt8, UInt8}",12
156,false,DivideError(),error,DivideError,1.0,156,true,"(0x9c, 0x01)",valid,"Tuple{UInt8, UInt8}",6
154,false,DivideError(),error,DivideError,1.0,154,true,"(0x9a, 0x01)",valid,"Tuple{UInt8, UInt8}",8
152,false,DivideError(),error,DivideError,1.0,152,true,"(0x98, 0x01)",valid,"Tuple{UInt8, UInt8}",4
151,false,DivideError(),error,DivideError,1.0,151,true,"(0x97, 0x01)",valid,"Tuple{UInt8, UInt8}",13
150,false,DivideError(),error,DivideError,1.0,150,true,"(0x96, 0x01)",valid,"Tuple{UInt8, UInt8}",7
150,0,DivideError(),error,DivideError,5.0,150,1,"(150, 1)",valid,"Tuple{Int64, Int64}",2
149,false,DivideError(),error,DivideError,1.0,149,true,"(0x95, 0x01)",valid,"Tuple{UInt8, UInt8}",8
148,false,DivideError(),error,DivideError,1.0,148,true,"(0x94, 0x01)",valid,"Tuple{UInt8, UInt8}",5
148,0,DivideError(),error,DivideError,5.0,148,1,"(148, 1)",valid,"Tuple{Int64, Int64}",5
146,false,DivideError(),error,DivideError,1.0,146,true,"(0x92, 0x01)",valid,"Tuple{UInt8, UInt8}",4
145,false,DivideError(),error,DivideError,1.0,145,true,"(0x91, 0x01)",valid,"Tuple{UInt8, UInt8}",6
144,false,DivideError(),error,DivideError,1.0,144,true,"(0x90, 0x01)",valid,"Tuple{UInt8, UInt8}",8
143,false,DivideError(),error,DivideError,1.0,143,true,"(0x8f, 0x01)",valid,"Tuple{UInt8, UInt8}",9
141,false,DivideError(),error,DivideError,1.0,141,true,"(0x8d, 0x01)",valid,"Tuple{UInt8, UInt8}",5
140,0,DivideError(),error,DivideError,5.0,140,1,"(140, 1)",valid,"Tuple{Int64, Int64}",3
140,false,DivideError(),error,DivideError,1.0,140,true,"(0x8c, 0x01)",valid,"Tuple{UInt8, UInt8}",12
138,false,DivideError(),error,DivideError,1.0,138,true,"(0x8a, 0x01)",valid,"Tuple{UInt8, UInt8}",9
137,false,DivideError(),error,DivideError,1.0,137,true,"(0x89, 0x01)",valid,"Tuple{UInt8, UInt8}",8
136,false,DivideError(),error,DivideError,1.0,136,true,"(0x88, 0x01)",valid,"Tuple{UInt8, UInt8}",5
135,false,DivideError(),error,DivideError,1.0,135,true,"(0x87, 0x01)",valid,"Tuple{UInt8, UInt8}",7
134,false,DivideError(),error,DivideError,1.0,134,true,"(0x86, 0x01)",valid,"Tuple{UInt8, UInt8}",3
133,false,DivideError(),error,DivideError,1.0,133,true,"(0x85, 0x01)",valid,"Tuple{UInt8, UInt8}",6
131,0,DivideError(),error,DivideError,5.0,131,1,"(131, 1)",valid,"Tuple{Int64, Int64}",3
131,false,DivideError(),error,DivideError,1.0,131,true,"(0x83, 0x01)",valid,"Tuple{UInt8, UInt8}",7
130,false,DivideError(),error,DivideError,1.0,130,true,"(0x82, 0x01)",valid,"Tuple{UInt8, UInt8}",3
129,false,DivideError(),error,DivideError,1.0,129,true,"(0x81, 0x01)",valid,"Tuple{UInt8, UInt8}",14
128,false,DivideError(),error,DivideError,1.0,128,true,"(0x80, 0x01)",valid,"Tuple{UInt8, UInt8}",4
127,false,DivideError(),error,DivideError,5.0,127,true,"(127, 1)",valid,"Tuple{Int64, Int64}",14
127,false,DivideError(),error,DivideError,1.0,127,true,"(0x7f, 0x01)",valid,"Tuple{UInt8, UInt8}",6
126,false,DivideError(),error,DivideError,5.0,126,true,"(126, 1)",valid,"Tuple{Int64, Int64}",9
126,false,DivideError(),error,DivideError,1.0,126,true,"(0x7e, 0x01)",valid,"Tuple{UInt8, UInt8}",10
125,false,DivideError(),error,DivideError,5.0,125,true,"(125, 1)",valid,"Tuple{Int64, Int64}",8
125,false,DivideError(),error,DivideError,1.0,125,true,"(0x7d, 0x01)",valid,"Tuple{UInt8, UInt8}",10
124,false,DivideError(),error,DivideError,1.0,124,true,"(0x7c, 0x01)",valid,"Tuple{UInt8, UInt8}",6
124,false,DivideError(),error,DivideError,5.0,124,true,"(124, 1)",valid,"Tuple{Int64, Int64}",5
