bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
34,51,2,2,1,2.5470073293431322e-20,2.6822974521356527e-17,0.0009495618494194959,-5007.0,1,-11,0,2061.0,3.5234916173851144e19,"ArgumentError(""Day: -5007 out of range (1:31)"")","InexactError(:Int64, Int64, 35234916173851145950)"
35,55,1,2,1,2.448923929672777e-20,2.803504403282453e-19,0.08735224124511738,0.0,-1629832,35998625220107052151,2,-201.0,0.0,"InexactError(:Int64, Int64, 35998625220107052151)","ArgumentError(""Month: -201 out of range (1:12)"")"
39,51,2,2,1,2.3979947130687992e-20,9.378523289966268e-15,2.5569000992238556e-6,6769.0,235,5439327363727739078,14011198535,0.0,3.0,"ArgumentError(""Month: 235 out of range (1:12)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
29,56,3,2,1,2.3607079846669814e-20,3.578503841650997e-19,0.06596913372539047,3.784175506397304e19,-6,0,1179,3.0,1.0,"InexactError(:Int64, Int64, 37841755063973039774)","ArgumentError(""Day: 1179 out of range (1:31)"")"
33,55,2,2,1,2.2682952699088043e-20,4.2987211702076776e-19,0.05276674573892448,0.0,39564333151037402334,6,64,1.981154e6,15.0,"InexactError(:Int64, Int64, 39564333151037402334)","ArgumentError(""Month: 1981154 out of range (1:12)"")"
39,45,1,2,1,2.2130044821605832e-20,3.5984440508424145e-14,6.149892706105872e-7,-173.0,2339,0,40969942626662779480,11872.0,-1573.0,"ArgumentError(""Month: 2339 out of range (1:12)"")","InexactError(:Int64, Int64, 40969942626662779480)"
45,69,6,2,1,2.1355380670175364e-20,5.24897099117574e-19,0.04068488986903675,880.0,8710937999697109,42336382753687056170,0,1.0,2299.0,"InexactError(:Int64, Int64, 42336382753687056170)","ArgumentError(""Day: 0 out of range (1:31)"")"
35,58,0,2,1,2.0524734613019812e-20,3.1927042354836443e-19,0.06428636384450638,5.0,395147,31,0,-4.440458901159889e19,1750.0,"ArgumentError(""Month: 395147 out of range (1:12)"")","InexactError(:Int64, Int64, -44404589011598890271)"
39,57,2,2,1,1.980204898673954e-20,3.512739786587578e-17,0.0005637209184223713,0.0,-1291818,29386,38,-4.4672921736927e19,14.0,"ArgumentError(""Month: -1291818 out of range (1:12)"")","InexactError(:Int64, Int64, -44672921736927004611)"
37,46,0,2,1,1.9223936010229224e-20,9.984793492084623e-13,1.9253213424462777e-8,6.785019599487336e18,97,186203108,-25,21.0,-2.0,"ArgumentError(""Month: 97 out of range (1:12)"")","ArgumentError(""Month: 21 out of range (1:12)"")"
44,45,3,2,1,1.8670946637429828e-20,8.773682961544288e-14,2.1280626071475332e-7,-1.2402438e7,83,-4,-46154,4.856029446568409e19,-6741.0,"ArgumentError(""Month: 83 out of range (1:12)"")","InexactError(:Int64, Int64, 48560294465684087184)"
41,56,1,2,1,1.817417434279994e-20,0.14893617021276595,1.220265991587996e-19,0.0,1531380,-7464720,-49655021866110971351,577.0,1.0,"ArgumentError(""Month: 1531380 out of range (1:12)"")","InexactError(:Int64, Int64, -49655021866110971351)"
40,47,2,2,1,1.7445635122670876e-20,8.805861073643409e-15,1.981139036463674e-6,-7.0,303,67100941,51206695947253458888,33.0,17406.0,"ArgumentError(""Month: 303 out of range (1:12)"")","InexactError(:Int64, Int64, 51206695947253458888)"
41,46,3,2,1,1.683658452454214e-20,3.312351432154758e-15,5.082970472607603e-6,5.187618190885655e19,2172,13,-2447,1.8871636e7,-6.0,"InexactError(:Int64, Int64, 51876181908856554947)","ArgumentError(""Month: 18871636 out of range (1:12)"")"
64,64,0,2,1,1.6667688677315655e-20,5.2054376811332445e-16,3.201976413573552e-5,-1.7839822270002e13,53678346710800701971,39,1131888,12.0,5.2548573082759174e17,"InexactError(:Int64, Int64, 53678346710800701971)","ArgumentError(""Day: 1131888 out of range (1:31)"")"
49,56,0,2,1,1.6271000978815218e-20,2.72658912553066e-14,5.967529477199279e-7,121.0,22967,-52323231524588169128,3620723819935,-28264.0,5.0,"InexactError(:Int64, Int64, -52323231524588169128)","ArgumentError(""Month: -28264 out of range (1:12)"")"
52,44,5,2,1,1.5586791159096588e-20,3.922463682804272e-15,3.9737247861408324e-6,-97355.0,2454172719,14942904430,7,1741.0,5.7897678580012564e19,"ArgumentError(""Month: 2454172719 out of range (1:12)"")","InexactError(:Int64, Int64, 57897678580012566129)"
34,56,2,2,1,1.5438436489881842e-20,3.7954511024892778e-19,0.04067615699160613,5.5905676e7,-41,1,57000590738421224171,9.0,0.0,"ArgumentError(""Month: -41 out of range (1:12)"")","InexactError(:Int64, Int64, 57000590738421224171)"
30,48,1,2,1,1.541396628119356e-20,4.217534430276258e-18,0.0036547339532172853,0.0,0,6366,564,47.0,7.208469843785562e18,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Month: 47 out of range (1:12)"")"
52,49,3,2,1,1.5374550992317307e-20,5.001708432579384e-15,3.073859901983259e-6,-14.0,13,-1494,58971911902969805868,9.0055542e7,1.0156326667526e13,"ArgumentError(""Month: 13 out of range (1:12)"")","InexactError(:Int64, Int64, 58971911902969805868)"
45,46,5,2,1,1.4873964779839173e-20,4.462074287300533e-14,3.3334193521098074e-7,-3595.0,3426261068,1,186749,106.0,6.067239217975355e19,"ArgumentError(""Month: 3426261068 out of range (1:12)"")","InexactError(:Int64, Int64, 60672392179753547950)"
55,51,1,2,1,1.383182034391685e-20,0.14583333333333337,9.484676807257267e-20,-9.0,64785680685758308609,31,28361201909,277521.0,3.4519205760293e13,"InexactError(:Int64, Int64, 64785680685758308609)","ArgumentError(""Month: 277521 out of range (1:12)"")"
46,43,1,2,1,1.3771718768143705e-20,1.6949280516782863e-12,8.125252723563814e-9,311.0,840,66011434331188046910,-412551250,2848.0,-65097.0,"InexactError(:Int64, Int64, 66011434331188046910)","ArgumentError(""Month: 2848 out of range (1:12)"")"
62,48,3,2,1,1.2723599166012224e-20,2.9728187795010267e-14,4.279978064504766e-7,4.6615431e7,0,69752266719501993054,35868562747643306,2.2437115e7,5.2019247e7,"InexactError(:Int64, Int64, 69752266719501993054)","ArgumentError(""Month: 22437115 out of range (1:12)"")"
61,86,8,2,1,1.258896895661506e-20,9.088883676642137e-20,0.13850951782965298,-1.346500458524637e18,-6103394762109,1068,2,-7.220074489983871e19,4.0,"ArgumentError(""Month: -6103394762109 out of range (1:12)"")","InexactError(:Int64, Int64, -72200744899838714669)"
33,45,1,2,1,1.2451658880869971e-20,3.754565785111933e-15,3.3164045041492743e-6,17533.0,0,-23,-18,56.0,8.923398253530381e18,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Month: 56 out of range (1:12)"")"
82,50,5,2,1,1.1706827816930593e-20,5.12227197085209e-18,0.0022854756411895796,7.830150339323943e19,1,645167774261543470,-14922194312646,3.160055891e9,4.0605907545335405e17,"InexactError(:Int64, Int64, 78301503393239436347)","ArgumentError(""Month: 3160055891 out of range (1:12)"")"
