bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
56,181,11,2,1,1.9629207744042914e-36,8.901130569507644e-35,0.022052488266250298,-2.0,1265183526,3,460143790941192981126392814789733154,13.0,-3224.0,"ArgumentError(""Month: 1265183526 out of range (1:12)"")","InexactError(:Int64, Int64, 460143790941192981126392814789733154)"
94,185,9,2,1,1.8211162980954268e-36,5.433447378937966e-28,3.351677436234574e-9,3.2794293470206467e35,8887516059,0,554029483546221774063058761,-556.0,-1.46079484597199e14,"InexactError(:Int64, Int64, 327942934702064671497244550543925222)","InexactError(:Int64, Int64, 554029483546221774063058761)"
66,192,3,2,1,1.7826515710813182e-36,8.455950981196833e-35,0.021081621393564492,10.0,309337009930453692,1,513220660651212781767413202622276317,2.7742705e7,0.0,"ArgumentError(""Month: 309337009930453692 out of range (1:12)"")","InexactError(:Int64, Int64, 513220660651212781767413202622276317)"
57,177,19,2,1,1.7634192189614198e-36,6.692238783807436e-33,0.000263502136718163,-110.0,-3,1671163862,11,5.229738977016325e35,-37.0,"ArgumentError(""Month: -3 out of range (1:12)"")","InexactError(:Int64, Int64, 522973897701632501765717536244619260)"
63,191,4,2,1,1.755641771300984e-36,8.099230250489261e-33,0.00021676649718594288,61.0,-8,516743512073699297043640092978135661,11239,1.7422182853489152e16,0.0,"InexactError(:Int64, Int64, 516743512073699297043640092978135661)","ArgumentError(""Month: 17422182853489153 out of range (1:12)"")"
97,169,16,2,1,1.6810780813955037e-36,6.790068938431643e-33,0.0002475789416335139,1.801417084298755e15,58083,104,669131076518900263806746695,1.03583723e9,5.413861316870275e35,"ArgumentError(""Month: 58083 out of range (1:12)"")","InexactError(:Int64, Int64, 541386131687027500023725452096540496)"
65,197,18,2,1,1.6805562117609854e-36,5.208869193415443e-34,0.0032263359845652964,1.0,-30,0,10651,8.982648436221264e18,5.477082759939574e35,"ArgumentError(""Month: -30 out of range (1:12)"")","InexactError(:Int64, Int64, 547708275993957429517054041418977291)"
86,137,11,2,1,1.624476496725534e-36,7.274809218625217e-27,2.233015942970014e-10,412.0,-2115538826,267283294,1589097226992,4.318328486751e12,-5.507847259771311e35,"ArgumentError(""Month: -2115538826 out of range (1:12)"")","InexactError(:Int64, Int64, -550784725977131114968074311704671835)"
51,197,17,2,1,1.6120961383130486e-36,9.220390610084148e-36,0.17484033014283937,-2.0,-1,-555394195129221919739545996462873287,8453,36332.0,1.0,"InexactError(:Int64, Int64, -555394195129221919739545996462873287)","ArgumentError(""Month: 36332 out of range (1:12)"")"
91,209,11,2,1,1.570419767931346e-36,1.4576083162950952e-29,1.07739490120569e-7,5.361975918796515e29,577075007909112882426095650385335229,250,0,-3.63137714e8,-2.929825993e9,"InexactError(:Int64, Int64, 577075007909112882426095650385335229)","ArgumentError(""Month: -363137714 out of range (1:12)"")"
