bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
13,20,9,0,1,9.444385836783445e-9,-1.05883009e8,0.0,1.0,1.0,out,in,9.999964600125315e-9,0.9444419269909308
22,9,9,0,1,9.107717023554403e-9,-12.0,-41.0,1.47405e6,1.09787063e8,in,out,9.919100682583493e-8,0.0918199876682998
21,18,9,0,1,8.829281756710854e-9,0.0,14.0,1.12484518e8,-1.3226724e7,in,out,7.00985276178837e-8,0.1259553097154969
19,9,9,0,1,8.78975770477534e-9,1.1376875e8,79476.0,-1.0,-54.0,out,in,9.983012332496165e-8,0.08804714861628883
19,8,9,0,1,8.700185573892022e-9,1.14940061e8,2374.0,-16.0,-51.0,out,in,9.971945922108963e-8,0.08724661808085721
18,14,9,0,1,8.678044113983277e-9,4480.0,-1.1523334e8,-2.0,-1.0,out,in,9.999629113108721e-9,0.8678365983201366
16,18,9,0,1,8.652066363920185e-9,5545.0,-1.15579318e8,0.0,8.0,out,in,9.99991590044952e-9,0.8652139128021321
17,16,9,0,1,8.548235109150377e-9,-103.0,-1.16983188e8,4.0,24.0,out,in,9.999761004170306e-9,0.8548439413287393
17,18,9,0,1,8.440312321161193e-9,1.0,3.0,-2199.0,-1.18479025e8,in,out,9.998973391728229e-9,0.8441178899569373
19,18,6,1,1,8.393107352491754e-9,0.0,0.0,1.370211e7,1.16133454e8,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.711944825416474e-8,0.08642045958217061
19,11,9,0,1,8.35502226831066e-9,13.0,-3.0,-31294.0,1.19688483e8,in,out,9.992904569235161e-8,0.0836095472584918
21,19,9,0,1,8.103889569906098e-9,2.8522793e7,-1.20055819e8,1.0,10.0,out,in,9.997622874752785e-9,0.8105816423993174
16,16,9,0,1,7.946374685074112e-9,68.0,-1.25843566e8,1.0,-16.0,out,in,9.999935700406005e-9,0.7946425780269251
19,20,9,0,1,7.679984006682559e-9,1.0,3.0,-1.30176103e8,2.909063e6,in,out,9.998764456282792e-9,0.7680933019536017
19,16,9,0,1,6.885165824518444e-9,249016.0,-1.45239569e8,34.0,2.0,out,in,9.99711281264556e-9,0.6887154274991527
20,13,9,0,1,6.306706805889757e-9,1.58436266e8,6.297124e6,0.0,-25.0,out,in,9.9961080071187e-8,0.06309162327376269
22,21,9,0,1,4.675201832787422e-9,3.0,-8.0,1.08913068e8,-1.84089131e8,in,out,9.933446711975822e-9,0.4706525306217198
