bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
71,1,6,1,1,6.290034331254106e-19,8.535752183029804e-18,0.07369045160143614,353594132093514766,174357273347515439,8944972829794535,1726366705014435077,out,"DomainError(-7.666315659560824e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
72,1,0,2,1,5.667639958215785e-19,0.29166666666666663,1.9431908428168407e-18,8211299431615702607,94999422578403411,7690233410405264266,31290578701720328,"DomainError(-1.674279198476495e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-8.394696240012634e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
73,2,0,2,1,5.477009415815514e-19,1.5404811010148513e-18,0.35553889055875615,3749126797418747789,2002582472717949,4084100813784900712,-325050582263812995,"DomainError(-4.482382098608973e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-5.451525375214248e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
72,4,6,1,1,4.998207807583931e-19,4.0174275598811744e-18,0.12441314082416874,8914490121731906721,1342429434940854780,7430331901944711958,735196681360435,out,"DomainError(-5.812295899057658e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
70,3,6,1,1,4.556543568995035e-19,1.0,4.556543568995035e-19,3016856165342091,4504507421478774,532992329658024811,-2125189590237905810,out,"DomainError(-6.80611838724543e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
74,5,6,1,1,4.140886853599002e-19,2.297787822353175e-18,0.18021188959728668,583874003522791,-478873569723764422,-1258492299390371708,-2539618631602328673,"DomainError(-1.7429872349499448e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
75,6,6,1,1,3.9868620614568396e-19,7.124382907826073e-19,0.5596080549063844,-6407242073227891190,-1762863256548597369,-8191275510805241312,226052875097043,out,"DomainError(-6.99430468203515e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
72,7,6,1,1,3.855085147015836e-19,7.551123135705669e-19,0.5105313577508719,3658143160369575142,-2218459012933402843,2313992473917203035,92911652102890,out,"DomainError(-2.337760056945129e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
75,1,0,2,1,3.375414079886387e-19,5.687271764312448e-19,0.5935032155605898,-295765798200934659,-1031662918628641772,26566768757813672,-229942354533563028,"DomainError(-8.47691878360996e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-7.310589426379561e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
72,6,6,1,1,2.9677026684940816e-19,2.534819441330096e-18,0.11707747779213966,-3969867817760460794,120292105386707,-7339131499453874653,48415822730869876,out,"DomainError(-2.9920648651669165e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
71,0,0,2,1,2.8863811870317785e-19,1.5523457280264573e-18,0.18593674945730804,212774533912306061,-73275726378007816,21475761190485294,794227463160045851,"DomainError(-4.178140717278202e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-7.255891381963724e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
71,6,0,2,1,2.8188339551636123e-19,2.8188339551636123e-19,1.0,37905046504647,3751692425050613820,-477207416058007992,3049537700622678223,"DomainError(-6.003447083143684e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-4.980041312463214e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
78,1,0,2,1,2.540170106250413e-19,2.9329540928016615e-19,0.8660790540447745,-33364382889023712,-7947708441098806485,-1143845276507337145,-8126513858008448510,"DomainError(-9.869599961121658e16, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-1.2545750837196964e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
77,2,0,2,1,2.497022276861298e-19,2.8099940636275004e-19,0.8886219046448168,-5809283058184485957,-1043356472664232352,-5398164204686057956,85544658461981430,"DomainError(-6.81386756439038e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-8.527150443125823e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
70,5,6,1,1,2.42463212125577e-19,3.682759411103135e-18,0.06583737492994403,5552920235872162289,671310957846767564,1483571936650372719,73135336681601,out,"DomainError(-6.439418863424945e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
71,6,6,1,1,2.422830145308807e-19,9.55263900561937e-18,0.02536294048046377,-8051443464585,6830481805209091810,4110540313215355193,6457842707874352672,"DomainError(-2.1079954048215258e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
72,3,6,1,1,2.2024778662387934e-19,1.874105989542043e-18,0.11752152111615585,45686523460638514,-5478316227203347717,8859857747752465,-938124833252286933,out,"DomainError(-5.496533767876786e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
73,1,0,2,1,2.1052913779619326e-19,2.4023452555956642e-19,0.8763483820896191,-1180698118988184302,504812138721508361,96438652950725492,484784044811771752,"DomainError(-8.020809951227132e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-3.0815073605197317e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
72,4,0,2,1,2.0940114195245655e-19,9.228857455669048e-19,0.2268982297736399,3763149636383127043,-55940455318656,2947903839723350599,-913706682020705070,"DomainError(-6.266491851646008e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-8.133011946550052e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
75,3,0,2,1,2.016898361963753e-19,1.3393342563114045e-18,0.1505896196158228,3692394548319339,-3734333191202827835,-732494427026402540,-4895574838639440083,"DomainError(-7.350930620884376e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-4.55249609233801e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
76,4,0,2,1,1.6247325124009855e-19,2.521427354284333e-19,0.6443701459969843,-8044815175230578492,7525149167565572,-9217953620206285388,-1048109132384945596,"DomainError(-7.053844064939259e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-2.9374032678232666e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
75,6,0,2,1,1.6158424423602087e-19,2.0954032652839536e-19,0.7711367397059208,-1233255518510108244,-8695114676005167805,586718752299200,-7852998353479443412,"DomainError(-6.343840751746971e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-3.1813693699755725e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
70,9,6,1,1,1.5926002313881152e-19,7.933013145553502e-19,0.20075603080032414,8214135291792729726,5729916936895759853,5646172972373308080,3459680429468,"DomainError(-6.513005743973219e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
71,4,6,1,1,1.5812532483730832e-19,9.78632143794953e-19,0.16157789813047402,16449681380856591,1273673802394803377,-6178058047527534462,-15903320688733,out,"DomainError(-6.534630448248999e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
71,3,0,2,1,1.541874115573498e-19,9.289767756559222e-19,0.16597552877302318,5324353718594883831,996488710992459933,6977014299891282103,454084613987192,"DomainError(-1.906847466015302e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-4.721003719892293e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
72,8,6,1,1,1.4074184312999184e-19,3.651318873388122e-18,0.03854548123850795,-5504854410401257614,-3593185402175150728,74060119661804,899000726650001990,"DomainError(-2.63204244351557e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
73,8,6,1,1,1.3425342083447513e-19,7.08600866020552e-19,0.1894626824102432,-3686315576546486174,-2956983058002116131,77698408774230,3515430958886052484,"DomainError(-5.219749811880919e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
72,3,0,2,1,9.8616232612653e-20,1.8546434318179394e-19,0.5317261039012141,2254146403325473522,3227274302946509,77911276280402950,-1999609780976198342,"DomainError(-9.494267435647199e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-5.158945255577543e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
73,5,0,2,1,8.557881580270205e-20,1.0808122628554445e-18,0.07918009329076975,-2514644523958745830,762131274642583,-5472420428873434092,478995034554581125,"DomainError(-5.903426099825363e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-6.252582506962868e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
71,10,6,1,1,8.193114449379644e-20,5.93351663022105e-19,0.13808193285664414,-5875456790466891796,6344920108801093778,4551104169814652819,8500305158006,"DomainError(-1.810424837728776e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
72,5,6,1,1,8.131866376448165e-20,1.0,8.131866376448165e-20,6733801428401718,-8336420462946678587,-9032590795163832060,1096969993645003,out,"DomainError(-5.078618047515272e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
71,1,0,2,1,7.576297458686583e-20,4.97042131913352e-19,0.15242767106123992,7948243439740896,-78358370912907500,3958675746301660946,566396229523861651,"DomainError(-2.3928482003644995e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-8.724850794142061e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
71,4,0,2,1,7.09301325016151e-20,1.0220525320449757e-19,0.6939969353600095,169560194788471,289781206188876002,211086245788377255,-3495508353579778794,"DomainError(-7.840015663133202e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-1.9899831785749763e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
73,8,0,2,1,6.914496215842435e-20,3.1315873861703215e-19,0.22079844383005726,-9169448480761173226,98246736309652,-6467344914822805168,2842757014813734860,"DomainError(-5.420083217881382e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-1.6273517226275625e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
71,2,0,2,1,6.631560485944748e-20,4.524355803404682e-19,0.14657468983660274,1587371020441630842,7605016503810612,87215744261994090,3674119236388026348,"DomainError(-6.118761229814386e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-8.226284823697677e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
72,7,0,2,1,5.3727903575451394e-20,1.5954013319809782e-19,0.3367673230455344,3027543796322313557,3752465748259891250,-1391464999927355980,32689823434954,"DomainError(-1.0346873032426496e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-5.665136083435929e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
