bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
9,12,5,0,1,4.916417116314814,-26.0,2993756,9.996001599360256e-6,1.000060003600216e-5,0.9995401839264294,-100018,22,-100018B,22B
19,0,2,0,1,14.368873418032047,-10.5,21483213,9.992505620784411e-6,1.9969646137870437e-5,0.5003847114664002,999921426,1000021501,999.9 MB,1.0 GB
7,12,6,0,1,3.1024339330720188,-24.0,632505,9.980139522350522e-6,1.000060003600216e-5,0.9979540713979181,6,100205,6B,100.2 kB
9,4,4,0,1,4.115094397635728,-25.0,2357318,9.97406742469579e-6,1.0099275881919266e-5,0.987602234191103,100213,-47,100.2 kB,-47B
8,8,5,0,1,4.115424876724657,-24.0,2775165,9.943125323151573e-6,1.0009509033581903e-5,0.9933679354094579,16,100588,16B,100.6 kB
8,18,6,0,1,3.1026735875360374,-27.0,1230258,9.859210474425208e-6,9.99990000099999e-6,0.9859309066529952,0,-101428,0B,-101428B
11,4,2,0,1,3.1025534154835612,-23.0,1031577,9.689077502930946e-6,9.899421873762572e-6,0.9787518530360724,2071,-101138,2.1 kB,-101138B
10,8,4,0,1,4.115105010552399,-26.5,2513823,9.610117531737412e-6,1.0008206729518205e-5,0.9602237235361387,-103524,533,-103524B,533B
11,0,2,0,1,3.090919596626612,-26.0,169753,9.328358208955224e-6,9.885721064494444e-6,0.9436194029850746,106031,-1169,106.0 kB,-1169B
10,2,3,0,1,3.102563404802638,-25.0,1175859,8.893632159373889e-6,9.98771511041419e-6,0.8904571326929919,111843,-597,111.8 kB,-597B
12,2,1,0,1,10.852196489997173,-13.5,17582186,8.878944471081278e-6,9.0046283789868e-6,0.9860422992914601,11198,-101428,11.2 kB,-101428B
12,0,1,0,1,15.969710010745017,-5.0,24700602,8.678144959733408e-6,8.99733678831066e-6,0.9645237434046099,-14644,100588,-14644B,100.6 kB
11,4,3,0,1,4.103882871918206,-23.5,1720789,8.401031646686212e-6,1.0095707305253806e-5,0.8321389866675627,-677,-119710,-677B,-119710B
13,0,0,0,1,9.250264587032794,-15.0,14625280,3.973487566460719e-6,4.733705402577976e-6,0.8394032219023934,-119576,112733,-119576B,112.7 kB
14,2,2,0,1,6.583489985461234,-26.0,6803692,1.0847175232861734e-6,1.110385659147135e-6,0.9768835848612482,-86811,-1008710,-86811B,-1008710B
8,18,4,0,1,3.0910159882798585,-32.0,293165,9.992415756440862e-7,1.0000070000490004e-6,0.9992345809530567,1,1000760,1B,1.0 MB
10,18,6,0,1,3.1025544141389356,-20.5,1156129,9.98558082129405e-7,9.99999000001e-7,0.9985590806874871,21,-1001423,21B,-1001423B
11,4,0,0,1,4.1154145381108025,-31.5,2693448,9.940881577260034e-7,1.0098776129320888e-6,0.9843649814552854,1013362,7415,1.0 MB,7.4 kB
10,8,2,0,1,4.115095388784732,-20.5,2451050,9.900568589654103e-7,1.0009188434983314e-6,0.9891479867688802,-81,1009962,-81B,1.0 MB
9,12,3,0,1,3.1024239529324964,-26.0,624476,9.874436663388353e-7,1.000089007921705e-6,0.9873557838525311,14,1012730,14B,1.0 MB
9,24,7,0,1,3.0920061937430012,-25.0,436515,9.870703652851301e-7,9.99998000004e-7,0.9870723394258607,-1013098,1,-1013098B,1B
11,12,5,0,1,2.00000097043659,-29.0,52299,9.704356770972328e-7,1.0000540029161574e-6,0.9703832735706697,-1029989,476,-1029989B,476B
12,8,3,0,1,4.113886392949802,-21.0,2254842,9.651298582224238e-7,9.988333626324454e-7,0.9662571298968275,-1028128,8002,-1028128B,8.0 kB
13,4,2,0,1,8.916927252594116,-16.0,11901458,9.544143093428572e-7,9.890981600796025e-7,0.9649338638604342,17774,-1029989,17.8 kB,-1029989B
11,4,1,0,1,6.916926066957634,-19.5,9751964,9.134747574952888e-7,8.328033675539808e-6,0.10968672715364339,1094341,-380,1.1 MB,-380B
13,4,3,0,1,3.102773879181141,-22.5,1293655,9.06850987152642e-7,1.0097511670199113e-6,0.898093527169709,-1008710,-6240,-1008710B,-6240B
12,2,0,0,1,6.583580867373371,-22.5,7670799,8.971023593792051e-7,4.737270952949425e-6,0.18937113124607519,1109815,-4885,1.1 MB,-4885B
14,2,1,0,1,5.583488805264559,-26.5,5397784,8.751034809866266e-7,8.996996802467337e-7,0.9726617672539778,112733,-1029989,112.7 kB,-1029989B
14,0,2,0,1,3.1025437264060582,-23.0,1023010,8.237137298251914e-7,9.089942251596875e-7,0.9061814773141001,1102480,-111534,1.1 MB,-111534B
12,8,4,0,1,4.113885406257549,-23.5,2146020,6.854033554195425e-7,1.0008968035359683e-6,0.6847892340130866,-1326521,-162,-1326521B,-162B
15,0,3,0,1,4.115414933502747,-22.5,2698656,3.953919441263736e-7,4.989746071822405e-7,0.7924089491431066,1393540,-1135596,1.4 MB,-1135596B
44,0,0,0,1,18.779838012002337,1.0,29118736,2.8957372431191493e-7,0.7142857142857143,4.054032140366809e-7,-172267516574056321471,-172267516574054841463,-172267516574056321471B,-172267516574054841463B
60,0,0,0,1,20.069512794156722,1.0,29751030,2.035733767239024e-7,0.7142857142857143,2.850027274134633e-7,-11383398273731294901893152373,-11383398273731294901895030580,-11383398273731294901893152373B,-11383398273731294901895030580B
50,0,0,0,1,19.4628407547094,1.0,29524859,1.5210896912709443e-7,0.7142857142857143,2.129525567779322e-7,-143123833152021896060773,-143123833152021892992797,-143123833152021896060773B,-143123833152021892992797B
26,0,1,0,1,17.47775113127889,-0.5,27877789,1.5117913135365124e-7,0.7777777777777778,1.9437316888326588e-7,9949996723313,9950001868056,9.9 TB,10.0 TB
29,0,1,0,1,18.779838124680406,0.0,29295947,1.1001455932678131e-7,1.0,1.1001455932678131e-7,-10000007577569,-9999998487863,-10000007577569B,-9999998487863B
16,2,2,0,1,7.916926176490799,-18.0,9848860,1.0953316417761679e-7,1.1108752352694888e-7,0.9860077954752946,-10004152,-874497,-10004152B,-874497B
9,12,4,0,1,3.1025635060288113,-22.0,1196033,1.0023076128169886e-7,1.0050270447752613e-7,0.9972941703684394,50,9977027,50B,10.0 MB
9,24,5,0,1,17.477751335348824,0.5,28502649,9.998790146392286e-8,9.9999970000009e-8,0.999879314602933,10001213,3,10.0 MB,3B
12,8,1,0,1,2.0000010698573956,-20.5,55709,9.94208042208506e-8,1.0009395819856099e-7,0.9932747791192849,6178,10064435,6.2 kB,10.1 MB
10,18,4,0,1,3.10287447071824,-27.0,1504234,9.900721505178968e-8,1.0e-7,0.9900721505178969,10100313,39,10.1 MB,39B
