bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
12,8,9,0,1,2.269304560331427,-4.0,2508104,8.349754475303724e-6,1.0004101681689493e-5,0.834633107596885,1,-12,-119763,0,in,out
12,7,9,0,1,2.2692962104811993,-3.5,2490646,8.332221495411428e-6,9.99970000100045e-6,0.8332471468721868,0,-1,55,-120017,in,out
14,8,9,0,1,77.75899638758675,0.0,31652521,7.890777090632997e-6,6.995443798215358e-5,0.11279880616932483,-64956,108817,1,0,out,in
13,6,9,0,1,77.73440827509485,0.0,31652521,7.88164933840481e-6,9.92344417927861e-5,0.07942453442588691,25618,124264,1,0,out,in
10,9,6,1,1,1.1136823270424068,0.0,1286618,7.580002637268843e-6,9.814716667648138e-6,0.772309878516871,0,0,-129483,0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
14,9,9,0,1,1.0939654844145534,-2.0,600417,7.570002467863627e-6,9.994925939527854e-6,0.75738454828623,48839,-122741,1,0,out,in
19,4,9,0,1,2.6183362658735803,0.5,15150779,7.172184504836005e-6,9.859566295440006e-6,0.7274340767050879,-54077,-128543,-25,-19,out,in
15,7,9,0,1,2.2836002538982383,-1.0,2663795,7.112313326916913e-6,9.989345960502388e-6,0.7119898895321889,-140395,-7490,6,11,out,in
13,8,9,0,1,1.1136890127434838,-1.0,1347022,6.683989078880653e-6,9.998312288851503e-6,0.6685117333585944,1,1,-149609,-612,in,out
18,3,9,0,1,53.47165766881057,0.0,29999616,6.117580412031221e-6,6.668215947300973e-5,0.09174238597517785,119289,111698,-21,-40,out,in
16,8,9,0,1,77.7589805785455,0.0,31652521,6.06031602037663e-6,9.931305216993073e-6,0.6102235192618043,100191,-131110,1,-1,out,in
17,6,9,0,1,2.498943615602631,-1.0,5340550,5.864985520415455e-6,9.896727124652005e-6,0.5926186957106472,-50959,-162650,26,52,out,in
10,9,9,0,1,1.0939579048946215,-1.5,579970,4.988999256577022e-6,9.99959999800152e-6,0.49891988255271247,0,3,1,-200438,in,out
15,10,9,0,1,2.5371174195844457,-0.5,9617722,4.738316963295747e-6,9.93790765129651e-6,0.47679221115297654,-210120,-19741,0,1,out,in
12,6,9,0,1,77.7589850333733,0.0,31652521,4.454827807807414e-6,9.994623489140805e-5,0.04457224239259838,224385,6411,1,0,out,in
11,8,6,1,1,2.7289963729860793,1.0,17920178,4.214338377890193e-6,9.814716165144735e-6,0.4293897354726045,-232891,16,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
16,8,9,0,1,1.1274068610061057,-2.0,1686007,3.710229048020869e-6,9.931305216993073e-6,0.3735892681731742,-125212,238700,0,25,out,in
16,12,9,0,1,2.618329087270212,0.5,14713010,3.6928340505900704e-6,6.748618450040081e-6,0.5471985233611982,-144887,-228766,0,8,out,in
16,4,9,0,1,2.2941256984707343,-3.5,3265184,3.6561624770085283e-6,9.997648475710112e-6,0.36570224347169183,-955,-273559,43,-50,out,in
16,3,9,0,1,1.1136622851617481,-4.5,1044036,3.5694860956931562e-6,9.832852861829407e-5,0.036301632352800726,-9,-13,14982,279738,in,out
18,5,9,0,1,2.7191996377707803,0.5,17040396,3.4984169701343125e-6,9.886450821950143e-6,0.35385974533621717,-258927,121179,-12,61,out,in
17,3,9,0,1,2.2690433447918865,0.5,2304893,3.1102933990697455e-6,9.968990028961098e-6,0.3119968412079834,-25,-19,-247,-321532,in,out
16,6,9,0,1,2.2692873238846563,-1.5,2418796,2.9726469594041913e-6,6.645769996507104e-5,0.0447299103183914,-21,0,214300,259291,in,out
18,8,9,0,1,2.2836970706084263,1.0,2737672,2.807144761282875e-6,6.834065715200068e-6,0.4107576482677553,-102017,-341254,26,52,out,in
14,8,6,1,1,1.1136738891339202,-3.5,1214620,2.1298891863978155e-6,6.524824104271546e-5,0.032642859828258985,402520,224336,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
15,10,6,1,1,77.75899839362347,0.0,31652521,2.0060367259224304e-6,9.643680030969169e-6,0.20801568690379166,-213097,440419,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
15,6,9,0,1,77.75901406700069,0.0,31652521,1.9511740483498097e-6,7.029587341392868e-5,0.02775659442853152,455814,234311,-1,1,out,in
17,4,9,0,1,1.1703882346971357,-1.0,1930410,1.8072279501889557e-6,6.81049247473925e-5,0.02653593637893489,-1961,-553380,43,-50,out,in
