bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
42,0,14,0,1,1.2938577056047808e-21,8.995053877569137e-21,0.14384101787664208,6.56522906459579e20,-87734332023110794653,656.5 EB,-87734332023110794653B
43,0,15,0,1,1.293152467373211e-21,4.77434885932896e-21,0.27085420556280104,6.530243151273035e20,-120279703718445283026,653.0 EB,-120279703718445283026B
40,2,2,0,1,1.2928544669138636e-21,1.110646215402337e-19,0.011640560684263628,6.202090405603692e20,1423229416708598801,620.2 EB,1.4 EB
42,0,0,0,1,1.2874487614107883e-21,0.7142857142857143,1.8024282659751034e-21,7.664574343760465e20,119182483860605797742,766.5 EB,119.2 EB
43,0,15,0,1,1.2856618234963938e-21,4.77434885932896e-21,0.26928527038493266,5.4485671818303904e20,-232952797293178210200,544.9 EB,-232952797293178210200B
43,0,16,1,1,1.2840023655444737e-21,1.9957397523238766e-17,6.433716440479564e-5,3.616159008854376e20,1140430665432974700995,361.6 EB,"BoundsError(""kMGTPE"", 7)"
42,0,0,0,1,1.279105456170324e-21,0.7142857142857143,1.7907476386384536e-21,2.1031477698954537e20,861811750373081492222,210.3 EB,861.8 EB
50,0,0,0,1,1.278903879979523e-21,0.7142857142857143,1.790465431971332e-21,-1.0901470643706245e23,-109693741872192629652122,-109014706437062443370325B,-109693741872192629652122B
43,0,16,1,1,1.277588706296151e-21,1.9957397523238766e-17,6.401579688977497e-5,2.993850037595643e20,1082109518364185016888,299.4 EB,"BoundsError(""kMGTPE"", 7)"
43,0,15,0,1,1.2775216604532526e-21,4.77434885932896e-21,0.26758029169925585,6.69638710265353e20,-113126882644601639860,669.6 EB,-113126882644601639860B
40,2,2,0,1,1.2767687181411739e-21,1.110646215402337e-19,0.011495728346570363,6.310005730653492e20,4418805644929722448,631.0 EB,4.4 EB
43,0,16,1,1,1.2755156417166752e-21,1.9957397523238766e-17,6.391192239526426e-5,5.0252242346689056e20,1286519081206134234948,502.5 EB,"BoundsError(""kMGTPE"", 7)"
43,0,15,0,1,1.2613749863233643e-21,4.77434885932896e-21,0.2641983280837697,5.507766156765398e20,-242009043499074569771,550.8 EB,-242009043499074569771B
39,4,11,0,1,1.2609555702156071e-21,9.998057223039667e-21,0.12612005933611212,7.929705905800656e20,-78763116839774391,793.0 EB,-78763116839774391B
64,0,0,0,1,1.2590236992892727e-21,0.7142857142857143,1.7626331790049816e-21,-9.99999999179198e30,-9999999991116853334195652132063,-9999999991791979624892031126774B,-9999999991116853334195652132063B
56,0,0,0,1,1.255794795625278e-21,0.7142857142857143,1.758112713875389e-21,-9.99914275756815e26,-999913668047739130186065708,-999914275756815004206639766B,-999913668047739130186065708B
43,0,16,1,1,1.2555651878126293e-21,1.9957397523238766e-17,6.291227031734102e-5,4.645164839022639e20,1260970550729443403013,464.5 EB,"BoundsError(""kMGTPE"", 7)"
46,0,0,0,1,1.2549443217257022e-21,0.7142857142857143,1.756922050415983e-21,-9.602242612458408e21,-8847333884914317482190,-9602242612458408085160B,-8847333884914317482190B
42,0,0,0,1,1.2544919870391178e-21,0.7142857142857143,1.756288781854765e-21,9.400031502353554e20,360268297572602344818,940.0 EB,360.3 EB
43,0,16,1,1,1.2509732312674253e-21,1.9957397523238766e-17,6.268218237426843e-5,4.1166090345975493e20,1211038520027016400553,411.7 EB,"BoundsError(""kMGTPE"", 7)"
43,0,16,1,1,1.2455791646950068e-21,1.9957397523238766e-17,6.241190331778636e-5,2.328668672259416e20,1035706243753936611313,232.9 EB,"BoundsError(""kMGTPE"", 7)"
43,0,16,1,1,1.2436327786593136e-21,1.9957397523238766e-17,6.231437627131516e-5,4.360230855104722e20,1240118970694554026317,436.0 EB,"BoundsError(""kMGTPE"", 7)"
43,0,16,1,1,1.2434847435715036e-21,1.9957397523238766e-17,6.230695871661457e-5,5.139739156488329e20,1318165527302890496441,514.0 EB,"BoundsError(""kMGTPE"", 7)"
46,0,0,0,1,1.2427838136290543e-21,0.7142857142857143,1.739897339080676e-21,-3.8671238556974737e21,-4587069539164770363502,-3867123855697473547187B,-4587069539164770363502B
43,0,16,1,1,1.2422140845968712e-21,1.9957397523238766e-17,6.224329014594283e-5,7.664790483105841e20,1571493266390814914809,766.5 EB,"BoundsError(""kMGTPE"", 7)"
41,0,13,0,1,1.237456592601882e-21,9.879881522120682e-21,0.12525014493658282,8.07069478801985e20,-1039675069340254392,807.1 EB,-1039675069340254392B
38,8,10,0,1,1.236676657518134e-21,9.999469391890379e-21,0.12367422800664654,8.086127032738122e20,-6100938829476438,808.6 EB,-6100938829476438B
43,0,15,0,1,1.2351138226834453e-21,4.77434885932896e-21,0.25869785788067484,6.463414484168471e20,-134384745862703754652,646.3 EB,-134384745862703754652B
42,0,14,0,1,1.2335590515419847e-21,8.995053877569137e-21,0.1371374833693989,7.827344255200549e20,-27928022094407563943,782.7 EB,-27928022094407563943B
43,0,16,1,1,1.2316756200236847e-21,1.9957397523238766e-17,6.171524210957359e-5,1.9408023933157425e20,1005982321131951480701,194.1 EB,"BoundsError(""kMGTPE"", 7)"
64,0,0,0,1,1.2302122067332906e-21,0.7142857142857143,1.7222970894266067e-21,-1.0000001008026994e30,-1000000100111761742240854645224,-1000000100802699448229882836590B,-1000000100111761742240854645224B
43,0,16,1,1,1.2204188931361456e-21,1.9957397523238766e-17,6.115120429480182e-5,2.96650269932509e20,1116041059131348068148,296.7 EB,"BoundsError(""kMGTPE"", 7)"
42,0,0,0,1,1.2200920747613745e-21,0.7142857142857143,1.708128904665924e-21,7.118130353471421e20,115732835895828375890,711.8 EB,115.7 EB
41,0,1,0,1,1.2128620746356851e-21,1.0,1.2128620746356851e-21,4.967206740665138e20,38667308252077469256,496.7 EB,38.7 EB
43,0,16,1,1,1.2100397281892587e-21,1.9957397523238766e-17,6.063113824236181e-5,4.340157724665016e20,1260434919461312475243,434.0 EB,"BoundsError(""kMGTPE"", 7)"
76,0,0,0,1,1.2066937949342988e-21,0.75,1.6089250599123984e-21,-9.999999999999985e36,-9999999999999984388355949504046583432,-9999999999999985113477768869697171974B,-9999999999999984388355949504046583432B
41,0,13,0,1,1.2050358828690288e-21,9.879881522120682e-21,0.12196865723247782,8.210054968629605e20,-8845310250877549738,821.0 EB,-8845310250877549738B
60,0,0,0,1,1.1970880430907002e-21,0.7142857142857143,1.6759232603269802e-21,-9.999987372721759e28,-99999873106052124718272019856,-99999873727217583584528298170B,-99999873106052124718272019856B
42,0,0,0,1,1.1956902093322354e-21,0.7142857142857143,1.6739662930651295e-21,2.6665115855719383e20,963598684621432706745,266.7 EB,963.6 EB
40,2,12,0,1,1.1932394769102852e-21,9.98189905266278e-21,0.11954032700741203,8.37696213529516e20,-358526822647150263,837.7 EB,-358526822647150263B
60,0,0,0,1,1.1928121659226531e-21,0.7142857142857143,1.6699370322917143e-21,-9.99999046878531e28,-99999904009184798597297116241,-99999904687853102502157177947B,-99999904009184798597297116241B
43,0,16,1,1,1.1879472553256167e-21,1.9957397523238766e-17,5.952415659117622e-5,4.2233912595553675e20,1264127341313549187474,422.3 EB,"BoundsError(""kMGTPE"", 7)"
37,12,9,0,1,1.1801813942195085e-21,9.999728731615697e-21,0.11802134096779861,8.473267147173184e20,-657920454580209,847.3 EB,-657920454580209B
39,4,0,0,1,1.1800025621707588e-21,1.0100224681995923e-20,0.11682933789326125,8.47762322014103e20,306535002608764476,847.8 EB,306.5 PB
41,0,1,0,1,1.179934770453187e-21,1.0,1.179934770453187e-21,7.508171770531738e20,57404423509541488872,750.8 EB,57.4 EB
43,0,16,1,1,1.1789666534062208e-21,1.9957397523238766e-17,5.907416796370419e-5,1.9069995434750657e20,1038900365369177248323,190.7 EB,"BoundsError(""kMGTPE"", 7)"
40,2,12,0,1,1.1757249083007422e-21,9.98189905266278e-21,0.11778569409466275,8.079096574256782e20,-102483248470524707,807.9 EB,-102483248470524707B
43,0,16,1,1,1.171130442936127e-21,1.9957397523238766e-17,5.868152105365647e-5,4.897371664838772e20,1343613014414968525186,489.7 EB,"BoundsError(""kMGTPE"", 7)"
43,0,16,1,1,1.1623191359974994e-21,1.9957397523238766e-17,5.8240015244676735e-5,3.2042025793283306e20,1180769166446502566273,320.4 EB,"BoundsError(""kMGTPE"", 7)"
38,8,1,0,1,1.1604749269623157e-21,1.0002378033017525e-20,0.11601990278028142,8.617988824744708e20,82720611653429944,861.8 EB,82.7 PB
43,0,16,1,1,1.1568183257641615e-21,1.9957397523238766e-17,5.7964387612019083e-5,4.8447867594080636e20,1348918646961690986316,484.5 EB,"BoundsError(""kMGTPE"", 7)"
64,0,0,0,1,1.1565959152443131e-21,0.7142857142857143,1.6192342813420384e-21,-1.0000001081074008e30,-1000000108851364255932438598615,-1000000108107400780929753952889B,-1000000108851364255932438598615B
43,0,15,0,1,1.1513991352378873e-21,4.77434885932896e-21,0.2411635951126784,6.906586609264936e20,-146831732086947435254,690.7 EB,-146831732086947435254B
62,0,0,0,1,1.1471274778472563e-21,0.6666666666666667,1.720691216770884e-21,-1.0000001330025633e29,-100000013970827635987600280450,-100000013300256331502472570648B,-100000013970827635987600280450B
48,0,0,0,1,1.1452765427303297e-21,0.75,1.5270353903071064e-21,-9.235502650417424e22,-91619740979902235921443,-92355026504174236427882B,-91619740979902235921443B
70,0,0,0,1,1.1447433685233185e-21,0.7142857142857143,1.6026407159326458e-21,-9.999999999985737e33,-9999999999985012807884848371039076,-9999999999985737222033455893279250B,-9999999999985012807884848371039076B
42,0,0,0,1,1.1361713099902042e-21,0.7142857142857143,1.5906398339862858e-21,7.876579076598964e20,147549571110720881658,787.7 EB,147.5 EB
40,2,2,0,1,1.1323714828873224e-21,1.110646215402337e-19,0.010195609251476315,7.131762489684482e20,6694310761951817661,713.2 EB,6.7 EB
